model,time,n_known,prevalence,mean_predicted,brier_in_sample
bmi_only,12,103,0.5631067961165048,0.7811965352925372,0.2809547685248184
bmi_only,14,237,0.8987341772151899,0.862615803095591,0.08780942064696295
bmi_only,16,241,0.921161825726141,0.9108594873015066,0.07168955743480186
bmi_only,18,249,0.963855421686747,0.9403962973905007,0.03509921358112614
bmi_only,20,253,0.9723320158102767,0.9595713445854605,0.026685138584592673
bmi_age_height,12,103,0.5631067961165048,0.7770100627568671,0.2795715857100142
bmi_age_height,14,237,0.8987341772151899,0.8626504805973241,0.0867981954732346
bmi_age_height,16,241,0.921161825726141,0.9111041122298047,0.07055780534633073
bmi_age_height,18,249,0.963855421686747,0.9407503942457344,0.03431885426424323
bmi_age_height,20,253,0.9723320158102767,0.9601084723810122,0.02623669582252121
bmi_full,12,103,0.5631067961165048,0.7733800588858982,0.2773506400503093
bmi_full,14,237,0.8987341772151899,0.861933523352899,0.08572759088572865
bmi_full,16,241,0.921161825726141,0.9106408081763065,0.06965859452122768
bmi_full,18,249,0.963855421686747,0.9407281202292026,0.03408211127986257
bmi_full,20,253,0.9723320158102767,0.9604177517336017,0.026464695424046895
weight_height_full,12,103,0.5631067961165048,0.7725458541813855,0.27655308854961136
weight_height_full,14,237,0.8987341772151899,0.8621410198769048,0.08545981906860581
weight_height_full,16,241,0.921161825726141,0.9108815267737449,0.06941708319599783
weight_height_full,18,249,0.963855421686747,0.9409327315682158,0.03405672424991635
weight_height_full,20,253,0.9723320158102767,0.9605890121746684,0.026423408022100463
