model,feature,quantity,value,status
ridge,ga,standardized_coefficient,0.004478237494043338,descriptive_full_data_fit
random_forest,ga,impurity_importance,0.2681456626289336,descriptive_full_data_fit
ridge,bmi,standardized_coefficient,-0.0025674109747568378,descriptive_full_data_fit
random_forest,bmi,impurity_importance,0.15316292916177524,descriptive_full_data_fit
ridge,first_bmi,standardized_coefficient,-0.00329592660800751,descriptive_full_data_fit
random_forest,first_bmi,impurity_importance,0.1636367404778153,descriptive_full_data_fit
ridge,delta_bmi,standardized_coefficient,0.001983817513187654,descriptive_full_data_fit
random_forest,delta_bmi,impurity_importance,0.2456000737304396,descriptive_full_data_fit
ridge,age,standardized_coefficient,-0.003124385813914722,descriptive_full_data_fit
random_forest,age,impurity_importance,0.07476417319689727,descriptive_full_data_fit
ridge,height,standardized_coefficient,-0.0028380094907372246,descriptive_full_data_fit
random_forest,height,impurity_importance,0.07294221186639768,descriptive_full_data_fit
ridge,gravidity,standardized_coefficient,-0.0005105164411710441,descriptive_full_data_fit
random_forest,gravidity,impurity_importance,0.01099139160700693,descriptive_full_data_fit
ridge,parity,standardized_coefficient,0.0013473696361887152,descriptive_full_data_fit
random_forest,parity,impurity_importance,0.010756817330734443,descriptive_full_data_fit
ridge,ivf,standardized_coefficient,-0.001675777044510125,descriptive_full_data_fit
random_forest,ivf,impurity_importance,0.0,descriptive_full_data_fit
ridge,iui,standardized_coefficient,0.0012275952499923603,descriptive_full_data_fit
random_forest,iui,impurity_importance,0.0,descriptive_full_data_fit
