reference,candidate,metric,improvement_mean,improvement_q025,improvement_q975,positive_fraction,relative_improvement_percent
mixed_linear,mixed_hinge18,rmse,-0.00010894554952476827,-0.0001318690614062569,-8.536775962219285e-05,0.0,-0.32253424978755296
mixed_linear,mixed_hinge18,mae,-4.2448067363699306e-05,-6.779082747600573e-05,-2.4577636965385847e-05,0.0,-0.1550932400398224
mixed_linear,mixed_hinge18,r2,-0.007131105137702308,-0.009569371995531172,-0.004966796763050703,0.0,
mixed_hinge18,ridge,rmse,0.0013508760475134697,0.001135928330302247,0.0016745893726020128,1.0,3.986422744746577
mixed_hinge18,ridge,mae,0.0010534203374484223,0.0008832877014231055,0.0013371986182773071,1.0,3.8429400195961083
mixed_hinge18,ridge,r2,0.08460525588356527,0.07095018542630997,0.10759553077902727,1.0,
mixed_hinge18,random_forest,rmse,0.0029002679246334113,0.0023885675832048285,0.0031392752221069847,1.0,8.558663869937556
mixed_hinge18,random_forest,mae,0.0029086692349594816,0.002498015768274528,0.003141404290850293,1.0,10.610998297098169
mixed_hinge18,random_forest,r2,0.17712653669161296,0.13875603417436028,0.1988766214855371,1.0,
ridge,random_forest,rmse,0.0015493918771199414,0.0011786873574174282,0.0018169456807586393,1.0,4.762077672656246
ridge,random_forest,mae,0.0018552488975110588,0.0015741648323864149,0.0021410722039330466,1.0,7.03854535369669
ridge,random_forest,r2,0.09252128080804774,0.0657319860666571,0.11100214735581171,1.0,
