mode,distribution,rho,bmi,quantile_week,week_day,within_10_25
hard,lognormal,0.8,28.5,10.647401787050608,10周+5天,True
hard,lognormal,0.8,30.5,11.515400717190865,11周+4天,True
hard,lognormal,0.8,32.0,12.212529188118369,12周+1天,True
hard,lognormal,0.8,34.0,13.20812064616644,13周+1天,True
hard,lognormal,0.8,36.0,14.284874845860411,14周+2天,True
hard,lognormal,0.8,40.0,16.708877106342914,16周+5天,True
hard,lognormal,0.8,42.0,18.071020448185195,18周+0天,True
hard,lognormal,0.8,46.875,21.87479518341232,21周+6天,True
hard,lognormal,0.9,28.5,13.466868065790484,13周+3天,True
hard,lognormal,0.9,30.5,14.564715907661402,14周+4天,True
hard,lognormal,0.9,32.0,15.4464462425028,15周+3天,True
hard,lognormal,0.9,34.0,16.705673524530194,16周+5天,True
hard,lognormal,0.9,36.0,18.067555703542176,18周+0天,True
hard,lognormal,0.9,40.0,21.133441568091506,21周+1天,True
hard,lognormal,0.9,42.0,22.8562848530697,22周+6天,True
hard,lognormal,0.9,46.875,27.667311386659396,27周+5天,False
hard,lognormal,0.95,28.5,16.350044116442998,16周+2天,True
hard,lognormal,0.95,30.5,17.682934626696735,17周+5天,True
hard,lognormal,0.95,32.0,18.753438161968184,18周+5天,True
hard,lognormal,0.95,34.0,20.282258487020353,20周+2天,True
hard,lognormal,0.95,36.0,21.93571150961343,22周+0天,True
hard,lognormal,0.95,40.0,25.65798523327881,25周+5天,False
hard,lognormal,0.95,42.0,27.749678979552815,27周+5天,False
hard,lognormal,0.95,46.875,33.59071757035838,33周+4天,False
hard,loglogistic,0.8,28.5,10.611918828690468,10周+4天,True
hard,loglogistic,0.8,30.5,11.483161957874822,11周+3天,True
hard,loglogistic,0.8,32.0,12.183222288995491,12周+1天,True
hard,loglogistic,0.8,34.0,13.183470112406612,13周+1天,True
hard,loglogistic,0.8,36.0,14.26583871507514,14周+2天,True
hard,loglogistic,0.8,40.0,16.70446039783425,16周+5天,True
hard,loglogistic,0.8,42.0,18.075903826990327,18周+1天,True
hard,loglogistic,0.8,46.875,21.90923560857279,21周+6天,True
hard,loglogistic,0.9,28.5,13.260507934434768,13周+2天,True
hard,loglogistic,0.9,30.5,14.349201375637485,14周+2天,True
hard,loglogistic,0.9,32.0,15.223987144853004,15周+2天,True
hard,loglogistic,0.9,34.0,16.47388307911931,16周+3天,True
hard,loglogistic,0.9,36.0,17.82639601060394,17周+6天,True
hard,loglogistic,0.9,40.0,20.873664152712628,20周+6天,True
hard,loglogistic,0.9,42.0,22.587401014776137,22周+4天,True
hard,loglogistic,0.9,46.875,27.377479729623214,27周+3天,False
hard,loglogistic,0.95,28.5,16.282585000014777,16周+2天,True
hard,loglogistic,0.95,30.5,17.61939227640192,17周+4天,True
hard,loglogistic,0.95,32.0,18.69354220448024,18周+5天,True
hard,loglogistic,0.95,34.0,20.228290110932228,20周+2天,True
hard,loglogistic,0.95,36.0,21.889041484816655,21周+6天,True
hard,loglogistic,0.95,40.0,25.63078371573645,25周+4天,False
hard,loglogistic,0.95,42.0,27.73508215303438,27周+5天,False
hard,loglogistic,0.95,46.875,33.61682244661113,33周+4天,False
hard,weibull,0.8,28.5,10.742968058321551,10周+5天,True
hard,weibull,0.8,30.5,11.560785652660872,11周+4天,True
hard,weibull,0.8,32.0,12.214751823222858,12周+2天,True
hard,weibull,0.8,34.0,13.1446102103361,13周+1天,True
hard,weibull,0.8,36.0,14.145254859225124,14周+1天,True
hard,weibull,0.8,40.0,16.380867816898373,16周+3天,True
hard,weibull,0.8,42.0,17.627875332743045,17周+4天,True
hard,weibull,0.8,46.875,21.07978564755817,21周+1天,True
hard,weibull,0.9,28.5,13.821858217777551,13周+6天,True
hard,weibull,0.9,30.5,14.87405894811539,14周+6天,True
hard,weibull,0.9,32.0,15.715449115121336,15周+5天,True
hard,weibull,0.9,34.0,16.911801065487143,16周+6天,True
hard,weibull,0.9,36.0,18.199226327131523,18周+1天,True
hard,weibull,0.9,40.0,21.075556700919655,21周+1天,True
hard,weibull,0.9,42.0,22.679951407013657,22周+5天,True
hard,weibull,0.9,46.875,27.121164923877902,27周+1天,False
hard,weibull,0.95,28.5,16.633411015720412,16周+4天,True
hard,weibull,0.95,30.5,17.899643597692638,17周+6天,True
hard,weibull,0.95,32.0,18.912183898127427,18周+6天,True
hard,weibull,0.95,34.0,20.351890006839984,20周+2天,True
hard,weibull,0.95,36.0,21.90119496942523,21周+6天,True
hard,weibull,0.95,40.0,25.36260982192916,25周+3天,False
hard,weibull,0.95,42.0,27.29336009858758,27周+2天,False
hard,weibull,0.95,46.875,32.63797647871815,32周+4天,False
credible_eta025,lognormal,0.8,28.5,6.912009079231219,6周+6天,False
credible_eta025,lognormal,0.8,30.5,8.171674097239478,8周+1天,False
credible_eta025,lognormal,0.8,32.0,9.264907573093335,9周+2天,False
credible_eta025,lognormal,0.8,34.0,10.953371785325473,11周+0天,True
credible_eta025,lognormal,0.8,36.0,12.949546719277926,13周+0天,True
credible_eta025,lognormal,0.8,40.0,18.09956104923923,18周+1天,True
credible_eta025,lognormal,0.8,42.0,21.398078692038293,21周+3天,True
credible_eta025,lognormal,0.8,46.875,32.180845758181206,32周+1天,False
credible_eta025,lognormal,0.9,28.5,9.676619884662829,9周+5天,False
credible_eta025,lognormal,0.9,30.5,11.440115768645176,11周+3天,True
credible_eta025,lognormal,0.9,32.0,12.970612136598897,13周+0天,True
credible_eta025,lognormal,0.9,34.0,15.334414930162977,15周+2天,True
credible_eta025,lognormal,0.9,36.0,18.12900414984297,18周+1天,True
credible_eta025,lognormal,0.9,40.0,25.3388805403909,25周+2天,False
credible_eta025,lognormal,0.9,42.0,29.95671322063539,30周+0天,False
credible_eta025,lognormal,0.9,46.875,45.052286303350606,45周+0天,False
credible_eta025,lognormal,0.95,28.5,12.775902501261784,12周+5天,True
credible_eta025,lognormal,0.95,30.5,15.104220833869306,15周+1天,True
credible_eta025,lognormal,0.95,32.0,17.12491324594842,17周+1天,True
credible_eta025,lognormal,0.95,34.0,20.245808184753496,20周+2天,True
credible_eta025,lognormal,0.95,36.0,23.93546426582969,24周+0天,True
credible_eta025,lognormal,0.95,40.0,33.454560697196754,33周+3天,False
credible_eta025,lognormal,0.95,42.0,39.55141897964851,39周+4天,False
credible_eta025,lognormal,0.95,46.875,59.48188769746166,59周+3天,False
credible_eta025,loglogistic,0.8,28.5,7.056563717500516,7周+0天,False
credible_eta025,loglogistic,0.8,30.5,8.329977096183343,8周+2天,False
credible_eta025,loglogistic,0.8,32.0,9.433692420113614,9周+3天,False
credible_eta025,loglogistic,0.8,34.0,11.136077691341146,11周+1天,True
credible_eta025,loglogistic,0.8,36.0,13.14567200465206,13周+1天,True
credible_eta025,loglogistic,0.8,40.0,18.318245365456985,18周+2天,True
credible_eta025,loglogistic,0.8,42.0,21.623919296313243,21周+4天,True
credible_eta025,loglogistic,0.8,46.875,32.400939476099225,32周+3天,False
credible_eta025,loglogistic,0.9,28.5,9.554956459588505,9周+4天,False
credible_eta025,loglogistic,0.9,30.5,11.279224796909158,11周+2天,True
credible_eta025,loglogistic,0.9,32.0,12.773713089812976,12周+5天,True
credible_eta025,loglogistic,0.9,34.0,15.078831812638798,15周+1天,True
credible_eta025,loglogistic,0.9,36.0,17.799927651042676,17周+6天,True
credible_eta025,loglogistic,0.9,40.0,24.80386260084635,24周+6天,True
credible_eta025,loglogistic,0.9,42.0,29.279918049845563,29周+2天,False
credible_eta025,loglogistic,0.9,46.875,43.872567206627465,43周+6天,False
credible_eta025,loglogistic,0.95,28.5,12.633433356899223,12周+4天,True
credible_eta025,loglogistic,0.95,30.5,14.913237479616296,14周+6天,True
