mode,rho,tau_type,groups,total_cost,cutpoints,fraction_of_max_reduction
ordinary,0.8,bootstrap_median,1,122.19136562347411,[],0.0
ordinary,0.8,bootstrap_median,2,74.6731894493103,[31.7686576929447],0.497220900229419
ordinary,0.8,bootstrap_median,3,46.95216388702392,"[31.0253201733632, 35.02941549]",0.7872882890711861
ordinary,0.8,bootstrap_median,4,36.661888408660886,"[30.90865332054825, 33.6163850333305, 36.09730783]",0.8949637187469216
ordinary,0.8,bootstrap_median,5,30.97257223129272,"[29.525661425178548, 31.0253201733632, 33.6163850333305, 36.09730783]",0.9544956103126353
ordinary,0.8,bootstrap_median,6,26.623829841613766,"[29.525661425178548, 30.85851518, 32.7032818769354, 34.258432214678805, 36.09730783]",1.0
ordinary,0.8,individual_q95,1,163.28266882896423,[],0.0
ordinary,0.8,individual_q95,2,94.0844456863403,[34.411814519222446],0.554934175396261
ordinary,0.8,individual_q95,3,61.547204456329325,"[31.601903731978553, 35.43452652765335]",0.8158661229468539
ordinary,0.8,individual_q95,4,47.52800866127013,"[31.27458389444175, 33.75308582329245, 36.09730783]",0.9282928660760115
ordinary,0.8,individual_q95,5,41.46363306999205,"[31.0253201733632, 32.741668448490245, 34.258432214678805, 36.09730783]",0.9769260406750594
ordinary,0.8,individual_q95,6,38.58639635086058,"[29.43062944343895, 31.0253201733632, 32.741668448490245, 34.258432214678805, 36.09730783]",1.0
ordinary,0.9,bootstrap_median,1,112.03331050872802,[],0.0
ordinary,0.9,bootstrap_median,2,59.849800586700425,[33.80998091497105],0.5846149394348594
ordinary,0.9,bootstrap_median,3,38.878927040100095,"[31.0253201733632, 34.824950689999994]",0.819552872637523
ordinary,0.9,bootstrap_median,4,29.266436862945554,"[30.761083097004153, 33.6163850333305, 36.09730783]",0.9272421670359292
ordinary,0.9,bootstrap_median,5,25.728533983230587,"[29.92762346, 31.426179554571, 33.6163850333305, 36.09730783]",0.9668775016625467
ordinary,0.9,bootstrap_median,6,22.771975564956662,"[29.26591345677795, 30.63776876310955, 32.18924892207405, 33.6163850333305, 36.09730783]",1.0
ordinary,0.9,individual_q95,1,182.95308465003956,[],0.0
ordinary,0.9,individual_q95,2,99.56756489753715,[33.035066021815396],0.7937430172949211
ordinary,0.9,individual_q95,3,84.32057674407953,"[30.90865332054825, 33.035066021815396]",0.9388784127149656
ordinary,0.9,individual_q95,4,80.90105236053462,"[29.92762346, 31.426179554571, 33.035066021815396]",0.9714287117352826
ordinary,0.9,individual_q95,5,78.88808042526237,"[29.46600999140705, 30.7981037518733, 32.18924892207405, 33.035066021815396]",0.9905901011752642
ordinary,0.9,individual_q95,6,77.89953717231744,"[29.46600999140705, 30.613978178040647, 31.373618482277948, 32.18924892207405, 33.035066021815396]",1.0
measurement,0.8,bootstrap_median,1,106.93738651275635,[],0.0
measurement,0.8,bootstrap_median,2,63.218833255767805,[31.835775192944702],0.5162106402810498
measurement,0.8,bootstrap_median,3,39.7099492073059,"[31.198310055, 34.965401695]",0.7937938442725857
measurement,0.8,bootstrap_median,4,31.460517597198482,"[31.0253201733632, 33.6163850333305, 36.09730783]",0.8911997293295794
measurement,0.8,bootstrap_median,5,26.59580707550049,"[29.415395388195698, 31.0253201733632, 33.6163850333305, 36.09730783]",0.948640224179126
measurement,0.8,bootstrap_median,6,22.24608058929443,"[29.415395388195698, 30.90865332054825, 32.788220758624746, 34.258432214678805, 36.09730783]",1.0
measurement,0.8,individual_q95,1,160.112584323883,[],0.0
measurement,0.8,individual_q95,2,91.50880681037901,[34.411814519222446],0.5640841241897019
measurement,0.8,individual_q95,3,60.05351665496822,"[31.7686576929447, 35.43452652765335]",0.8227204623265519
measurement,0.8,individual_q95,4,46.740357980728156,"[31.27458389444175, 33.75308582329245, 36.09730783]",0.9321858842485301
measurement,0.8,individual_q95,5,40.988497543334965,"[30.90865332054825, 32.741668448490245, 34.258432214678805, 36.09730783]",0.9794796816877408
measurement,0.8,individual_q95,6,38.492821292877196,"[30.102058579967398, 31.601903731978553, 32.855693790000004, 34.258432214678805, 36.09730783]",1.0
measurement,0.9,bootstrap_median,1,95.95549864768981,[],0.0
measurement,0.9,bootstrap_median,2,50.56676716804504,[33.75308582329245],0.5881635879487481
measurement,0.9,bootstrap_median,3,32.81037774085998,"[31.0253201733632, 34.824950689999994]",0.8182573000674045
measurement,0.9,bootstrap_median,4,24.436720895767206,"[30.7981037518733, 33.6163850333305, 36.09730783]",0.9267661720650738
measurement,0.9,bootstrap_median,5,21.216965246200555,"[29.92762346, 31.5045234250675, 33.6163850333305, 36.09730783]",0.9684889295300328
measurement,0.9,bootstrap_median,6,18.78524804115295,"[29.525661425178548, 30.7981037518733, 32.642336522060546, 34.10245052764635, 36.09730783]",1.0
measurement,0.9,individual_q95,1,172.08305233955375,[],0.0
measurement,0.9,individual_q95,2,87.78816580772393,[33.332582615],0.8060913372208149
measurement,0.9,individual_q95,3,73.06196646690361,"[30.90865332054825, 33.332582615]",0.9469143717751085
measurement,0.9,individual_q95,4,70.5487482261657,"[30.7981037518733, 32.18924892207405, 33.332582615]",0.9709476617616748
