case,mode,threshold,eta,error_multiplier,n_left,n_interval,n_right,n_uninformative,state_conflicts,uncertain_visits,chosen_distribution,aic,bic,intercept,beta_bmi_std,beta_bmi_raw,time_ratio_per_bmi,sigma,rho,feasible_k4,cutpoints,times,coverage,total_cost,individuals_after_25,tau_median,tau_q90,tau_max
hard_threshold_0.035,hard,0.035,0.025,1.0,231,31,5,0,27,0,loglogistic,281.4882138771919,292.2499598523927,2.0285756367029255,0.1328791721549836,0.0444986517295966,1.045503567087989,0.2556078823369364,0.8,True,"[31.0253201733632, 33.6163850333305, 36.09730783]","[10.180408936639358, 11.463964821058678, 12.648047128875271, 15.099269748298955]","[0.8130081300813008, 0.8095238095238095, 0.8, 0.8]",38.284218656531394,0,10.570249555985262,12.780827751909923,21.149783858333343
hard_threshold_0.035,hard,0.035,0.025,1.0,231,31,5,0,27,0,loglogistic,281.4882138771919,292.2499598523927,2.0285756367029255,0.1328791721549836,0.0444986517295966,1.045503567087989,0.2556078823369364,0.9,True,"[30.7981037518733, 33.6163850333305, 36.09730783]","[12.547291436010356, 14.243831449806134, 15.77582618976349, 20.153747263960497]","[0.907563025210084, 0.9090909090909091, 0.9, 0.9]",30.37639574430651,1,13.004865604822507,15.724600100653117,26.021154485697668
credible_threshold_0.035,credible,0.035,0.025,1.0,251,4,6,6,1,178,loglogistic,87.72155591749024,98.41511713945832,0.9846131312756256,0.4184143511548841,0.1402512215702017,1.1505628087483777,0.4384505953325578,0.8,True,"[29.37857702, 30.5711615791423, 36.09730783]","[10.0, 10.0, 10.0, 14.025971141196536]","[1.0, 1.0, 1.0, 0.8]",306.45523904554454,2,4.5583762354529505,8.293767952559405,40.569537666064
credible_threshold_0.035,credible,0.035,0.025,1.0,251,4,6,6,1,178,loglogistic,87.72155591749024,98.41511713945832,0.9846131312756256,0.4184143511548841,0.1402512215702017,1.1505628087483777,0.4384505953325578,0.9,True,"[28.56652825177255, 34.01253445026795, 35.2208681140727]","[10.0, 10.0, 10.952149689140878, 22.50539598753375]","[1.0, 1.0, 0.9, 0.9]",158.2408042595685,3,6.504663020481703,11.834952385431771,57.89148542896966
hard_threshold_0.040,hard,0.04,0.025,1.0,217,43,7,0,32,0,lognormal,368.0336446095855,378.7953905847863,2.0470704846991445,0.1170110221658537,0.0391847167576378,1.0399625644223078,0.5339858058446498,0.8,True,"[31.0253201733632, 33.6163850333305, 36.09730783]","[11.490087239363088, 12.756590430847398, 13.909946400520912, 16.258138253574685]","[0.8130081300813008, 0.8095238095238095, 0.8, 0.8]",37.173470070089394,0,11.87666321522604,14.038455772747074,21.87479518341232
hard_threshold_0.040,hard,0.04,0.025,1.0,217,43,7,0,32,0,lognormal,368.0336446095855,378.7953905847863,2.0470704846991445,0.1170110221658537,0.0391847167576378,1.0399625644223078,0.5339858058446498,0.9,True,"[30.7981037518733, 33.6163850333305, 36.09730783]","[14.555233325266702, 16.274919618043704, 17.806810226238223, 22.092664519537998]","[0.907563025210084, 0.9090909090909091, 0.9, 0.9]",30.1018075386625,2,15.021641878471913,17.755884066378293,27.667311386659396
credible_threshold_0.040,credible,0.04,0.025,1.0,235,16,9,7,3,208,loglogistic,195.06251829895663,205.74456319200328,1.7125349135824444,0.2477549699106448,0.0829512495839178,1.086488840474099,0.3737705259364266,0.8,True,"[32.9759465231214, 34.3202115368548, 36.09730783]","[10.0, 11.113965017522302, 12.747295267682109, 17.287901100453066]","[0.9567567567567568, 0.8205128205128205, 0.8260869565217391, 0.8]",101.94980059312894,2,8.892896187069956,12.670245353887676,32.400939476099225
credible_threshold_0.040,credible,0.04,0.025,1.0,235,16,9,7,3,208,loglogistic,195.06251829895663,205.74456319200328,1.7125349135824444,0.2477549699106448,0.0829512495839178,1.086488840474099,0.3737705259364266,0.9,True,"[30.68221255328655, 32.642336522060546, 34.50887419732065]","[11.251677683308657, 13.282728457078806, 15.280015710032137, 23.408722560364115]","[0.9043478260869565, 0.9016393442622951, 0.9019607843137255, 0.9]",76.31043341793317,4,12.04144669683383,17.156175092482805,43.872567206627465
hard_threshold_0.045,hard,0.045,0.025,1.0,196,60,11,0,32,0,lognormal,483.94204734565056,494.70379332085133,2.200618223241104,0.1090511978047637,0.0365191263093486,1.037194141524045,0.5186477192432639,0.8,True,"[31.0253201733632, 33.6163850333305, 36.09730783]","[13.274766549564722, 14.63352714451606, 15.862904026748918, 18.345079073793155]","[0.8130081300813008, 0.8095238095238095, 0.8, 0.8]",39.572446007852946,0,13.690534188494244,15.99944387606856,24.189450792895084
hard_threshold_0.045,hard,0.045,0.025,1.0,196,60,11,0,32,0,lognormal,483.94204734565056,494.70379332085133,2.200618223241104,0.1090511978047637,0.0365191263093486,1.037194141524045,0.5186477192432639,0.9,True,"[30.7981037518733, 33.6163850333305, 36.09730783]","[16.701153969722025, 18.53305043579346, 20.153783279209694, 24.64036158251099]","[0.907563025210084, 0.9090909090909091, 0.9, 0.9]",31.71486024825425,2,17.199383190948605,20.100060543864355,30.389145349437733
