rho,failure_probability,retest_delay_weeks,group,recommended_week_raw,recommended_week,week_day,delay_vs_no_failure,after_25
0.8,0.0,1.0,1,11.490087239363087,11.571428571428571,11周+4天,0.0,False
0.8,0.0,1.0,2,12.751073590745294,12.857142857142858,12周+6天,0.0,False
0.8,0.0,1.0,3,13.909946400520916,14.0,14周+0天,0.0,False
0.8,0.0,1.0,4,16.258138253574693,16.285714285714285,16周+2天,0.0,False
0.8,0.0,2.0,1,11.490087239363087,11.571428571428571,11周+4天,0.0,False
0.8,0.0,2.0,2,12.751073590745294,12.857142857142858,12周+6天,0.0,False
0.8,0.0,2.0,3,13.909946400520916,14.0,14周+0天,0.0,False
0.8,0.0,2.0,4,16.258138253574693,16.285714285714285,16周+2天,0.0,False
0.8,0.05,1.0,1,11.54572126588155,11.571428571428571,11周+4天,0.0,False
0.8,0.05,1.0,2,12.806122914092871,12.857142857142858,12周+6天,0.0,False
0.8,0.05,1.0,3,13.964555869347933,14.0,14周+0天,0.0,False
0.8,0.05,1.0,4,16.312055869045654,16.428571428571427,16周+3天,0.14285714285714235,False
0.8,0.05,2.0,1,11.613841221226986,11.714285714285714,11周+5天,0.14285714285714235,False
0.8,0.05,2.0,2,12.872265012371836,13.0,13周+0天,0.14285714285714235,False
0.8,0.05,2.0,3,14.029222395120543,14.142857142857142,14周+1天,0.14285714285714235,False
0.8,0.05,2.0,4,16.37442467309998,16.428571428571427,16周+3天,0.14285714285714235,False
0.8,0.1,1.0,1,11.600692639726446,11.714285714285714,11周+5天,0.14285714285714235,False
0.8,0.1,1.0,2,12.860584551847598,13.0,13周+0天,0.14285714285714235,False
0.8,0.1,1.0,3,14.01863314452253,14.142857142857142,14周+1天,0.14285714285714235,False
0.8,0.1,1.0,4,16.36552697561205,16.428571428571427,16周+3天,0.14285714285714235,False
0.8,0.1,2.0,1,11.73451388295143,11.857142857142858,11周+6天,0.2857142857142865,False
0.8,0.1,2.0,2,12.990756657314602,13.0,13周+0天,0.14285714285714235,False
0.8,0.1,2.0,3,14.146077195212781,14.285714285714286,14周+2天,0.2857142857142865,False
0.8,0.1,2.0,4,16.488712537325334,16.571428571428573,16周+4天,0.28571428571428825,False
0.8,0.15,1.0,1,11.655013720862366,11.714285714285714,11周+5天,0.14285714285714235,False
0.8,0.15,1.0,2,12.914468437639623,13.0,13周+0天,0.14285714285714235,False
0.8,0.15,1.0,3,14.07218650434303,14.142857142857142,14周+1天,0.14285714285714235,False
0.8,0.15,1.0,4,16.41855754831116,16.428571428571427,16周+3天,0.14285714285714235,False
0.8,0.15,2.0,1,11.852209094473777,11.857142857142858,11周+6天,0.2857142857142865,False
0.8,0.15,2.0,2,13.10663284592787,13.142857142857142,13周+1天,0.2857142857142847,False
0.8,0.15,2.0,3,14.260581390553444,14.285714285714286,14周+2天,0.2857142857142865,False
0.8,0.15,2.0,4,16.601052925143556,16.714285714285715,16周+5天,0.4285714285714306,False
0.9,0.0,1.0,1,14.61406241877289,14.714285714285714,14周+5天,0.0,False
0.9,0.0,1.0,2,16.273962142085185,16.285714285714285,16周+2天,0.0,False
0.9,0.0,1.0,3,17.806810226238223,17.857142857142858,17周+6天,0.0,False
0.9,0.0,1.0,4,22.092664519537994,22.142857142857142,22周+1天,0.0,False
0.9,0.0,2.0,1,14.61406241877289,14.714285714285714,14周+5天,0.0,False
0.9,0.0,2.0,2,16.273962142085185,16.285714285714285,16周+2天,0.0,False
0.9,0.0,2.0,3,17.806810226238223,17.857142857142858,17周+6天,0.0,False
0.9,0.0,2.0,4,22.092664519537994,22.142857142857142,22周+1天,0.0,False
0.9,0.05,1.0,1,14.669985139173011,14.714285714285714,14周+5天,0.0,False
0.9,0.05,1.0,2,16.329243135415034,16.428571428571427,16周+3天,0.14285714285714235,False
0.9,0.05,1.0,3,17.86161072875286,18.0,18周+0天,0.14285714285714235,False
0.9,0.05,1.0,4,22.146491142913266,22.285714285714285,22周+2天,0.14285714285714235,False
0.9,0.05,2.0,1,14.739460367306851,14.857142857142858,14周+6天,0.14285714285714413,False
0.9,0.05,2.0,2,16.396448621116544,16.428571428571427,16周+3天,0.14285714285714235,False
0.9,0.05,2.0,3,17.927141231322004,18.0,18周+0天,0.14285714285714235,False
0.9,0.05,2.0,4,22.208692200982775,22.285714285714285,22周+2天,0.14285714285714235,False
0.9,0.1,1.0,1,14.72519208274869,14.857142857142858,14周+6天,0.14285714285714413,False
0.9,0.1,1.0,2,16.383894806446623,16.428571428571427,16周+3天,0.14285714285714235,False
0.9,0.1,1.0,3,17.915845229930312,18.0,18周+0天,0.14285714285714235,False
0.9,0.1,1.0,4,22.19987639213993,22.285714285714285,22周+2天,0.14285714285714235,False
0.9,0.1,2.0,1,14.861340358776808,15.0,15周+0天,0.2857142857142865,False
0.9,0.1,2.0,2,16.51590514981262,16.571428571428573,16周+4天,0.28571428571428825,False
0.9,0.1,2.0,3,18.044789653933996,18.142857142857142,18周+1天,0.2857142857142847,False
0.9,0.1,2.0,4,22.322695070978046,22.428571428571427,22周+3天,0.2857142857142847,False
0.9,0.15,1.0,1,14.779700883538483,14.857142857142858,14周+6天,0.14285714285714413,False
0.9,0.15,1.0,2,16.437930989671905,16.571428571428573,16周+4天,0.28571428571428825,False
0.9,0.15,1.0,3,17.96952504571905,18.0,18周+0天,0.14285714285714235,False
0.9,0.15,1.0,4,22.252827307071808,22.285714285714285,22周+2天,0.14285714285714235,False
0.9,0.15,2.0,1,14.979885724854082,15.0,15周+0天,0.2857142857142865,False
0.9,0.15,2.0,2,16.632472051859875,16.714285714285715,16周+5天,0.4285714285714306,False
0.9,0.15,2.0,3,18.159868101134226,18.285714285714285,18周+2天,0.42857142857142705,False
0.9,0.15,2.0,4,22.43474041749847,22.571428571428573,22周+4天,0.4285714285714306,False
