model,time,n_known,prevalence,mean_predicted,brier_in_sample
bmi_only,12,103,0.5631067961165048,0.7811965352925372,0.2809547685248184
bmi_only,14,237,0.8987341772151899,0.862615803095591,0.0878094206469629
bmi_only,16,241,0.921161825726141,0.9108594873015066,0.0716895574348018
bmi_only,18,249,0.963855421686747,0.9403962973905008,0.0350992135811261
bmi_only,20,253,0.9723320158102768,0.9595713445854605,0.0266851385845926
bmi_age_height,12,103,0.5631067961165048,0.7770100627568671,0.2795715857100142
bmi_age_height,14,237,0.8987341772151899,0.8626504805973241,0.0867981954732346
bmi_age_height,16,241,0.921161825726141,0.9111041122298048,0.0705578053463307
bmi_age_height,18,249,0.963855421686747,0.9407503942457344,0.0343188542642432
bmi_age_height,20,253,0.9723320158102768,0.9601084723810122,0.0262366958225212
bmi_full,12,103,0.5631067961165048,0.7733800588858982,0.2773506400503093
bmi_full,14,237,0.8987341772151899,0.861933523352899,0.0857275908857286
bmi_full,16,241,0.921161825726141,0.9106408081763064,0.0696585945212276
bmi_full,18,249,0.963855421686747,0.9407281202292026,0.0340821112798625
bmi_full,20,253,0.9723320158102768,0.9604177517336016,0.0264646954240468
weight_height_full,12,103,0.5631067961165048,0.7725458541813855,0.2765530885496113
weight_height_full,14,237,0.8987341772151899,0.8621410198769048,0.0854598190686058
weight_height_full,16,241,0.921161825726141,0.9108815267737448,0.0694170831959978
weight_height_full,18,249,0.963855421686747,0.9409327315682158,0.0340567242499163
weight_height_full,20,253,0.9723320158102768,0.9605890121746684,0.0264234080221004
