label,bin,records,mean_predicted_probability,observed_positive_rate
T13,1,121,0.01289336004138737,0.0
T13,2,121,0.026325072612592086,0.015395894428152493
T13,3,121,0.03686708867619602,0.01615108528456674
T13,4,121,0.050155674003952065,0.07394366197183098
T13,5,121,0.08619345428282338,0.09866064475938327
T18,1,121,0.023726559323893403,0.00840268886043534
T18,2,121,0.04314482436390172,0.02119071644803229
T18,3,121,0.06306901116018376,0.055482166446499344
T18,4,121,0.0870067171646507,0.029414933735588837
T18,5,121,0.17431845976960605,0.27475069804547264
T21,1,121,0.019608733845483325,0.06883259911894272
T21,2,121,0.021427493517159883,0.031356898517673884
T21,3,121,0.022432447890863867,0.00818968879182591
T21,4,121,0.023558695913558636,0.0
T21,5,121,0.02695939572299091,0.008820564516129031
