label,model,metric,n,mean,sd,q025,median,q975,positive_fraction
T13,elastic_full,roc_auc,20,0.7484515588707896,0.06550684701020246,0.6523065751296521,0.7352137259829568,0.8533505425966964,1.0
T13,elastic_full,pr_auc,20,0.14453151249390694,0.05443746430639638,0.08146618733768446,0.13689895852607695,0.2598420313252802,1.0
T13,elastic_full,brier,20,0.03888807699883294,0.0010567999652299502,0.03668010626306562,0.0389418951784547,0.04015807752006438,1.0
T13,elastic_full,logloss,20,0.15969526210870613,0.0086803687956035,0.14427987388209287,0.15989391379525486,0.17350166932689193,1.0
T13,elastic_full,coverage,20,0.3975434618291761,0.09099659935455363,0.2879255749919015,0.37295918367346936,0.5822064301911241,1.0
T13,elastic_full,sensitivity_all,20,0.26054054054054054,0.10282765476712179,0.11540540540540539,0.22972972972972971,0.4162162162162162,1.0
T13,elastic_full,specificity_all,20,0.3431518737672584,0.09118412543108144,0.2366153846153846,0.32532544378698225,0.5307527472527472,1.0
T13,elastic_full,selective_sensitivity,20,0.8902704628028456,0.14020819361425443,0.5794478527607362,0.9241203223489988,1.0,1.0
T13,elastic_full,selective_specificity,20,0.8482685018707175,0.040483135639919225,0.770225549625177,0.8542015093940316,0.9032216114339975,1.0
T13,elastic_full,selective_accuracy,20,0.8492120652405504,0.03763068177209985,0.7777718029321523,0.8523528481488355,0.8984161774572128,1.0
T13,elastic_full,quality_retest_rate,20,0.011498488284202503,0.000893659920447749,0.00976473922902488,0.0117913832199546,0.0125472411186696,1.0
T18,elastic_full,roc_auc,20,0.8227303872285112,0.011256851081214912,0.8054626136644412,0.8228147499897052,0.8410935265334203,1.0
T18,elastic_full,pr_auc,20,0.40768884589969356,0.061513798434736436,0.30272341522752555,0.4111832202360596,0.5072831502145263,1.0
T18,elastic_full,brier,20,0.06154906317366286,0.002152530809939625,0.057192701780248024,0.061369400045627645,0.06480318059207793,1.0
T18,elastic_full,logloss,20,0.22424728813232725,0.006174912529755639,0.21287520924604972,0.22323699657321927,0.23261815092312008,1.0
T18,elastic_full,coverage,20,0.4391715257531583,0.03568415659551201,0.36982493791167254,0.4425089083252348,0.4815844671201814,1.0
T18,elastic_full,sensitivity_all,20,0.4330924855491329,0.0449338930580634,0.361235549132948,0.4356936416184971,0.521820809248555,1.0
T18,elastic_full,specificity_all,20,0.385052552024747,0.03517981967123709,0.31407861126734166,0.3887883155230597,0.4293585372140983,1.0
T18,elastic_full,selective_sensitivity,20,0.8271217744896735,0.04973024920488721,0.7414316142451434,0.8270270270270269,0.8979410401946021,1.0
T18,elastic_full,selective_specificity,20,0.8911562509839026,0.013636703210834511,0.8608320647930912,0.8943885045320229,0.9109284171102243,1.0
T18,elastic_full,selective_accuracy,20,0.8850196706739641,0.011404781809332621,0.8621905747406411,0.8852075634714651,0.9054371138998024,1.0
T18,elastic_full,quality_retest_rate,20,0.011923658352229709,0.0009177814806981092,0.010657596371882,0.0117913832199546,0.0134920634920634,1.0
T21,elastic_full,roc_auc,20,0.40759991414297003,0.07818702516709179,0.2713703117716305,0.4100935012022613,0.5274033993194643,1.0
T21,elastic_full,pr_auc,20,0.028098543856213732,0.016494688167184017,0.01634909934131989,0.0234583420541244,0.0704939561681166,1.0
T21,elastic_full,brier,20,0.023510091117040794,0.00021936267696251615,0.023299585836289254,0.023465348116935,0.02400898294483555,1.0
T21,elastic_full,logloss,20,0.11877151978053413,0.004283889518948012,0.11359669017479787,0.11673549592303155,0.12653736963383122,1.0
T21,elastic_full,coverage,20,0.22278884569700894,0.15167139168113844,0.06548469387755096,0.20669744088111436,0.5660050210560413,1.0
T21,elastic_full,sensitivity_all,20,0.00833333333333333,0.025938638839442973,0.0,0.0,0.08392857142857137,0.1
T21,elastic_full,specificity_all,20,0.18062579503346052,0.1540026796988403,0.016675377468060356,0.1508074774625297,0.5241687406669983,1.0
T21,elastic_full,selective_sensitivity,16,0.071875,0.25031230493125983,0.0,0.0,0.68125,0.125
T21,elastic_full,selective_specificity,20,0.7180277852509196,0.21676681563027306,0.22199567110840795,0.7975517073929668,0.9501502314141996,1.0
T21,elastic_full,selective_accuracy,20,0.7050771882098922,0.21030402995651779,0.22199567110840795,0.7723778697513177,0.9309873403217737,1.0
T21,elastic_full,quality_retest_rate,20,0.012755102040816275,0.0019617656836830367,0.010359977324262994,0.0121693121693121,0.016770597127739914,1.0
