label,parameters,folds,fraction_within_label
T13,"{""C"": 0.1, ""l1_ratio"": 0.0}",7,0.07
T13,"{""C"": 0.1, ""l1_ratio"": 0.5}",10,0.1
T13,"{""C"": 0.1, ""l1_ratio"": 1.0}",2,0.02
T13,"{""C"": 0.3, ""l1_ratio"": 0.0}",14,0.14
T13,"{""C"": 0.3, ""l1_ratio"": 0.5}",9,0.09
T13,"{""C"": 0.3, ""l1_ratio"": 1.0}",20,0.2
T13,"{""C"": 1.0, ""l1_ratio"": 0.0}",9,0.09
T13,"{""C"": 1.0, ""l1_ratio"": 0.5}",7,0.07
T13,"{""C"": 1.0, ""l1_ratio"": 1.0}",22,0.22
T18,"{""C"": 0.03, ""l1_ratio"": 0.0}",2,0.02
T18,"{""C"": 0.1, ""l1_ratio"": 0.0}",39,0.39
T18,"{""C"": 0.1, ""l1_ratio"": 0.5}",7,0.07
T18,"{""C"": 0.3, ""l1_ratio"": 0.0}",14,0.14
T18,"{""C"": 0.3, ""l1_ratio"": 0.5}",19,0.19
T18,"{""C"": 0.3, ""l1_ratio"": 1.0}",11,0.11
T18,"{""C"": 1.0, ""l1_ratio"": 0.0}",1,0.01
T18,"{""C"": 1.0, ""l1_ratio"": 0.5}",3,0.03
T18,"{""C"": 1.0, ""l1_ratio"": 1.0}",4,0.04
T21,"{""C"": 0.03, ""l1_ratio"": 0.0}",1,0.016666666666666666
T21,"{""C"": 0.1, ""l1_ratio"": 0.0}",2,0.03333333333333333
T21,"{""C"": 0.3, ""l1_ratio"": 1.0}",2,0.03333333333333333
T21,"{""C"": 1.0, ""l1_ratio"": 0.0}",23,0.38333333333333336
T21,"{""C"": 1.0, ""l1_ratio"": 0.5}",7,0.11666666666666667
T21,"{""C"": 1.0, ""l1_ratio"": 1.0}",25,0.4166666666666667
