label,reference,candidate,metric,n,mean,sd,q025,median,q975,positive_fraction
T13,z_only,elastic_full,roc_auc,100,0.38736343119112393,0.07817176378705416,0.22448687925034128,0.39398942983558416,0.5205086053932214,1.0
T13,z_only,elastic_full,pr_auc,100,0.12341475649573441,0.04935784422003014,0.04629971004139047,0.1117416114637414,0.2318892690999781,1.0
T13,z_only,elastic_full,brier,100,0.13460664241506826,0.00627711431618819,0.12378232752559558,0.13425570007017962,0.14674446071157723,1.0
T13,z_only,elastic_full,logloss,100,0.29353017064387127,0.03829900076372292,0.2075006824358255,0.30095016163833865,0.3449216479275013,1.0
T13,z_only,random_forest,roc_auc,100,0.3784879238917705,0.06775318080839608,0.25226963019655346,0.3823913321605635,0.5016244577840737,1.0
T13,z_only,random_forest,pr_auc,100,0.15235671349982935,0.05216353746912943,0.04774414773120556,0.15663945182657624,0.25552926891370015,1.0
T13,z_only,random_forest,brier,100,0.20697897707123147,0.003696689078756859,0.20001614848799973,0.20679789693878908,0.21323121489544686,1.0
T13,z_only,random_forest,logloss,100,0.5068220687430024,0.025656234759661348,0.4344427159776834,0.5130406328116595,0.5384304645623653,1.0
T18,z_only,elastic_full,roc_auc,100,0.23730600239276486,0.01910479008229601,0.19705769990907981,0.23789932914816325,0.26428682675052223,1.0
T18,z_only,elastic_full,pr_auc,100,0.3518765985073399,0.04225763088822562,0.262895062586031,0.3553624820790091,0.4193630905385911,1.0
T18,z_only,elastic_full,brier,100,0.10699107619308137,0.004078546777829523,0.09847623333801866,0.1071649387414604,0.11484443775426179,1.0
T18,z_only,elastic_full,logloss,100,0.24830788812592192,0.011524534631311594,0.22188142374374664,0.24870899081348458,0.2693085053668485,1.0
T18,z_only,random_forest,roc_auc,100,0.18599411700840549,0.02482369106038904,0.1424943076767459,0.1864761873775445,0.22523530937731007,1.0
T18,z_only,random_forest,pr_auc,100,0.2148776260499633,0.036257557039623765,0.14652734231201364,0.216139042184443,0.28512008631728086,1.0
T18,z_only,random_forest,brier,100,0.1691959489673931,0.0028098643579956262,0.1639493217770877,0.1692151460560395,0.17406753711465608,1.0
T18,z_only,random_forest,logloss,100,0.4017246742047903,0.016959117976382585,0.35800626595011037,0.40350221659872615,0.4262409721663637,1.0
T21,z_only,elastic_full,roc_auc,100,0.0774609205664459,0.09106338537066225,-0.1100407524604888,0.08206147732031283,0.24261640409164087,0.85
T21,z_only,elastic_full,pr_auc,100,0.060434249104488476,0.03918928721918098,-0.0055011189918325355,0.07169186384165545,0.13208275342029158,0.95
T21,z_only,elastic_full,brier,100,0.13183250321571438,0.05715365912671813,0.04248575141720072,0.1194241294257328,0.26754587958637666,1.0
T21,z_only,elastic_full,logloss,100,0.37888628328252305,0.4053472776309414,0.06512282565898256,0.2469988466065366,1.5282956861057133,0.98
T21,z_only,random_forest,roc_auc,100,0.037258563316925945,0.08637940191136173,-0.1456475078416965,0.040353725694691395,0.16781844464460194,0.68
T21,z_only,random_forest,pr_auc,100,0.0011866911748044198,0.011890339199388412,-0.01993178964387376,0.0014012663735242514,0.019075514637968024,0.59
T21,z_only,random_forest,brier,100,0.2380137185749328,0.05607396921327941,0.15350202233251795,0.21903436959724604,0.36744567831306085,1.0
T21,z_only,random_forest,logloss,100,0.6425827172438966,0.40492357946850416,0.3280891753787003,0.507704718223756,1.8209236948283631,1.0
T21,z_only,firth,roc_auc,100,0.018869898946802924,0.08574652513699862,-0.13230683155956974,0.02094588900213573,0.1549792896252581,0.59
T21,z_only,firth,pr_auc,100,0.07439746778986354,0.03787803404594647,0.0057161808597383235,0.0741161409019152,0.12876920156458257,0.99
T21,z_only,firth,brier,100,0.24354986727556938,0.05596677154350651,0.1596257142825556,0.22494075709220945,0.3711862931037709,1.0
T21,z_only,firth,logloss,100,0.7183406443588991,0.40037964464393316,0.42480314068972647,0.5722749927810107,1.8645114241981355,1.0
