iteration,mode,success,intercept,beta_bmi_std,sigma,bmi_mean,bmi_sd,n_left,n_interval,n_right,n_uninformative,rho80_cuts,rho80_times,rho80_cost,rho90_cuts,rho90_times,rho90_cost
0,credible,True,1.85029076555854,0.2666267637457532,0.3231730677515073,31.909461430266248,2.9578502169106113,235,16,9,7,"[32.293475444963704, 33.6163850333305, 35.65718455]","[10.0, 11.329746669497274, 13.15997095630014, 20.906876714313032]",102.57033108073733,"[29.50395123401475, 30.97970272281495, 33.128525569527596]","[10.295205982478004, 11.648228117978768, 14.303249058781665, 24.83995512633565]",128.35112879758213
1,credible,True,1.6893693187712695,0.40023091137819716,0.3353735733579025,32.075641567203164,2.9571517533902365,235,16,9,7,"[33.35454504804695, 34.056319955, 35.661028654999996]","[10.0, 11.150696120259026, 13.377386607309527, 22.927813689592455]",209.33950139710345,"[30.75052001013085, 31.5975026520864, 32.423729663906755]","[10.0, 10.39760506020089, 11.774116063228872, 22.838724244873532]",283.15450638800263
2,credible,True,1.7666091238427062,0.28608233646413694,0.3439197681154764,32.008148951698985,3.045852594446692,235,16,9,7,"[32.96671152593305, 34.42010653732065, 35.818592644999995]","[10.0, 11.416656562855488, 13.31332195859706, 20.227022421941168]",129.38429313757206,"[30.70474911127355, 32.855693790000004, 34.01253445026795]","[10.781763235173461, 13.317541276222014, 14.843091323112924, 24.713881391973153]",123.82006387842299
3,credible,True,1.5568797945531523,0.2710221538927582,0.4695154713894275,31.748917867215326,3.009992501426766,235,16,9,7,"[32.96671152593305, 34.01253445026795, 35.661028654999996]","[10.0, 10.85670967065876, 12.54623944667055, 21.172430569668514]",121.86425519715903,"[29.525661425178548, 30.97970272281495, 32.741668448490245]","[10.757893290878545, 12.174753774539834, 14.333733803028387, 24.592972839038243]",142.58670281290708
4,credible,True,1.9892294328453513,0.1476665485239548,0.23653774284988496,31.95901321554456,3.067567427923469,235,16,9,7,"[31.889543875, 33.96154718, 36.32668681]","[10.0, 10.937328413610135, 12.144652282799969, 14.350343863339207]",47.70299958333853,"[30.85879222242155, 33.6163850333305, 36.32668681]","[11.489320625286874, 13.159647900373802, 14.848210880010992, 23.009107296279726]",30.80749369091868
5,credible,True,1.883662028185801,0.12110048577121861,0.30215706537092046,31.663356542206635,3.0499955988559257,235,16,9,7,"[31.8879833079447, 33.52410683, 35.78833718]","[10.0, 10.629970082887947, 11.676503911149949, 13.466292108449634]",37.87933532561646,"[30.3632535415045, 33.52410683, 35.78833718]","[12.003794032770362, 13.585847519497076, 14.95470638330008, 18.607318699491955]",21.726689731373607
6,credible,True,1.927281431825905,0.22947781892141614,0.33256026685010603,31.719095882606723,3.0481973368472515,235,16,9,7,"[31.03269094054825, 32.788220758624746, 35.57383664765335]","[10.0, 11.486991970145555, 13.147844828594986, 20.535189951766192]",87.63923081042302,"[29.92762346, 31.45196235277445, 33.43571488]","[12.303784248326574, 13.81231818119487, 16.109398019599123, 24.981954409951655]",107.53449851028542
7,credible,True,1.7141640640090718,0.19328482091535007,0.38048990694131046,31.702417219394977,3.1357830147681405,235,16,9,7,"[32.892003438666094, 34.42799763, 36.43617476]","[10.0, 10.934944019200797, 12.453105608476468, 16.825743649199765]",71.05359886627144,"[30.79587317513085, 33.61575142335015, 36.43617476]","[11.882094319039254, 14.210586914636632, 16.95428833210958, 22.90741909684926]",37.15931427449297
8,credible,True,1.7907043299267194,0.260955836529616,0.32366566269019215,32.06695380861413,2.844598049217267,235,16,9,7,"[33.035066021815396, 34.392796086077254, 35.78833718]","[10.0, 11.259707554192746, 13.015935688948339, 17.96761687442072]",100.393077503462,"[30.96463170281495, 33.402089945911, 35.2208681140727]","[10.697272619993443, 13.557410114293132, 15.978335922091855, 23.703070409674453]",68.52513416180882
9,credible,True,1.5892034419739702,0.2098328674025352,0.41749631762991196,31.563308896602422,3.1850811640762333,235,16,9,7,"[33.337644175911, 34.277450647824, 36.270103745]","[10.0, 10.2957929510009, 11.618502892525802, 16.418590993716123]",111.58101784873992,"[30.3292723037254, 32.271096155630204, 34.42010653732065]","[11.14351823034476, 12.658714960281122, 14.45811984458119, 23.03407564033143]",66.69439982370811
