quantity,n,mean,sd,q025,median,q975
intercept,500,1.6677723413859684,0.23267907005654515,1.1330639812640573,1.713154458102791,2.0002351384411665
beta_bmi_std,500,0.24402151384927942,0.09439161688263357,0.055154152952180346,0.24043101322248628,0.44304428087874426
sigma,500,0.38602333097257996,0.08674677537819712,0.25571525118100075,0.3690586914130774,0.5905053705728991
bmi_mean,500,31.833805587747598,0.19394854828764102,31.431073707423504,31.8274805554805,32.223305465034414
bmi_sd,500,2.9695477812428224,0.2156446978633263,2.5672998654237373,2.9697778437979307,3.3860708335533585
n_left,500,235.0,0.0,235.0,235.0,235.0
n_interval,500,16.0,0.0,16.0,16.0,16.0
n_right,500,9.0,0.0,9.0,9.0,9.0
n_uninformative,500,7.0,0.0,7.0,7.0,7.0
rho80_cost,500,112.94020878240659,59.04270805650855,25.68747667670285,104.55842133207844,250.33103169630022
rho90_cost,496,97.9876158258064,86.23321153809869,9.311168951355231,67.31624931784597,340.27787217744105
