iteration,mode,success,intercept,beta_bmi_std,sigma,bmi_mean,bmi_sd,n_left,n_interval,n_right,n_uninformative,rho80_cuts,rho80_times,rho80_cost,rho90_cuts,rho90_times,rho90_cost
0,measurement,True,1.994310993924562,0.07186810586767237,0.583379667892808,31.86585530710386,2.4125998252964345,218,41,8,0,"[30.98707349, 33.4900573033305, 35.475127404999995]","[11.506772316953844, 12.454688483323963, 13.180691159481606, 14.110147030311841]",19.365496031762117,"[30.70173971, 32.93975158, 35.475127404999995]","[14.885342489720038, 15.903010360172797, 17.063834350352995, 18.92908339305825]",13.947223430437912
1,measurement,True,2.062175614510745,0.10795897847872454,0.4997200726892686,31.86391962561406,3.027942779202709,213,47,7,0,"[30.80642350513085, 32.66291330362475, 35.1705589940727]","[11.382974306226593, 12.190038091806542, 12.944346060280662, 15.52254675088663]",33.75449911446342,"[30.80642350513085, 34.111694459999995, 36.32668681]","[14.201826016547592, 16.020657242112446, 17.468369542296042, 23.815405850497875]",26.217799181146002
2,measurement,True,2.201393829332911,0.027665832753387486,0.43758108568087817,32.14572549158126,3.077528007312671,214,46,7,0,"[31.016566405, 33.61575142335015, 36.086685880000005]","[12.861295312540966, 13.186281263892814, 13.435448766582484, 13.911636868523031]",6.534923594039313,"[30.8086540818733, 33.61575142335015, 36.086685880000005]","[15.599403563785774, 16.00546479373644, 16.328994553030487, 16.886421026863413]",4.501509533242876
3,measurement,True,2.1639813031173953,0.02518580857652052,0.44256296367990566,31.820113011680096,2.7118014017028953,214,48,5,0,"[29.85108298827395, 31.83326575245955, 34.7839153964828]","[12.363770170319148, 12.568036131327952, 12.890296375353465, 13.431993084846233]",6.642900284024464,"[30.21434031247735, 32.2399911193925, 34.7839153964828]","[15.099265373054983, 15.378623034241812, 15.687718970998722, 16.40092387795633]",4.611003811981669
4,measurement,True,2.0830697000463494,0.16737973593186029,0.5322378088368543,31.808445567578584,2.9407341455784795,212,46,9,0,"[30.97970272281495, 33.80869648270895, 36.09730783]","[11.546053410407113, 13.71233957668548, 15.618723067773548, 18.8650612204877]",54.899765947417805,"[30.8131747718733, 33.59095144055455, 35.55795257478585]","[14.727663853975429, 17.374027899756307, 19.396639347495928, 24.11047234653062]",50.79501976374355
5,measurement,True,2.1553903593915167,0.05503269152769329,0.4383414838330177,31.65635823020103,3.220359424047043,214,47,6,0,"[30.5924608559611, 33.12300602801975, 36.32668681]","[12.158668567012581, 12.657251921553506, 13.359083898873482, 14.185966561083003]",17.79180781336388,"[30.3483792711496, 32.885736178624754, 36.32668681]","[14.744682989242593, 15.359684134487335, 16.2710500496538, 19.008405651692616]",12.78464846916221
6,measurement,True,2.1412333990976222,0.12886330688873507,0.45307635603093976,32.02705770047925,2.890807637720673,215,44,8,0,"[30.534848816629747, 32.9759465231214, 35.78833718]","[11.405783915243314, 12.67248835701937, 14.261400054477877, 17.233438768522156]",44.556896097322145,"[30.3186894146128, 32.8449168645578, 35.78833718]","[13.921614319907516, 15.512815041856761, 17.79324102282492, 22.823270122503732]",36.49248305992814
7,measurement,True,2.093316221083595,0.20744411862855808,0.4476053225563425,31.97966409676447,3.0128272316566918,216,45,6,0,"[30.97970272281495, 33.75437025555455, 36.32668681]","[10.51489185023752, 12.861908326128141, 15.468921300572081, 20.734305374810223]",72.21309487128663,"[30.3292723037254, 32.2234017078153, 34.09516117264635]","[12.688447701087082, 14.433122716246883, 16.40164826129993, 23.60189473095183]",73.52853021932154
8,measurement,True,2.1069682934972307,0.012584452449718592,0.4336736498618839,31.670233925733474,2.7871108388185024,212,45,10,0,"[30.6010946869128, 33.2382855636214, 35.642604625000004]","[11.76295138498118, 11.901675892132637, 12.025222966050572, 12.241265846568846]",3.769182408702008,"[30.7309928534174, 33.08240229366275, 35.642604625000004]","[14.258004375426697, 14.40969198806976, 14.573846204758402, 14.961334563559639]",2.5983992939588116
9,measurement,True,2.075145678799373,0.15274995283175505,0.494707449306519,31.96398664116842,3.460664435991655,225,33,9,0,"[31.021087095, 33.75308582329245, 36.43617476]","[11.307925577564534, 12.763597968316015, 14.240618135777066, 16.59529527249705]",47.402183593193996,"[30.79587317513085, 33.6181502639047, 35.913889964999996]","[14.066363670885984, 15.958008539153335, 17.70301786432166, 22.507323738283297]",41.721132092080964
