quantity,n,mean,sd,q025,median,q975
intercept,500,2.068090963590099,0.09871122863087162,1.852394797229676,2.0794881073571863,2.2332164972220294
beta_bmi_std,500,0.10238955899086753,0.05510000648121785,0.0,0.09759366274974657,0.2078729483736585
sigma,500,0.5238114196988104,0.07761865730668312,0.3904513742258229,0.5184852475442201,0.6909192902421187
bmi_mean,500,31.848038836476327,0.1820298767293067,31.50315100380052,31.848045847217097,32.199678700920906
bmi_sd,500,2.9730321269022544,0.22811478626471376,2.5246155675826008,2.971473481456646,3.471797097496057
n_left,500,215.112,3.6029736104605803,208.0,215.0,222.0
n_interval,500,44.568,3.5697145156786543,37.0,45.0,51.0
n_right,500,7.32,1.355461009803748,5.0,7.0,10.0
n_uninformative,500,0.0,0.0,0.0,0.0,0.0
rho80_cost,500,32.95897274654951,19.949223039138644,0.0,30.086402005299036,77.09919476820652
rho90_cost,500,31.272054492802745,28.00413918777791,0.0,23.332083151152283,111.09872048746698
