iteration,mode,success,intercept,beta_bmi_std,sigma,bmi_mean,bmi_sd,n_left,n_interval,n_right,n_uninformative,rho80_cuts,rho80_times,rho80_cost,rho90_cuts,rho90_times,rho90_cost
0,ordinary,True,1.8794593406710522,0.17814438477412703,0.5841156075977988,31.81531445499515,2.7797338759403782,217,43,7,0,"[31.15883676281495, 32.7794053198655, 35.18843456]","[10.0, 11.1358954155981, 12.356908110504941, 16.476021097764505]",60.595608782427036,"[30.69418602440025, 32.642336522060546, 34.6456217064828]","[12.68144726584717, 14.440812630882133, 15.97756324677726, 22.372642079146228]",56.17243610571589
1,ordinary,True,2.038101678690374,0.16479824326291312,0.5724196445647604,31.886694627311776,3.194715530246485,217,43,7,0,"[30.90865332054825, 33.24764125298945, 36.43617476]","[11.535543730334378, 12.972305938788354, 14.709904398250663, 20.021763299320746]",61.32045660878553,"[30.3740398739287, 32.146672769999995, 33.99974703784895]","[14.592686185708947, 16.117606321634426, 17.7113324667925, 24.467571553617468]",65.7454712263859
2,ordinary,True,1.941286435366156,0.15160367378923065,0.5355087004920485,31.825224106143686,2.8626022173748,217,43,7,0,"[30.90865332054825, 33.2727718999674, 35.661028654999996]","[10.15475766684579, 11.522114048611735, 12.939540514723157, 16.247817514284915]",46.73498034302301,"[30.70474911127355, 33.0606690944397, 35.661028654999996]","[12.881900675074837, 14.603775695983611, 16.510224953779968, 22.657687010622453]",39.11340042504091
3,ordinary,True,1.9705397780066112,0.19946643256740057,0.5655900748533077,31.977394692576876,3.033927525101647,217,43,7,0,"[31.0253201733632, 33.75437025555455, 36.153890895]","[10.457988308857223, 12.524329910537508, 14.653984148917935, 21.083230382284512]",66.45086362881709,"[29.9478781980224, 31.5045234250675, 33.6163850333305]","[12.795170059888452, 14.100342242331893, 16.201211653684094, 23.75005307140211]",80.97413774139406
4,ordinary,True,2.0552270388504716,0.12893388528859678,0.4762517482249363,31.87790237881998,2.8306051784134727,217,43,7,0,"[30.90865332054825, 33.1577184559062, 35.78833718]","[10.913178813941043, 12.114227341084387, 13.399606054105853, 16.08744352353016]",32.40007347110982,"[30.8131747718733, 33.61878387388505, 36.09730783]","[13.491336991215455, 15.361478803480832, 17.098611882890822, 20.16080732612113]",22.623545581766173
5,ordinary,True,2.204711116844264,0.07433643353382778,0.45567040186847996,31.926866018115454,3.6453433969030686,217,43,7,0,"[30.69418602440025, 33.6163850333305, 36.696902405]","[12.823634013777196, 13.64056495423799, 14.3315789571199, 16.053745000088995]",25.20783535256949,"[30.8086540818733, 33.6163850333305, 36.999319045]","[15.787775009882564, 16.73257039677656, 17.772363020480103, 22.05415468617997]",17.56093931108279
6,ordinary,True,1.9625929286552488,0.12233221776447345,0.5424585615034173,31.831073771455063,3.0121759222233364,217,43,7,0,"[30.90865332054825, 33.0606690944397, 36.09730783]","[10.62063070763097, 11.572821833113808, 12.7419371104229, 15.744952083203263]",33.272834114008894,"[30.7309928534174, 32.98221378316275, 35.818592644999995]","[13.504719550948657, 14.788628997829113, 16.327087090720795, 20.812402863712517]",27.16372893333175
7,ordinary,True,2.0692204450498144,0.11924104154391317,0.4995088554704587,32.00115990958798,3.3789071320578445,217,43,7,0,"[31.15883676281495, 34.35003519704645, 37.188725885]","[11.41193943627566, 12.860863827363765, 14.135487363804163, 16.641043212496587]",35.001820350408714,"[30.97970272281495, 34.35003519704645, 37.188725885]","[14.272969884461697, 16.145410006783457, 17.8449382654182, 23.74763728333068]",25.058300414725682
8,ordinary,True,2.150245094858579,0.1657368914356851,0.41321348304289474,32.13158842846947,3.265380352512154,217,43,7,0,"[31.0253201733632, 33.6521916860684, 36.8111298]","[11.150749126823484, 12.71107253835621, 14.708893642307816, 19.199387691151976]",55.12880404255054,"[30.6787279494622, 32.7956838498655, 34.930506245000004]","[13.40195829246716, 14.911751005364358, 16.630213016770004, 23.026910004537562]",52.65931036084908
9,ordinary,True,2.16993942179466,0.06359022217023869,0.3984215092595529,31.763947595763007,2.90857739832908,217,43,7,0,"[30.97200247, 32.891888733121405, 35.62042777765335]","[11.898328106609027, 12.42416901290206, 13.123809257416022, 14.396079017239915]",19.715016725807537,"[30.97200247, 33.5885526, 35.62042777765335]","[14.22200800596442, 15.105170525415549, 15.773166132036815, 17.910168182486586]",13.807790382645862
10,ordinary,True,2.1273422486765172,0.16343817470300231,0.46535114892414564,31.676210736210166,2.833789125278708,217,43,7,0,"[31.03269094054825, 33.6163850333305, 36.270103745]","[11.590462964222427, 13.479658947759315, 15.540583923131287, 18.884133728292156]",48.17802617685875,"[30.90413263054825, 33.6163850333305, 36.067052364999995]","[14.344067575566864, 16.76490861866345, 19.20057212800336, 23.654087886969243]",37.724538455478495
11,ordinary,True,2.0358171065655477,0.05954547496186441,0.5419039645146794,31.963609058306123,3.1051778143269315,217,43,7,0,"[30.7025185345311, 32.96671152593305, 36.09730783]","[11.70084365228648, 12.190814809596416, 12.80803719815742, 14.135035187353582]",15.701541228158602,"[30.7025185345311, 32.73998174556015, 35.35203284765335]","[14.903994758938643, 15.487387679974562, 16.25617555909452, 17.940423656222283]",12.168287774702538
12,ordinary,True,1.9892534042846246,0.14147491848916816,0.5213783712557387,31.79895813054266,2.7760960361153533,217,43,7,0,"[30.90865332054825, 33.0606690944397, 35.46054748]","[10.571366857650174, 11.783945164212792, 13.30034520997643, 16.497034742253753]",44.69482159366677,"[30.69418602440025, 32.7956838498655, 35.46054748]","[13.324931630909875, 14.821935111788797, 16.83386618357326, 20.901085242096478]",38.38135439088015
13,ordinary,True,1.9685118765773806,0.14233534857365873,0.6518585193792926,31.77461994324612,3.1158454657010615,217,43,7,0,"[31.0253201733632, 33.6163850333305, 36.270103745]","[11.630734830057332, 13.173893833627615, 14.759265200860455, 18.159560461703833]",50.00645578722431,"[30.6746588676868, 32.642336522060546, 34.150535677646346]","[15.55292253148857, 17.073436139450152, 18.23416767059656, 24.190730051590762]",49.2530321759911
14,ordinary,True,2.111033399619656,0.13829790331397102,0.4906830215765451,31.763144038187892,3.163812017590224,217,43,7,0,"[31.0253201733632, 33.6163850333305, 36.379591695]","[11.792002459659255, 13.230112840422615, 14.75695818320654, 18.794675328037126]",50.91684055857781,"[30.63776876310955, 32.146672769999995, 34.392796086077254]","[14.642345389266177, 15.657839170938619, 17.057670308353075, 23.32299880852734]",50.07938219660227
15,ordinary,True,1.8936082214873395,0.15562160950643644,0.637380971766048,31.752523251704837,3.2471620932447363,217,43,7,0,"[30.97970272281495, 33.161785373895654, 35.913889964999996]","[10.681531348959565, 11.896183838379605, 13.270679095029521, 16.978344012431965]",51.16489416959578,"[30.733223430159853, 32.93975158, 35.02655091]","[14.148518837657031, 15.727326430131042, 17.507257101794607, 23.570575010706282]",49.30947821049057
16,ordinary,True,2.0890884698515393,0.07039426498654124,0.5096558522510722,31.869249581206233,2.98897824595946,217,43,7,0,"[31.0253201733632, 33.462913703350154, 35.614437525]","[12.001625494470325, 12.722167392498138, 13.45464486125427, 15.071038667906805]",21.96682099756361,"[30.70474911127355, 33.161785373895654, 35.614437525]","[15.018711976955979, 15.892608543260982, 16.934469166921055, 19.30583715862788]",17.199591385509994
17,ordinary,True,2.121477127501406,0.08985196779617026,0.5067973316009405,31.638964277630087,2.7995770020302886,217,43,7,0,"[30.97970272281495, 33.5666893024067, 35.991388560000004]","[12.3006385538943, 13.320607408196226, 14.51427646449661, 16.26248568404904]",24.26194942073846,"[30.97970272281495, 33.5666893024067, 35.991388560000004]","[15.464711192099607, 16.80080125351246, 18.189275910722124, 20.335038449013293]",17.16448431677842
18,ordinary,True,1.8852703990683553,0.1170500485236513,0.5780773108218333,31.82097911394906,2.911214733010574,217,43,7,0,"[31.145124715, 33.6163850333305, 35.689195755]","[10.197585997904874, 11.365887977262215, 12.145147677609836, 14.477322548084379]",32.21614674257571,"[31.03269094054825, 33.6163850333305, 35.689195755]","[13.24210839066909, 14.7311373618263, 16.087493041831483, 20.095651515364022]",26.095969118958763
19,ordinary,True,2.11459140988398,0.14594140959186286,0.5282434850575282,32.063014221470446,3.238200078174849,217,43,7,0,"[30.89358230054825, 33.06560747004135, 36.307053295]","[11.983697177791708, 13.224996168282145, 14.71009279019053, 19.451733613065354]",49.31158943246143,"[30.644725759916298, 32.788220758624746, 34.965401695]","[15.177151845336098, 16.684814923519973, 18.213261849432882, 24.540542102687432]",46.51037056814235
20,ordinary,True,2.1215527122208537,0.08245335266692398,0.4548526864742749,31.968120267815145,3.218455982936163,217,43,7,0,"[31.03269094054825, 33.4900573033305, 36.8111298]","[11.77912547724226, 12.545683363047052, 13.460975458536296, 15.084689847010297]",21.98553121632964,"[30.90865332054825, 33.6163850333305, 36.8111298]","[14.431081916518439, 15.477799363484133, 16.67947710053964, 18.901841720003276]",15.978300527983887
21,ordinary,True,1.9138983034185535,0.15532615338225061,0.5625649825514825,31.867778390245046,2.819917334700301,217,43,7,0,"[30.90413263054825, 33.26747845, 36.09730783]","[10.077486947174254, 11.40752863460313, 13.046239213408109, 16.26515487288306]",45.45726313536164,"[30.79587317513085, 33.6163850333305, 36.09730783]","[12.920041251789199, 15.113369623076858, 17.21113686514256, 21.986213772684295]",40.12228970033405
22,ordinary,True,1.9483603540186105,0.10965832882106417,0.5281977795936934,31.97982190140156,2.9927149948299574,217,43,7,0,"[31.0253201733632, 33.6163850333305, 36.09730783]","[10.339918132914823, 11.408962629123582, 12.370791212178528, 14.239095790387879]",31.85638685527142,"[30.8086540818733, 33.6163850333305, 36.09730783]","[13.07158463708685, 14.538706425875267, 15.816443988290056, 19.31060992573118]",26.431631358791442
23,ordinary,True,2.060231952409849,0.11373090511774167,0.5417015847689107,31.944669498444444,3.017402001738838,217,43,7,0,"[31.021087095, 33.7506869827379, 35.784493075]","[11.628929351561869, 13.045248512537928, 14.042106922993911, 16.860526259781814]",33.35631892022087,"[30.7981037518733, 33.6163850333305, 35.784493075]","[14.862192962603432, 16.562092242870992, 18.033309787476778, 22.214980830846873]",25.17625341117446
24,ordinary,True,1.926141910823784,0.11514639398675447,0.5773919035212529,31.984575299190634,3.0600230420187873,217,43,7,0,"[30.90865332054825, 33.3086785, 36.270103745]","[10.50547924613196, 11.468578505524198, 12.783145997584873, 15.163782825097286]",34.15657889761995,"[30.8131747718733, 33.035066021815396, 36.270103745]","[13.668629633601089, 14.78514859643813, 16.49796532455239, 23.45794272837454]",26.077364714875742
25,ordinary,True,2.0126022401978583,0.06842998028475268,0.5756076453060516,31.56200197661299,3.228446442569722,217,43,7,0,"[30.622393963731597, 33.173932113621404, 36.43617476]","[11.780763902982708, 12.406733213852656, 13.217331407046657, 14.568052003956]",19.337779598548376,"[30.72266034328655, 33.044550716742805, 35.93974384]","[15.293236776130142, 16.05065030501423, 17.033567189499742, 19.165954722763484]",14.30088620762473
26,ordinary,True,2.0834886352871,0.08931545945803136,0.48982546396496124,31.76344116468361,3.0060092331686574,217,43,7,0,"[30.97518203281495, 33.6163850333305, 35.614437525]","[11.658473789673403, 12.7093335464342, 13.417291871626043, 14.848520115200479]",26.879496968082965,"[30.97518203281495, 33.6163850333305, 35.614437525]","[14.556373770417073, 15.80181263533401, 16.83849629349129, 19.877945139510786]",20.1136748213979
27,ordinary,True,2.1001863118399107,0.1279637201280447,0.4666393221437196,32.076205282064784,2.9562373697622264,217,43,7,0,"[31.03269094054825, 33.6521916860684, 36.32668681]","[11.263201666639912, 12.650775060841152, 14.141948043761188, 16.538657922577702]",39.4302843740108,"[30.8086540818733, 33.6521916860684, 36.32668681]","[13.86352907559329, 15.68272411919088, 17.514289394863646, 21.982200453741047]",31.656879512975387
28,ordinary,True,1.951636633493229,0.20777971756807487,0.6248940473915928,31.87156707740165,3.02610074166579,217,43,7,0,"[31.03269094054825, 33.6163850333305, 35.689195755]","[10.818306765341308, 12.970448752267295, 15.332599451696678, 21.01387479170439]",82.3589634922878,"[29.92762346, 31.39737659841255, 32.93512720905445]","[13.56569646654072, 14.992640252863056, 16.727890370764378, 24.834399439997327]",116.00761144710746
29,ordinary,True,2.1821741568616213,0.0483325001887789,0.42149588255871534,31.948853528473077,2.9928572748306954,217,43,7,0,"[31.0253201733632, 33.6163850333305, 35.689195755]","[12.337077234977762, 12.901148658779075, 13.290988955802433, 14.23443311551999]",14.939622585371367,"[30.7981037518733, 33.6163850333305, 35.689195755]","[14.859998429226136, 15.570628167066507, 16.126494246872326, 18.78070716286945]",10.181710037473845
30,ordinary,True,2.1674821313509627,0.15436188681076457,0.49044302380355803,32.16345805542094,3.036006204497102,217,43,7,0,"[31.066704545548248, 33.6163850333305, 36.999319045]","[12.111727317214196, 13.788053192778861, 15.94901464224319, 20.82772122503375]",52.444354592341334,"[30.622393963731597, 32.2234017078153, 34.24950479]","[15.037956422365232, 16.243605744645308, 18.040530806935006, 24.569022265065282]",53.65128310771196
31,ordinary,True,2.00945806506343,0.08184129884366921,0.5801571523801489,31.75533634068728,2.8546838864507476,217,43,7,0,"[30.98707349, 33.61575142335015, 35.818592644999995]","[11.652380853491817, 12.64881598856465, 13.55096443539438, 15.029446935133583]",24.834903498770675,"[30.76801350828655, 33.61575142335015, 35.818592644999995]","[15.110047049011998, 16.41505941066661, 17.531765957303833, 19.951308661124408]",19.638194128248834
32,ordinary,True,2.1465885692753637,0.031408814164934275,0.49374207465726755,31.939902408707876,3.2246005089641314,217,43,7,0,"[31.03269094054825, 33.80998091497105, 36.43617476]","[12.778995019751898, 13.140384792707287, 13.445096387302938, 14.041102130239224]",9.37660658622287,"[30.8131747718733, 33.6163850333305, 36.09730783]","[15.881505619045518, 16.329952765867926, 16.706979621467646, 17.61739697290579]",7.121061659610801
33,ordinary,True,2.0430624762013503,0.09818875165134455,0.4989625305434454,32.05381577609946,3.091071117390226,217,43,7,0,"[30.97970272281495, 33.48942369335015, 35.818592644999995]","[11.148778682832189, 12.101083165966077, 13.023957042916985, 17.70221161420906]",30.34768971896831,"[30.69410274884015, 33.24811706996741, 35.818592644999995]","[13.903750501069977, 15.071472493964706, 16.365078645989694, 22.047480524409306]",20.82691422278512
34,ordinary,True,1.9878579197330806,0.10143128856612445,0.5835741870083544,31.938556743807275,2.6629903239345443,217,43,7,0,"[30.79587317513085, 32.96671152593305, 35.43452652765335]","[11.21654964322523, 12.173836150579858, 13.263740855704633, 15.706265289048579]",31.65897956134952,"[30.66624308199585, 32.80167838862475, 35.43452652765335]","[14.558453408902652, 15.79163608648616, 17.330505080274133, 21.074514786940377]",26.58641557585986
35,ordinary,True,2.069584334922957,0.0816840370083884,0.5094191611888662,31.512996615583866,2.590133740460701,217,43,7,0,"[29.910796523022398, 31.6993715345789, 34.366218307824]","[11.45574504882837, 12.053804722742408, 12.955363676699156, 14.552258592823216]",23.678740901926638,"[30.623805126629748, 32.2768860333865, 34.7839153964828]","[14.725123679893395, 15.475296784961703, 16.53234518618614, 19.23763723825435]",19.41593011161153
36,ordinary,True,2.102006490064155,0.0381356968560226,0.4946988994204331,31.547494917363686,3.067103734057429,217,43,7,0,"[30.536487856629748, 32.43840999731995, 35.23874368]","[12.199115171409815, 12.476970652233883, 12.817817105784194, 13.637194435726812]",10.611032474583117,"[30.7309928534174, 33.35454504804695, 36.067052364999995]","[15.21947352411063, 15.727814657432395, 16.227987861853048, 17.163862852869567]",7.670000524541363
37,ordinary,True,2.0822929704926914,0.13445239895995686,0.4959469242179823,31.742601035178822,3.0066944807640663,217,43,7,0,"[30.70173971, 33.028798761774055, 35.64644873]","[11.393607541983368, 12.60428413222313, 14.046518556642202, 17.72778969712447]",44.98340954060106,"[30.79587317513085, 33.6163850333305, 35.64644873]","[14.31853942450562, 16.271155288649034, 17.974273601640036, 23.052702107674506]",36.8611311531469
38,ordinary,True,2.0177267949488513,0.0353659404952438,0.5093589748939769,31.892378652985272,2.9875618890393207,217,43,7,0,"[31.0417244, 33.6163850333305, 36.307053295]","[11.34831998755781, 11.702042164281314, 12.060385824021402, 12.605440680067314]",8.997304925238756,"[30.72266034328655, 33.17799903161085, 36.09730783]","[14.206008814407163, 14.61564818933685, 15.095319190290104, 15.928513900098858]",6.61985710082773
39,ordinary,True,2.04182586484445,0.013655587279370026,0.5170786437005096,31.24187128252054,2.686018539484463,217,43,7,0,"[29.44870895640705, 31.145124715, 33.968836534999994]","[11.778851670063833, 11.866003129603277, 12.029866515644136, 12.22871161773478]",3.976120201333806,"[30.3529487489287, 32.643977997384354, 34.827777775]","[14.861620681803789, 15.036609960447592, 15.1951099661811, 15.511512948149145]",3.362962562077363
40,ordinary,True,2.0327124200857276,0.17619835433799622,0.4820139350383603,31.971442329227507,3.3540793750131455,217,43,7,0,"[31.0253201733632, 33.6163850333305, 36.8111298]","[10.571235556825789, 12.055193322597159, 14.068004399650652, 18.53490575097496]",53.458930843334315,"[30.787540665, 32.820957092868454, 35.78833718]","[13.145527499685384, 14.57611047210124, 17.086935377209958, 22.913088605823695]",48.93484339134457
41,ordinary,True,1.9500107009436547,0.14430132054112169,0.7098118782358744,32.04195513202579,2.7116948327548855,217,43,7,0,"[30.90413263054825, 33.173932113621404, 35.818592644999995]","[11.749145232148193, 13.222469594519136, 14.898589136054639, 18.797965188155878]",43.77842569769778,"[29.2908193387951, 30.7981037518733, 32.18924892207405]","[14.95505373392892, 16.19172635396896, 17.45968071127399, 24.702984603473624]",84.14994628899328
42,ordinary,True,2.0105929414865096,0.20496660994472307,0.5802621334671225,31.73642485604219,3.2018475677419214,217,43,7,0,"[29.99940893, 31.835775192944702, 35.30172372765335]","[10.624920464283377, 11.804842201512377, 14.022817017791342, 19.573268689528412]",80.66283505331896,"[29.2908193387951, 31.0253201733632, 33.128525569527596]","[13.300246461685381, 14.7402607680295, 17.040600659700196, 24.92328636077453]",99.70117352605388
43,ordinary,True,2.0792368318872643,0.1661391074331466,0.489268979657147,31.815406073571232,3.0059083862029055,217,43,7,0,"[30.536487856629748, 32.781257049999994, 35.02941549]","[10.94702909387225, 12.448357890004184, 13.659979005507582, 17.535187469148827]",55.10275277738105,"[30.3186894146128, 32.63123790044895, 34.72504931]","[13.602304942943388, 15.525734232835838, 16.95428085111609, 23.719076856424053]",48.24691049657723
