quantity,n,mean,sd,q025,median,q975
intercept,500,2.0408751320019265,0.0910075314856723,1.8467672858003,2.052301424812044,2.184493705582364
beta_bmi_std,500,0.1171245553944706,0.04879011591456344,0.021227473073923413,0.11447326977261896,0.2125576390677444
sigma,500,0.5354190643522743,0.07112721897476486,0.4171476228129095,0.5267778905047527,0.6977968247683584
bmi_mean,500,31.85087424501666,0.17527195144676727,31.507200777513113,31.85356234302251,32.18279442368425
bmi_sd,500,2.9737038730271053,0.20704021212721124,2.577347971773437,2.984916637843602,3.379854552451596
n_left,500,217.0,0.0,217.0,217.0,217.0
n_interval,500,43.0,0.0,43.0,43.0,43.0
n_right,500,7.0,0.0,7.0,7.0,7.0
n_uninformative,500,0.0,0.0,0.0,0.0,0.0
rho80_cost,500,37.43610030850445,18.536387720434583,6.137026875776006,35.004906671830966,81.5619011440031
rho90_cost,500,36.01685571383828,28.467131382401185,4.365979975914572,27.550271564283555,116.67680507621175
