target,metric,replicates,mean,sd,q025,median,q975
ANY,roc_auc_w,500,0.8063322498438269,0.034506841535119785,0.7336654652131249,0.80836335008857,0.8684652900206873
ANY,pr_auc_w,500,0.49394519680970406,0.07286712149252045,0.34662159449849705,0.49738391343270416,0.635868025150706
ANY,precision_w,500,0.4422171082242951,0.06872926930343774,0.31303790523690783,0.4410927858517777,0.5722033131210885
ANY,recall_w,500,0.5358461794843185,0.06944638594096106,0.3988881293491609,0.5308478083878445,0.6768901714214217
ANY,specificity_w,500,0.9119159349075792,0.014807996148847008,0.8844004877353472,0.9120667191748311,0.9396240284988086
ANY,f1_w,500,0.4821936528306169,0.06126026472998841,0.3599662128501369,0.4854260652363784,0.5983135854832189
ANY,balanced_accuracy_w,500,0.7238810571959489,0.035095749119787176,0.6522980258384958,0.7214740034170444,0.7953733940304644
ANY,mcc_w,500,0.411918588503862,0.06504386726469848,0.29063243914455805,0.41167669011023156,0.5384540965471997
ANY,accuracy_w,500,0.8688149983803046,0.015296989287368353,0.8386730644638808,0.8685536119209589,0.8996922578555231
T13,roc_auc_w,500,0.8357649302084295,0.05523777360213928,0.7252258622230326,0.8386026487119489,0.9355217327109232
T13,pr_auc_w,500,0.2567816886228154,0.07779756071063117,0.11980465316498015,0.2523779734312277,0.42060842688665734
T13,precision_w,500,0.30636254482709124,0.08676936249864223,0.1464743678023491,0.3053270272351567,0.48639951083197464
T13,recall_w,500,0.5670112805703739,0.13048721661348375,0.3069919964428635,0.5716258879242303,0.8298947437813129
T13,specificity_w,500,0.9433855869057184,0.011630612628891599,0.9186252922756889,0.9443973883635939,0.9638024036547486
T13,f1_w,500,0.39300220736921426,0.09656473848979419,0.2141205980720048,0.3945724226613049,0.5853243539656553
T13,balanced_accuracy_w,500,0.7551984337380461,0.06545996296603139,0.624974186370395,0.7564124259137437,0.8890490881437231
T13,mcc_w,500,0.38013043795948004,0.09931370538351973,0.19257819059515072,0.3858124552368289,0.5741667214168572
T13,accuracy_w,500,0.9275648526077097,0.012940052624425625,0.8995950761256882,0.9280207321023649,0.9503579527048914
T18,roc_auc_w,500,0.8321757756329619,0.04030984102983639,0.7490631478525415,0.8331335666482291,0.9006437911087092
T18,pr_auc_w,500,0.5218419262124356,0.10563801907836137,0.3049042694035055,0.5271454184557888,0.7124098559763316
T18,precision_w,500,0.4640019552340923,0.08809717298141502,0.295292303172738,0.45937905528263767,0.6378760678908977
T18,recall_w,500,0.5243412902061333,0.08432654657414447,0.3637230571416722,0.5273917763271,0.6822883314397851
T18,specificity_w,500,0.9484658856485203,0.010077046125189613,0.9279885905289179,0.9484281333895065,0.9663903617134717
T18,f1_w,500,0.48974247621834177,0.07932220326405416,0.33538287366958586,0.4886613489434717,0.6422836569907183
T18,balanced_accuracy_w,500,0.7364035879273267,0.04252736454236581,0.6559558004183222,0.7370926278420478,0.8146056029613702
T18,mcc_w,500,0.44635246846515975,0.08147900882148341,0.2866216432807328,0.4449053616170814,0.6047690341247047
T18,accuracy_w,500,0.9154405571752511,0.01207958396943843,0.8897918691286038,0.9163022351797863,0.9373582766439909
T21,roc_auc_w,500,0.44641074940028425,0.10776398293752064,0.23298282316720537,0.4462050150519966,0.6512893422432049
T21,pr_auc_w,500,0.17871399666874888,0.10418165324043765,0.013579254247337011,0.17725782066339796,0.389282939072486
T21,precision_w,500,0.13783976684261376,0.08882515137439932,0.0,0.1346153846153846,0.32653061224489793
T21,recall_w,500,0.15554739410498028,0.10306564161936588,0.0,0.15122927387078333,0.3636354337152209
T21,specificity_w,500,0.9774736988276188,0.0057963200451815675,0.9652997177640171,0.9774174869716271,0.9886587968998467
T21,f1_w,500,0.14190233804745603,0.08884805411344052,0.0,0.14285714285714282,0.3168389057750759
T21,balanced_accuracy_w,500,0.5665105464662995,0.05065823239579653,0.48826401912978246,0.5646318550870539,0.6686933725804807
T21,mcc_w,500,0.12316229772593237,0.09014695365977514,-0.023757953953243177,0.12269601846430447,0.3007191997403495
T21,accuracy_w,500,0.9579557823129251,0.0077176897867175295,0.9430130385487528,0.9580498866213153,0.9722222222222224
