target,variant,scope,mode,replicates,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,n_mean,n_sd,n_q025,n_q975,positive_mean,positive_sd,positive_q025,positive_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,coverage_w_mean,coverage_w_sd,coverage_w_q025,coverage_w_q975,retest_rate_w_mean,retest_rate_w_sd,retest_rate_w_q025,retest_rate_w_q975,qc_fail_rate_w_mean,qc_fail_rate_w_sd,qc_fail_rate_w_q025,qc_fail_rate_w_q975,negative_clear_rate_w_mean,negative_clear_rate_w_sd,negative_clear_rate_w_q025,negative_clear_rate_w_q975,positive_call_rate_w_mean,positive_call_rate_w_sd,positive_call_rate_w_q025,positive_call_rate_w_q975,positive_precision_w_mean,positive_precision_w_sd,positive_precision_w_q025,positive_precision_w_q975,positive_recall_all_w_mean,positive_recall_all_w_sd,positive_recall_all_w_q025,positive_recall_all_w_q975,negative_npv_w_mean,negative_npv_w_sd,negative_npv_w_q025,negative_npv_w_q975,false_negative_clear_rate_w_mean,false_negative_clear_rate_w_sd,false_negative_clear_rate_w_q025,false_negative_clear_rate_w_q975,followup_recall_w_mean,followup_recall_w_sd,followup_recall_w_q025,followup_recall_w_q975,followup_precision_w_mean,followup_precision_w_sd,followup_precision_w_q025,followup_precision_w_q975,negative_specific_clear_w_mean,negative_specific_clear_w_sd,negative_specific_clear_w_q025,negative_specific_clear_w_q975,retest_records_mean,retest_records_sd,retest_records_q025,retest_records_q975,negative_records_mean,negative_records_sd,negative_records_q025,negative_records_q975,positive_call_records_mean,positive_call_records_sd,positive_call_records_q025,positive_call_records_q975
ANY,group_class_weighted,overall_qcfail_negative,low,500,0.41468512100504384,0.24996757013858087,0.0,0.8571428571428571,0.07103010368824522,0.05517406138178148,0.0,0.1895101058590291,0.98912143050047,0.005169461726780535,0.9782646030029412,0.9974609862160889,0.11908750708315477,0.08798505187989145,0.0,0.3020169459723273,0.8836176870748298,0.015339042827822995,0.8524886621315189,0.9126672335600907,0.2756190105216421,0.18467757156072873,0.0,0.6916666666666655,0.028728455886811402,0.020596582823156625,0.0,0.07302323103154303,605.646,13.294591996473807,580.95,633.05,67.214,9.148967768138922,50.0,86.0,7.102,2.7163123357616334,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANY,group_class_weighted,overall_qcfail_negative,high,500,0.5838464791126702,0.3165390919223097,0.0,1.0,0.07103010368824522,0.05517406138178148,0.0,0.1895101058590291,0.9953832666360638,0.003305579410058702,0.9879157930116277,1.0,0.12389234343772786,0.09119789647550701,0.0,0.31400603440799363,0.8891578231292515,0.014914828640076216,0.8586111111111108,0.9178656462585031,0.4768984126984127,0.29022996147811414,0.0,1.0,0.028728455886811402,0.020596582823156625,0.0,0.07302323103154303,605.646,13.294591996473807,580.95,633.05,67.214,9.148967768138922,50.0,86.0,3.988,2.028814475587333,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANY,group_class_weighted,overall,three_way,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815984126984127,0.01771671345129601,0.7807549130763417,0.8507709750566894,0.18401587301587302,0.01771671345129601,0.14922902494331064,0.21924508692365835,0.17847573696145125,0.017420418045722814,0.14454459561602415,0.21367063492063487,0.8035374149659864,0.01845365838310599,0.7691033635676494,0.8386791383219955,0.012446712018140592,0.007441189606714351,0.0017006802721088433,0.03034297052154194,0.5838464791126702,0.3165390919223097,0.0,1.0,0.07103010368824522,0.05517406138178148,0.0,0.18951010585902922,0.8926252409682432,0.01681769599314654,0.8589805493660904,0.9214685304956972,0.7502828834286809,0.06778115810073283,0.6071798093514936,0.873487571087466,0.24971711657131915,0.06778115810073283,0.1265124289125341,0.3928201906485064,0.14616393559205348,0.04175856310115057,0.0702147475676553,0.23251345564547815,0.8105531139259038,0.018545050690653087,0.7730109615539605,0.845841845041487,115.97,12.416175854331774,91.475,141.0,485.688,14.152853511749852,461.475,514.0,3.988,2.028814475587333,1.0,8.0
ANY,unweighted,overall_qcfail_negative,low,500,0.2428133270189035,0.16058975663426567,0.0,0.5757569558101473,0.04617298663444498,0.03433543336922332,0.0,0.1291394798100327,0.9818945288420652,0.0065514182942781945,0.9673515373850626,0.9939218201552716,0.07633487295041326,0.054477652835976595,0.0,0.19801879740573813,0.8741907029478456,0.017454436610867187,0.8411394557823131,0.9063888888888885,0.25448350082994586,0.16604426926400934,0.0,0.6,0.046368456932292204,0.03443187817178407,0.0,0.13043478260869565,605.386,12.970639111389838,579.475,632.525,67.37,9.921389415594557,48.475,87.52499999999998,11.898,3.946485207242257,5.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANY,unweighted,overall_qcfail_negative,high,500,0.5085387445887446,0.29623838643523204,0.0,1.0,0.030766416328161548,0.021408518541521513,0.0,0.07994258671101052,0.9963005008252265,0.00276493756617384,0.9893749892496703,1.0,0.057292303034362876,0.03866185917209988,0.0,0.1446012975840839,0.8851634920634919,0.016877600182093975,0.8506632653061222,0.9169217687074829,0.5085387445887446,0.29623838643523204,0.0,1.0,0.03085730977183936,0.02137616060441252,0.0,0.08087401918047078,605.386,12.970639111389838,579.475,632.525,67.37,9.921389415594557,48.475,87.52499999999998,4.004,2.0465484898831217,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANY,unweighted,overall,three_way,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8156168556311413,0.01780245323265985,0.7807464096749811,0.8492375283446711,0.18438314436885866,0.01780245323265985,0.1507624716553288,0.21925359032501887,0.1772402872260015,0.017256741557910092,0.1441883975812547,0.21438492063492065,0.8088073318216175,0.018133223107192845,0.7723932350718066,0.842593537414966,0.0068095238095238105,0.00348052464265837,0.0017006802721088433,0.015306122448979593,0.5085387445887446,0.29623838643523204,0.0,1.0,0.030766416328161548,0.021408518541521517,0.0,0.07994258671101057,0.8891806726067709,0.018930724589886382,0.8524041357985328,0.9254156401628754,0.7778587298526751,0.05819635142701242,0.6614639582338161,0.8771377830963322,0.22214127014732493,0.05819635142701241,0.12286221690366772,0.338536041766184,0.13301177203527118,0.03506317682994523,0.07150751595730767,0.20636897975540988,0.8126955208155664,0.018735218325686087,0.7775595382081381,0.8493651683231388,116.21,12.161484424477697,94.0,142.04999999999995,485.172,13.790532025527302,460.0,513.525,4.004,2.0465484898831217,1.0,9.0
T13,group_class_weighted,overall_qcfail_negative,low,500,0.2912437683520969,0.3032523143854612,0.0,1.0,0.03896431708397235,0.039809608955728,0.0,0.13284017231626116,0.9959633507600432,0.0028934064210091918,0.9896462300633272,1.0,0.06605605846028312,0.06492450939372842,0.0,0.20899642445912361,0.9558521541950112,0.010885501895736059,0.932080498866213,0.9752947845804989,0.31053809523809517,0.3106364258153612,0.0,1.0,0.04133283596842334,0.04234646647398179,0.0,0.13492424242424234,605.446,12.426097528975022,581.0,627.525,23.09,5.613994466307878,13.0,35.0,2.878,1.707908047817446,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,group_class_weighted,overall_qcfail_negative,high,500,0.616,0.4868449815620413,0.0,1.0,0.03896431708397235,0.039809608955728,0.0,0.13284017231626116,1.0,0.0,1.0,1.0,0.07227141846202795,0.07158811857058144,0.0,0.23452251763429174,0.9597195011337868,0.010563818428060099,0.9367233560090702,0.9795379818594104,0.616,0.4868449815620413,0.0,1.0,0.04133283596842334,0.04234646647398179,0.0,0.13492424242424234,605.446,12.426097528975022,581.0,627.525,23.09,5.613994466307878,13.0,35.0,0.928,0.9405238807923387,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,group_class_weighted,overall,three_way,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8343974300831444,0.01821562710663809,0.7971239606953893,0.8675198412698412,0.16560256991685562,0.018215627106638092,0.13248015873015873,0.20287603930461068,0.1633984882842026,0.017894525147586,0.1297420634920635,0.1996513605442177,0.8328191987906273,0.018315853642414687,0.7954232804232803,0.8665192743764173,0.0015782312925170067,0.0015995304095107802,0.0,0.005102040816326531,0.616,0.4868449815620413,0.0,1.0,0.03896431708397235,0.039809608955728,0.0,0.13284017231626116,0.9634225539598484,0.011817899955840263,0.9379684928304014,0.9844071943911835,0.7192358579220928,0.10544096382540312,0.4896614294253266,0.8961687763713079,0.2807641420779072,0.1054409638254031,0.10383122362869197,0.5103385705746734,0.06787696073077669,0.02366275531633291,0.024551448448137097,0.1148143713156454,0.8373866420446312,0.017903722089737256,0.8004808779272932,0.8714287385508435,104.512,12.179759812828674,81.475,129.52499999999998,500.006,13.834766551375635,475.475,529.0,0.928,0.9405238807923387,0.0,3.0
T13,unweighted,overall_qcfail_negative,low,500,0.37817641651366934,0.22800589045818087,0.0,1.0,0.09137531682862224,0.06638581204573987,0.0,0.23080691888207222,0.9940745326065139,0.003479804439975394,0.9862183607886764,1.0,0.14050067629342203,0.09075240077283149,0.0,0.3313071297989029,0.9557469387755102,0.011137074880751554,0.9328628117913831,0.9756235827664398,0.3942586274836275,0.22893658410021653,0.0,1.0,0.09719032612040379,0.07039982400535132,0.0,0.25,605.194,12.565673730947548,582.0,630.0,23.17,5.77058917258867,13.0,34.0,5.204,2.808943632160908,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
