target,variant,scope,mode,seeds,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,n_mean,n_sd,n_q025,n_q975,positive_mean,positive_sd,positive_q025,positive_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,coverage_w_mean,coverage_w_sd,coverage_w_q025,coverage_w_q975,retest_rate_w_mean,retest_rate_w_sd,retest_rate_w_q025,retest_rate_w_q975,qc_fail_rate_w_mean,qc_fail_rate_w_sd,qc_fail_rate_w_q025,qc_fail_rate_w_q975,negative_clear_rate_w_mean,negative_clear_rate_w_sd,negative_clear_rate_w_q025,negative_clear_rate_w_q975,positive_call_rate_w_mean,positive_call_rate_w_sd,positive_call_rate_w_q025,positive_call_rate_w_q975,positive_precision_w_mean,positive_precision_w_sd,positive_precision_w_q025,positive_precision_w_q975,positive_recall_all_w_mean,positive_recall_all_w_sd,positive_recall_all_w_q025,positive_recall_all_w_q975,negative_npv_w_mean,negative_npv_w_sd,negative_npv_w_q025,negative_npv_w_q975,false_negative_clear_rate_w_mean,false_negative_clear_rate_w_sd,false_negative_clear_rate_w_q025,false_negative_clear_rate_w_q975,followup_recall_w_mean,followup_recall_w_sd,followup_recall_w_q025,followup_recall_w_q975,followup_precision_w_mean,followup_precision_w_sd,followup_precision_w_q025,followup_precision_w_q975,negative_specific_clear_w_mean,negative_specific_clear_w_sd,negative_specific_clear_w_q025,negative_specific_clear_w_q975,retest_records_mean,retest_records_sd,retest_records_q025,retest_records_q975,negative_records_mean,negative_records_sd,negative_records_q025,negative_records_q975,positive_call_records_mean,positive_call_records_sd,positive_call_records_q025,positive_call_records_q975
T13,unweighted,overall_qcfail_negative,low,20,0.2534112054109897,0.11726932223780762,0.06477272727272725,0.5,0.07216216216216212,0.030440236095497883,0.01925675675675674,0.1135135135135135,0.9888943364327979,0.005676467602487705,0.9779501267962806,0.998224852071006,0.1071436995153423,0.04031716982100264,0.029687499999999957,0.16785882522016135,0.9504373177842564,0.005014600608764438,0.9409807256235825,0.9580498866213152,0.26069375069375067,0.1172785931972975,0.06333333333333332,0.5,0.08043478260869562,0.03533598699509777,0.020652173913043474,0.1304347826086956,605.0,0.0,605.0,605.0,23.0,0.0,23.0,23.0,8.1,3.7120004537204805,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,unweighted,overall_qcfail_negative,high,20,0.31790668296297214,0.1514268611842381,0.05610236220472439,0.5874999999999997,0.06851351351351347,0.0318375383679859,0.01925675675675674,0.1135135135135135,0.9925849535080307,0.0035909070303715815,0.9871390532544378,0.998224852071006,0.10892638641791086,0.0461802175620289,0.02867203219315892,0.17107562231901813,0.9538200518302558,0.0032093696721808038,0.948236961451247,0.9589427437641722,0.3263690476190476,0.15020178414520802,0.05277777777777778,0.5874999999999997,0.07608695652173911,0.03698679605319132,0.020652173913043474,0.1304347826086956,605.0,0.0,605.0,605.0,23.0,0.0,23.0,23.0,5.9,2.5110283068684702,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,unweighted,qc_pass,low,20,0.22369766874999136,0.10286555445232294,0.05277777777777778,0.42857142857142855,0.08886401402958138,0.03690343617314082,0.023284313725490172,0.1384518923848609,0.987055998260961,0.006409953755332337,0.9748471634390321,0.9976342559735036,0.12044802722764399,0.044008033440090084,0.032312925170068015,0.18640437855880612,0.9562165688193085,0.005929071816395682,0.9452030332681017,0.9644977168949771,0.26069375069375067,0.1172785931972975,0.06333333333333332,0.5,0.10966094771241827,0.04728960382117091,0.027941176470588233,0.1764705882352941,500.9,2.918182563460382,496.0,505.525,16.9,0.6407232755171874,16.0,18.0,8.1,3.7120004537204805,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,unweighted,qc_pass,high,20,0.2845154318128163,0.14446563061240864,0.05277777777777773,0.5535714285714283,0.08428085209347827,0.038465052611090345,0.023284313725490172,0.1384518923848609,0.9913160080563255,0.00404266867937862,0.9860864679441684,0.9979442086213828,0.12485574233079291,0.05185494405843747,0.032312925170068015,0.19184417608102833,0.9601761252446185,0.0038891936086506876,0.9541666666666664,0.965667808219178,0.3263690476190476,0.15020178414520802,0.05277777777777778,0.5874999999999997,0.10359477124183006,0.04934486034938469,0.027941176470588233,0.1764705882352941,500.9,2.918182563460382,496.0,505.525,16.9,0.6407232755171874,16.0,18.0,5.9,2.5110283068684702,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,unweighted,overall,three_way,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8321838894287875,0.005650214970828597,0.8229099179354282,0.8404516250944825,0.16781611057121257,0.005650214970828594,0.15954837490551774,0.17709008206457183,0.1641272540762337,0.004750273387755322,0.1562008692365835,0.17179570240794734,0.8222057553180004,0.00668076425173013,0.8114497624446606,0.833271919879063,0.009978134110787124,0.004115632100946804,0.0034013605442176,0.015425170068027164,0.31790668296297214,0.1514268611842381,0.05610236220472439,0.5874999999999997,0.06851351351351347,0.0318375383679859,0.01925675675675674,0.1135135135135135,0.9648270956904685,0.0018138465961954008,0.9611343887163523,0.9668292747621388,0.6894594594594594,0.03767389805006955,0.6513513513513512,0.762635135135135,0.3105405405405405,0.037673898050069536,0.23736486486486477,0.3486486486486486,0.07323218772045295,0.008133387820260468,0.05632842171028282,0.08440769472303074,0.828018315018315,0.006425071845219082,0.8177854325162018,0.8389980276134124,106.3,3.435112807463534,101.475,112.05,492.8,4.034065469291037,486.475,499.05,5.9,2.5110283068684702,2.0,9.0
T18,unweighted,overall_qcfail_negative,low,20,0.23962002552065034,0.2153116611971876,0.0,0.740841669541221,0.03901734104046238,0.038262136567547136,0.0,0.1197615606936415,0.9909220331833521,0.004774688595241981,0.9801405195444319,0.9963336614173229,0.06609960565010715,0.06366544153165744,0.0,0.20543148841292166,0.9162374473598959,0.005147474156887711,0.9068120343375441,0.9274744897959182,0.2039520202020202,0.16993007451485012,0.0,0.5524999999999999,0.029347826086956512,0.024711045255837633,0.0,0.07663043478260864,605.0,0.0,605.0,605.0,46.0,0.0,46.0,46.0,6.65,3.3603727863375354,3.0,14.67499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,unweighted,overall_qcfail_negative,high,20,0.2318389888102234,0.2237572903743107,0.0,0.6603365384615384,0.03034682080924851,0.0361347725491253,0.0,0.10946531791907502,0.9938009701912259,0.002998690156188327,0.9871190417604049,0.997693159448819,0.05290535287103017,0.06104900473917547,0.0,0.1872985290303455,0.9182102364755422,0.0036502417341230217,0.9128939909297048,0.9258106575963715,0.21214285714285713,0.20236679885640566,0.0,0.6,0.023913043478260863,0.025332334896812133,0.0,0.07663043478260864,605.0,0.0,605.0,605.0,46.0,0.0,46.0,46.0,4.55,2.2820812292383694,1.475,9.624999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,unweighted,qc_pass,low,20,0.22355084868181066,0.20933869865177013,0.0,0.7173526585522099,0.04063034854536024,0.04016122396180667,0.0,0.12633023441550245,0.9895527946150103,0.00585998536476846,0.9763539037263245,0.9960284516771906,0.06753329406020284,0.06573084776422236,0.0,0.21370118522774637,0.9173189823874752,0.006574090048114393,0.9056086921069797,0.9307876712328766,0.2039520202020202,0.16993007451485012,0.0,0.5524999999999999,0.034564914104387764,0.0291885255121183,0.0,0.09134615384615377,500.8,2.8209740758897635,495.375,505.0,39.1,0.8522416262267902,37.475,40.0,6.65,3.3603727863375354,3.0,14.67499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,unweighted,qc_pass,high,20,0.21592997261870414,0.21328383286231062,0.0,0.6253787878787879,0.03148138315538658,0.03753517061068856,0.0,0.11356821589205389,0.9928902471112723,0.003804866680151688,0.9843356692732698,0.997682716977654,0.05398548055559825,0.06222015417677138,0.0,0.19151290438428745,0.9197162426614479,0.004472611495570211,0.9129794520547944,0.9273944063926939,0.21214285714285713,0.20236679885640566,0.0,0.6,0.02815128387496806,0.02990311617654334,0.0,0.09134615384615377,500.8,2.8209740758897635,495.375,505.0,39.1,0.8522416262267902,37.475,40.0,4.55,2.2820812292383694,1.475,9.624999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,unweighted,overall,three_way,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8322511067919234,0.00582657891342056,0.8223082010582012,0.8417526455026457,0.16774889320807684,0.0058265789134205655,0.15824735449735447,0.17769179894179896,0.16441555987474352,0.004818573759571903,0.1574395313681028,0.17408352229780805,0.8241574883921825,0.007771131795546972,0.8089044109707377,0.8362055933484508,0.00809361839974081,0.004245453483801336,0.0021258503401360078,0.017834467120181375,0.2318389888102234,0.2237572903743107,0.0,0.6603365384615384,0.03034682080924852,0.03613477254912532,0.0,0.10946531791907507,0.9221860144744678,0.0037761633707249264,0.9181882834319253,0.9303424218599228,0.817557803468208,0.043761068815587986,0.7301661849710982,0.8643063583815028,0.1824421965317919,0.04376106881558798,0.13569364161849706,0.2698338150289017,0.08105965878789696,0.017549291134579464,0.06231414638249092,0.11919715926962264,0.824719371016123,0.006879483584195892,0.811000480408699,0.8340315370734908,106.3,3.3576307436235924,100.475,111.525,494.15,4.715874646787224,484.9,501.0,4.55,2.2820812292383694,1.475,9.624999999999993
