target,variant,seed,scope,pr_auc_w,roc_auc_w
T13,unweighted,20260824,overall,0.10205667486427362,0.40584265076572945
T13,unweighted,20260824,qc_pass,0.04992264193909355,0.4031260402591749
T18,unweighted,20260824,overall,0.16776338846735422,0.6140208020420863
T18,unweighted,20260824,qc_pass,0.11349342836500984,0.5964559463533695
T21,unweighted,20260824,overall,0.023533536867899878,0.40395561244242306
T21,unweighted,20260824,qc_pass,0.029707368805424482,0.4760274265512974
ANY,unweighted,20260824,overall,0.16641754542649678,0.5691816999672935
ANY,unweighted,20260824,qc_pass,0.12578603783789305,0.5519928771980906
T13,group_class_weighted,20260824,overall,0.08087363693901096,0.5049436841744541
T13,group_class_weighted,20260824,qc_pass,0.05425274841541393,0.5284014638897101
T18,group_class_weighted,20260824,overall,0.18077629753865818,0.6343443403344458
T18,group_class_weighted,20260824,qc_pass,0.13917745754956118,0.622362514942865
T21,group_class_weighted,20260824,overall,0.021601351301705415,0.4085488318440049
T21,group_class_weighted,20260824,qc_pass,0.024042455159756202,0.4538259305946165
ANY,group_class_weighted,20260824,overall,0.13398753825103465,0.5373099407423181
ANY,group_class_weighted,20260824,qc_pass,0.11799730637326183,0.5215037506163461
T13,unweighted,20360827,overall,0.13028963036938548,0.43588292095984454
T13,unweighted,20360827,qc_pass,0.09026425381796788,0.4454170280997805
T18,unweighted,20360827,overall,0.2031330690744256,0.5665007163799257
T18,unweighted,20360827,qc_pass,0.2129976914890538,0.552390941914086
T21,unweighted,20360827,overall,0.022926463564000108,0.41593451162888806
T21,unweighted,20360827,qc_pass,0.03699959990426116,0.5301616058816809
ANY,unweighted,20360827,overall,0.2327016227298469,0.5512977394798715
ANY,unweighted,20360827,qc_pass,0.21595572382192754,0.5400682079958807
T13,group_class_weighted,20360827,overall,0.12105968921595273,0.43040457532765386
T13,group_class_weighted,20360827,qc_pass,0.08581054423692014,0.44522468714636554
T18,group_class_weighted,20360827,overall,0.21454004663970405,0.5847707665515809
T18,group_class_weighted,20360827,qc_pass,0.18070282598243376,0.5626486768971887
T21,group_class_weighted,20360827,overall,0.0193981970739715,0.3750722278845737
T21,group_class_weighted,20360827,qc_pass,0.020875014594858722,0.44467060299523475
ANY,group_class_weighted,20360827,overall,0.15081003160579365,0.5307520779625761
ANY,group_class_weighted,20360827,qc_pass,0.17438397447895007,0.5436638806733698
T13,unweighted,20460830,overall,0.13293266878101515,0.43799177537639156
T13,unweighted,20460830,qc_pass,0.09774709960961951,0.4712065725164606
T18,unweighted,20460830,overall,0.12985204515864088,0.5522364115386955
T18,unweighted,20460830,qc_pass,0.09389650020625437,0.5328049682748609
T21,unweighted,20460830,overall,0.02404952414421581,0.41719589887832886
T21,unweighted,20460830,qc_pass,0.04462497114631696,0.4950313303750901
ANY,unweighted,20460830,overall,0.16176839637658647,0.49593307924924335
ANY,unweighted,20460830,qc_pass,0.1373981743613552,0.5130095689854604
T13,group_class_weighted,20460830,overall,0.13128330160050614,0.45916433254894873
T13,group_class_weighted,20460830,qc_pass,0.10724649328197043,0.5240843060644793
T18,group_class_weighted,20460830,overall,0.15895647809048424,0.578379596968732
T18,group_class_weighted,20460830,qc_pass,0.1269229574998011,0.5691661464109914
T21,group_class_weighted,20460830,overall,0.09773317160983695,0.4912624670464402
T21,group_class_weighted,20460830,qc_pass,0.030701497075816403,0.5010778789427717
ANY,group_class_weighted,20460830,overall,0.19999133407510425,0.5930724058661405
ANY,group_class_weighted,20460830,qc_pass,0.191622428526372,0.6103529969264774
T13,unweighted,20560833,overall,0.13110033182596567,0.3881148401148409
T13,unweighted,20560833,qc_pass,0.0924523637172549,0.413769998792169
T18,unweighted,20560833,overall,0.12127548311923805,0.5690020435487477
T18,unweighted,20560833,qc_pass,0.09944908640290773,0.5325704091834503
T21,unweighted,20560833,overall,0.019526972571098047,0.37993223615423877
T21,unweighted,20560833,qc_pass,0.017680167205334486,0.3794027263415005
ANY,unweighted,20560833,overall,0.18391434873506599,0.5552078584503523
ANY,unweighted,20560833,qc_pass,0.17453762527271116,0.5526999548892191
T13,group_class_weighted,20560833,overall,0.11676258766645019,0.36284550653781594
T13,group_class_weighted,20560833,qc_pass,0.07976512694415788,0.354693200517738
T18,group_class_weighted,20560833,overall,0.13300141990153996,0.5962513356350693
T18,group_class_weighted,20560833,qc_pass,0.1131698672311703,0.5758304123521996
T21,group_class_weighted,20560833,overall,0.029739420866562474,0.44402253351979726
T21,group_class_weighted,20560833,qc_pass,0.01642700402256036,0.34283553024077673
ANY,group_class_weighted,20560833,overall,0.18576356712556286,0.5650033263503842
ANY,group_class_weighted,20560833,qc_pass,0.19952008077756372,0.5476121405970733
T13,unweighted,20660836,overall,0.13717507789240574,0.4470274382582087
T13,unweighted,20660836,qc_pass,0.10757888602034049,0.46708462582257004
T18,unweighted,20660836,overall,0.26379218467324556,0.6361176464890957
T18,unweighted,20660836,qc_pass,0.26474242056879277,0.6307191058580948
T21,unweighted,20660836,overall,0.020133073543905117,0.3857418073694837
T21,unweighted,20660836,qc_pass,0.021994783827083808,0.42749212413223037
ANY,unweighted,20660836,overall,0.20279911683345409,0.5476997114350668
ANY,unweighted,20660836,qc_pass,0.23775755703100054,0.5669352846158944
T13,group_class_weighted,20660836,overall,0.12218536122890497,0.4444345647422583
T13,group_class_weighted,20660836,qc_pass,0.08368257427762885,0.4598388444566365
T18,group_class_weighted,20660836,overall,0.24594942997316627,0.6213846163693058
T18,group_class_weighted,20660836,qc_pass,0.22645629007608054,0.6166453498110154
T21,group_class_weighted,20660836,overall,0.019944125653627125,0.3971314270965855
T21,group_class_weighted,20660836,qc_pass,0.020659528157454744,0.4142712556790773
ANY,group_class_weighted,20660836,overall,0.1662132472358019,0.5298416043485207
ANY,group_class_weighted,20660836,qc_pass,0.18927647499635378,0.544644913549435
T13,unweighted,20760839,overall,0.08454800384773528,0.4048165223549854
T13,unweighted,20760839,qc_pass,0.07182091361694577,0.4085344125911109
T18,unweighted,20760839,overall,0.17303289238929367,0.614698601281235
T18,unweighted,20760839,qc_pass,0.16601804410374893,0.5999719445070988
T21,unweighted,20760839,overall,0.021719571963032813,0.4089541507659983
T21,unweighted,20760839,qc_pass,0.026585647017225995,0.48273459089270526
ANY,unweighted,20760839,overall,0.17361247239732375,0.5502194296853068
ANY,unweighted,20760839,qc_pass,0.17791707829512132,0.5615102226757923
T13,group_class_weighted,20760839,overall,0.05008550875460124,0.4442669347284742
T13,group_class_weighted,20760839,qc_pass,0.049424535147454894,0.46990405099266275
T18,group_class_weighted,20760839,overall,0.2369364249546996,0.6291686613143741
T18,group_class_weighted,20760839,qc_pass,0.25771515464332295,0.6242879843284864
T21,group_class_weighted,20760839,overall,0.020383537754643574,0.3819885910229381
T21,group_class_weighted,20760839,qc_pass,0.02326269916287204,0.42731210429746236
ANY,group_class_weighted,20760839,overall,0.1503443331250884,0.5485059458241928
ANY,group_class_weighted,20760839,qc_pass,0.1567591197505115,0.554289993271573
T13,unweighted,20860842,overall,0.12896520419247764,0.4318509058509067
T13,unweighted,20860842,qc_pass,0.09819626355613338,0.4688601222835944
T18,unweighted,20860842,overall,0.1355128063160816,0.5326113470597615
T18,unweighted,20860842,qc_pass,0.10519730869298022,0.5026430298881404
T21,unweighted,20860842,overall,0.06477613140621145,0.4967808881198638
T21,unweighted,20860842,qc_pass,0.02320946592200285,0.45623176128229376
ANY,unweighted,20860842,overall,0.17385317765454145,0.5163553615879551
ANY,unweighted,20860842,qc_pass,0.14361839690298242,0.49858025895598845
T13,group_class_weighted,20860842,overall,0.09557988390318199,0.468463533694304
T13,group_class_weighted,20860842,qc_pass,0.09031555253278434,0.48907278141545035
T18,group_class_weighted,20860842,overall,0.12645084425612504,0.5639848526656357
T18,group_class_weighted,20860842,qc_pass,0.09645028114529666,0.5468892364658449
T21,group_class_weighted,20860842,overall,0.15354498062249713,0.5482877316625466
T21,group_class_weighted,20860842,qc_pass,0.022029895817638895,0.4369484601583916
ANY,group_class_weighted,20860842,overall,0.19789914454930999,0.6060756058542611
ANY,group_class_weighted,20860842,qc_pass,0.15414791156074906,0.577724815143621
T13,unweighted,20960845,overall,0.13078989248103173,0.39491308552847093
T13,unweighted,20960845,qc_pass,0.0986236766531296,0.4003582191491862
T18,unweighted,20960845,overall,0.15274259418592198,0.6083140015057732
T18,unweighted,20960845,qc_pass,0.12642713110291032,0.5900310948162344
T21,unweighted,20960845,overall,0.026698407398756997,0.44175522318877347
T21,unweighted,20960845,qc_pass,0.03921534145516737,0.509049607708501
ANY,unweighted,20960845,overall,0.1536097810657402,0.5310076529923512
ANY,unweighted,20960845,qc_pass,0.14241340021412227,0.5407990661215006
T13,group_class_weighted,20960845,overall,0.1289087010093213,0.3947299810376741
T13,group_class_weighted,20960845,qc_pass,0.0936212431759503,0.404906643676319
T18,group_class_weighted,20960845,overall,0.20278151693901889,0.6375091079881277
T18,group_class_weighted,20960845,qc_pass,0.20340292474933197,0.6270027634261086
T21,group_class_weighted,20960845,overall,0.12215728128747887,0.4781892857801291
T21,group_class_weighted,20960845,qc_pass,0.02940025359073311,0.4622519895989299
ANY,group_class_weighted,20960845,overall,0.18101958699920784,0.5513273172168178
ANY,group_class_weighted,20960845,qc_pass,0.17144778794966495,0.5273876096311343
T13,unweighted,21060848,overall,0.1306099608990399,0.4287138059445763
T13,unweighted,21060848,qc_pass,0.09169797519610998,0.4268633773590105
T18,unweighted,21060848,overall,0.173762412033166,0.5519048733205685
T18,unweighted,21060848,qc_pass,0.1807288689641285,0.5162269135941362
T21,unweighted,21060848,overall,0.020232724478258943,0.3970962678528647
T21,unweighted,21060848,qc_pass,0.023030140553219204,0.4511859112078651
