target,variant,scope,seeds,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975
T13,unweighted,overall,20,0.12220398361055299,0.02499350929028451,0.05732883632409571,0.1438233666777404,0.41258854568854686,0.026174679932549898,0.359156050048359,0.4445281293550538
T13,unweighted,qc_pass,20,0.08657159832923556,0.01853683778581648,0.040892731721890105,0.10639152834656755,0.4235715515106927,0.027877014738261107,0.3776546364938218,0.47009200865584916
T18,unweighted,overall,20,0.15972429544854067,0.037285715546944334,0.12012462576985805,0.24885426598588387,0.5729830492365756,0.044765966425946546,0.514535721490491,0.6538064998355523
T18,unweighted,qc_pass,20,0.13559991470998445,0.04739988978410407,0.08504801907632804,0.24016367425591667,0.5504777410010664,0.04965317586000843,0.48759806147495155,0.6371210247606277
T21,unweighted,overall,20,0.028622141650224104,0.01430949448182829,0.018950290983797132,0.06926506958537879,0.43098401110347473,0.04539068583898134,0.3619908888836229,0.5190977176778581
T21,unweighted,qc_pass,20,0.03461957163379993,0.014352585978734705,0.017392068189529347,0.06465823098268646,0.48171071676103433,0.058114378788439815,0.3703445748955957,0.5623855825838334
ANY,unweighted,overall,20,0.176764918287715,0.026056865749279463,0.138727890292831,0.22612411596559667,0.5342413460531586,0.02513252864868752,0.49580579012042875,0.5697881805253914
ANY,unweighted,qc_pass,20,0.16935639765927726,0.03218784297346019,0.12894978993261624,0.227685541742287,0.537918693582188,0.026401134815859904,0.493184255395044,0.5765394029279555
T13,group_class_weighted,overall,20,0.11053537005988615,0.029858242761463465,0.04103185293986064,0.14788570254981448,0.4317929915545312,0.0422519478240993,0.35551982286597816,0.49763434960742736
T13,group_class_weighted,qc_pass,20,0.08829993167855733,0.02769157937853937,0.03862187545455029,0.13602658831493766,0.450342662213617,0.05415040006054075,0.3692773153135504,0.5367992504342529
T18,group_class_weighted,overall,20,0.16676051932159136,0.04594408620013021,0.10452833272004043,0.25523131755313194,0.5890359837155479,0.03888739850105656,0.5242706880948733,0.6414226118682425
T18,group_class_weighted,qc_pass,20,0.14604249073170722,0.053844634126962866,0.08602148162764961,0.25068663428479426,0.5739674946144423,0.04229556199101841,0.5002343608495324,0.6291710751898985
T21,group_class_weighted,overall,20,0.06607079741082347,0.05546095473366462,0.018128481458143445,0.1741777994220164,0.44762738312514483,0.06917092049487317,0.32690165419633005,0.5642304240705202
T21,group_class_weighted,qc_pass,20,0.02451471662897196,0.006606195355081867,0.01612557393142592,0.03818987566899686,0.44323248076234256,0.06542908657034129,0.31774771583548933,0.5600819200403749
ANY,group_class_weighted,overall,20,0.1714115290390117,0.02638316355509033,0.12755416221454252,0.20707675717862523,0.55192955139902,0.024179184149399267,0.5185971517109385,0.5998990858599038
ANY,group_class_weighted,qc_pass,20,0.1704722888543363,0.030658578875575975,0.12340428757608513,0.21893254876771398,0.5463431582094328,0.02329943007900294,0.5211916817916004,0.5948546105796205
