target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
T13,unweighted,20260824,overall_qcfail_negative,low,0.1467391304347826,0.0729729729729729,0.9814201183431952,0.0974729241877256,0.9433106575963716,0.1538461538461538,0.0869565217391304,605.0,23.0,13.0,,,,,,,,,,,,,,,
T13,unweighted,20260824,overall_qcfail_negative,high,0.1181102362204724,0.0405405405405405,0.9867455621301776,0.0603621730382293,0.9470521541950112,0.1111111111111111,0.0434782608695652,605.0,23.0,9.0,,,,,,,,,,,,,,,
T13,unweighted,20260824,qc_pass,low,0.1304347826086956,0.088235294117647,0.9787083037615328,0.1052631578947368,0.9476027397260272,0.1538461538461538,0.1176470588235294,503.0,17.0,13.0,,,,,,,,,,,,,,,
T13,unweighted,20260824,qc_pass,high,0.111111111111111,0.0490196078431372,0.985805535841022,0.0680272108843537,0.9530821917808217,0.1111111111111111,0.0588235294117647,503.0,17.0,9.0,,,,,,,,,,,,,,,
T13,unweighted,20260824,overall,three_way,,,,,,,,,,,0.8320105820105822,0.167989417989418,0.1615268329554044,0.8176114890400606,0.0143990929705215,0.1181102362204724,0.0405405405405405,0.9645003235647592,0.6918918918918917,0.308108108108108,0.0708661417322834,0.8231163708086785,106.0,490.0,9.0
T18,unweighted,20260824,overall_qcfail_negative,low,0.0,0.0,0.9948326771653544,0.0,0.9167800453514736,0.0,0.0,605.0,46.0,3.0,,,,,,,,,,,,,,,
T18,unweighted,20260824,overall_qcfail_negative,high,0.0,0.0,0.9948326771653544,0.0,0.9167800453514736,0.0,0.0,605.0,46.0,3.0,,,,,,,,,,,,,,,
T18,unweighted,20260824,qc_pass,low,0.0,0.0,0.993840847499384,0.0,0.9210045662100452,0.0,0.0,500.0,39.0,3.0,,,,,,,,,,,,,,,
T18,unweighted,20260824,qc_pass,high,0.0,0.0,0.993840847499384,0.0,0.9210045662100452,0.0,0.0,500.0,39.0,3.0,,,,,,,,,,,,,,,
T18,unweighted,20260824,overall,three_way,,,,,,,,,,,0.8333711262282694,0.1666288737717309,0.1666288737717309,0.8286092214663645,0.0047619047619047,0.0,0.0,0.9199543899657924,0.8453757225433526,0.1546242774566474,0.0707828004410143,0.8271817585301837,105.0,497.0,3.0
T21,unweighted,20260824,overall_qcfail_negative,low,0.0,0.0,0.994773519163763,0.0,0.9710884353741496,0.0,0.0,605.0,13.0,3.0,,,,,,,,,,,,,,,
T21,unweighted,20260824,overall_qcfail_negative,high,0.0,0.0,0.9965156794425089,0.0,0.9727891156462584,0.0,0.0,605.0,13.0,2.0,,,,,,,,,,,,,,,
T21,unweighted,20260824,qc_pass,low,0.0,0.0,0.9941554646405611,0.0,0.9708904109589044,0.0,0.0,504.0,11.0,3.0,,,,,,,,,,,,,,,
T21,unweighted,20260824,qc_pass,high,0.0,0.0,0.9964932787843368,0.0,0.9731735159817352,0.0,0.0,504.0,11.0,2.0,,,,,,,,,,,,,,,
T21,unweighted,20260824,overall,three_way,,,,,,,,,,,0.83994708994709,0.16005291005291,0.1583522297808012,0.8365457294028724,0.0034013605442176,0.0,0.0,0.9762819064829455,0.8333333333333333,0.1666666666666666,0.0242774566473988,0.8366240805265196,102.0,501.0,2.0
ANY,unweighted,20260824,overall_qcfail_negative,low,0.110655737704918,0.0266798418972332,0.9722079918032784,0.0429936305732484,0.8637188208616773,0.1176470588235294,0.0298507462686567,605.0,67.0,17.0,,,,,,,,,,,,,,,
ANY,unweighted,20260824,overall_qcfail_negative,high,0.0872093023255813,0.0148221343873517,0.9798924180327868,0.0253378378378378,0.8691609977324256,0.0833333333333333,0.0149253731343283,605.0,67.0,12.0,,,,,,,,,,,,,,,
ANY,unweighted,20260824,qc_pass,low,0.0992647058823529,0.0296052631578947,0.968781855249745,0.0456081081081081,0.8710045662100451,0.125,0.0377358490566037,491.0,53.0,16.0,,,,,,,,,,,,,,,
ANY,unweighted,20260824,qc_pass,high,0.0833333333333333,0.0164473684210526,0.9789755351681956,0.0274725274725274,0.8787671232876706,0.0909090909090909,0.0188679245283018,491.0,53.0,11.0,,,,,,,,,,,,,,,
ANY,unweighted,20260824,overall,three_way,,,,,,,,,,,0.8135298563869994,0.1864701436130008,0.1800075585789871,0.7940287226001513,0.019501133786848,0.0872093023255814,0.0148221343873517,0.8883388862446454,0.772727272727273,0.2272727272727273,0.1266055045871559,0.7967896174863388,118.0,475.0,12.0
T13,group_class_weighted,20260824,overall_qcfail_negative,low,0.1558441558441558,0.0324324324324324,0.9923076923076924,0.0536912751677852,0.9520408163265306,0.2,0.0434782608695652,605.0,23.0,5.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20260824,overall_qcfail_negative,high,0.0,0.0,0.9958579881656804,0.0,0.9540816326530612,0.0,0.0,605.0,23.0,2.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20260824,qc_pass,low,0.1379310344827586,0.0392156862745098,0.9911284599006388,0.0610687022900763,0.9578767123287668,0.2,0.0588235294117647,503.0,17.0,5.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20260824,qc_pass,high,0.0,0.0,0.9946770759403832,0.0,0.9599315068493148,0.0,0.0,503.0,17.0,2.0,,,,,,,,,,,,,,,
