target,variant,seed,outer_fold,quality,low_threshold,high_threshold,negative_records,negative_women,pooled_fallback
T13,unweighted,20260824,0,good,0.5625315983605362,0.5625315983605362,69,47,False
T13,unweighted,20260824,0,typ,0.7897762550806899,0.7897762550806899,225,99,False
T13,unweighted,20260824,0,marg,0.2070606846388917,0.22941821760868739,72,57,False
T13,unweighted,20260824,1,good,0.05584614429879807,0.05917272373168123,72,48,False
T13,unweighted,20260824,1,typ,0.08223196829146762,0.15829895711411415,217,101,False
T13,unweighted,20260824,1,marg,0.1512974119400716,0.1665483793107755,76,58,False
T13,unweighted,20260824,2,good,0.05233472803245789,0.053067172912247676,73,47,False
T13,unweighted,20260824,2,typ,0.09936969967855776,0.10664532503930904,218,98,False
T13,unweighted,20260824,2,marg,0.102572466677418,0.10451651869294865,72,58,False
T13,unweighted,20260824,3,good,0.8215852979201109,0.8215852979201109,71,51,False
T13,unweighted,20260824,3,typ,0.5798683147994205,0.5798683147994205,225,99,False
T13,unweighted,20260824,3,marg,0.4476270603081059,0.5044729574284735,67,53,False
T18,unweighted,20260824,0,good,0.30009745220638456,0.30009745220638456,70,51,False
T18,unweighted,20260824,0,typ,0.2565925911228107,0.31052425285053276,212,97,False
T18,unweighted,20260824,0,marg,0.4915565896740209,0.4915565896740209,62,49,False
T18,unweighted,20260824,1,good,0.14170018048427385,0.14170018048427385,70,49,False
T18,unweighted,20260824,1,typ,0.18937278901230706,0.18937278901230706,212,100,False
T18,unweighted,20260824,1,marg,0.20017972596916675,0.20017972596916675,65,52,False
T18,unweighted,20260824,2,good,0.17295706389619742,0.17295706389619742,73,47,False
T18,unweighted,20260824,2,typ,0.21280589663048102,0.2690821182894279,208,98,False
T18,unweighted,20260824,2,marg,0.4267939132151405,0.4267939132151405,65,52,False
T18,unweighted,20260824,3,good,0.1990008827257386,0.1990008827257386,68,50,False
T18,unweighted,20260824,3,typ,0.3124162383219927,0.33166173106567426,216,99,False
T18,unweighted,20260824,3,marg,0.4509300844326731,0.4509300844326731,58,46,False
T21,unweighted,20260824,0,good,0.29766015550420283,0.29766015550420283,75,54,False
T21,unweighted,20260824,0,typ,0.178423803144427,0.2589514380880511,214,100,False
T21,unweighted,20260824,0,marg,0.290710006719445,0.36637954269604184,79,61,False
T21,unweighted,20260824,1,good,0.49463236773158487,0.49463236773158487,76,53,False
T21,unweighted,20260824,1,typ,0.11543257751073026,0.11543257751073026,216,97,False
T21,unweighted,20260824,1,marg,0.15691506363813676,0.17815099524527814,79,56,False
T21,unweighted,20260824,2,good,0.07235141930501891,0.09394978013580804,76,52,False
T21,unweighted,20260824,2,typ,0.12598997196672923,0.18350107258886678,216,99,False
T21,unweighted,20260824,2,marg,0.22515462357680066,0.22515462357680066,67,52,False
T21,unweighted,20260824,3,good,0.5311846241544774,0.5417602043436348,78,56,False
T21,unweighted,20260824,3,typ,0.28334392355544497,0.3837536147642457,216,94,False
T21,unweighted,20260824,3,marg,0.3175885227861545,0.3175885227861545,73,55,False
T13,group_class_weighted,20260824,0,good,0.7993172866451537,0.8596227767579918,69,47,False
T13,group_class_weighted,20260824,0,typ,0.9777148511021063,0.9777148511021063,225,99,False
T13,group_class_weighted,20260824,0,marg,0.8075581271393291,0.8705890057163022,72,57,False
T13,group_class_weighted,20260824,1,good,0.7271090939215059,0.8077952313072613,72,48,False
T13,group_class_weighted,20260824,1,typ,0.8632600035689716,0.8827616006781588,217,101,False
T13,group_class_weighted,20260824,1,marg,0.9626930201922818,0.9742583227390957,76,58,False
T13,group_class_weighted,20260824,2,good,0.6530393126122879,0.6945530243951256,73,47,False
T13,group_class_weighted,20260824,2,typ,0.8165192811625624,0.8285233474330344,218,98,False
T13,group_class_weighted,20260824,2,marg,0.8836908031359096,0.8836908031359096,72,58,False
T13,group_class_weighted,20260824,3,good,0.8078743560603914,0.8078743560603914,71,51,False
T13,group_class_weighted,20260824,3,typ,0.9511657309419169,0.9511657309419169,225,99,False
T13,group_class_weighted,20260824,3,marg,0.8658550551664506,0.9346222386889688,67,53,False
T18,group_class_weighted,20260824,0,good,0.7888647034008391,0.7888647034008391,70,51,False
T18,group_class_weighted,20260824,0,typ,0.8181967686762622,0.9016921739884044,212,97,False
T18,group_class_weighted,20260824,0,marg,0.8886678545146703,0.8886678545146703,62,49,False
T18,group_class_weighted,20260824,1,good,0.7629026659860793,0.7629026659860793,70,49,False
T18,group_class_weighted,20260824,1,typ,0.8155319396183716,0.8220660866416692,212,100,False
T18,group_class_weighted,20260824,1,marg,0.7760631812825417,0.7760631812825417,65,52,False
T18,group_class_weighted,20260824,2,good,0.6700414129017928,0.6700414129017928,73,47,False
T18,group_class_weighted,20260824,2,typ,0.7948984783275496,0.8163155140540179,208,98,False
T18,group_class_weighted,20260824,2,marg,0.929132016863243,0.929132016863243,65,52,False
T18,group_class_weighted,20260824,3,good,0.8049784475253373,0.8049784475253373,68,50,False
T18,group_class_weighted,20260824,3,typ,0.8321846093669171,0.8837384083114407,216,99,False
T18,group_class_weighted,20260824,3,marg,0.9660848959244882,0.9660848959244882,58,46,False
T21,group_class_weighted,20260824,0,good,0.987814340278128,0.987814340278128,75,54,False
T21,group_class_weighted,20260824,0,typ,0.9969564428941025,0.9985075304815434,214,100,False
T21,group_class_weighted,20260824,0,marg,0.9868926612896465,0.9868926612896465,79,61,False
T21,group_class_weighted,20260824,1,good,0.9949833256782102,0.9949833256782102,76,53,False
T21,group_class_weighted,20260824,1,typ,0.9128784614138483,0.9258273572647225,216,97,False
T21,group_class_weighted,20260824,1,marg,0.9851017231417065,0.9923735553177907,79,56,False
T21,group_class_weighted,20260824,2,good,0.8772786831090569,0.9697903230894563,76,52,False
T21,group_class_weighted,20260824,2,typ,0.9218585099741472,0.9620141409548485,216,99,False
T21,group_class_weighted,20260824,2,marg,0.9697126572971326,0.9697126572971326,67,52,False
T21,group_class_weighted,20260824,3,good,0.8636084918168442,0.9082042321931645,78,56,False
T21,group_class_weighted,20260824,3,typ,0.9741506157799895,0.9770103081921143,216,94,False
T21,group_class_weighted,20260824,3,marg,0.9811361370321215,0.9811361370321215,73,55,False
T13,unweighted,20360827,0,good,0.05799176502532248,0.05799176502532248,74,51,False
T13,unweighted,20360827,0,typ,0.10708130068016096,0.11932354338059603,213,97,False
T13,unweighted,20360827,0,marg,0.3430116968291094,0.3430116968291094,71,57,False
T13,unweighted,20360827,1,good,0.15011389421222893,0.15011389421222893,78,53,False
T13,unweighted,20360827,1,typ,0.18601954282698485,0.3398551744261798,216,96,False
T13,unweighted,20360827,1,marg,0.24945527610031323,0.36775871959507433,65,53,False
T13,unweighted,20360827,2,good,0.04841195990751185,0.04841195990751185,75,51,False
T13,unweighted,20360827,2,typ,0.18776806157448706,0.18776806157448706,216,97,False
T13,unweighted,20360827,2,marg,0.22078928217008806,0.22488484118181165,68,53,False
T13,unweighted,20360827,3,good,0.09019580461386306,0.09019580461386306,72,54,False
T13,unweighted,20360827,3,typ,0.12776715201008038,0.12776715201008038,219,100,False
T13,unweighted,20360827,3,marg,0.14825533653393186,0.14825533653393186,77,56,False
T18,unweighted,20360827,0,good,0.23242448131156998,0.3295040232859913,73,51,False
T18,unweighted,20360827,0,typ,0.5384949671179726,0.5384949671179726,197,99,False
T18,unweighted,20360827,0,marg,0.4122055637023184,0.4122055637023184,72,56,False
T18,unweighted,20360827,1,good,0.15477427211880712,0.15477427211880712,72,52,False
T18,unweighted,20360827,1,typ,0.1968094539117493,0.25406031452909283,208,96,False
T18,unweighted,20360827,1,marg,0.34074506598208004,0.34074506598208004,65,52,False
T18,unweighted,20360827,2,good,0.3245555246110092,0.3245555246110092,71,47,False
T18,unweighted,20360827,2,typ,0.2640967270582942,0.3073692279934378,216,101,False
T18,unweighted,20360827,2,marg,0.3286024090997935,0.3286024090997935,60,49,False
T18,unweighted,20360827,3,good,0.12289933748997318,0.13476995513180803,75,50,False
T18,unweighted,20360827,3,typ,0.15526171109379433,0.16122642470665619,205,95,False
T18,unweighted,20360827,3,marg,0.2646162735144658,0.2646162735144658,63,47,False
T21,unweighted,20360827,0,good,0.1609167906882649,0.1609167906882649,70,46,False
T21,unweighted,20360827,0,typ,0.4626755762566288,0.4626755762566288,219,99,False
T21,unweighted,20360827,0,marg,0.44910770427001273,0.44910770427001273,77,58,False
T21,unweighted,20360827,1,good,0.8664240198278622,0.8664240198278622,76,54,False
T21,unweighted,20360827,1,typ,0.2266787903001785,0.2266787903001785,221,97,False
T21,unweighted,20360827,1,marg,0.625887144327942,0.625887144327942,72,54,False
T21,unweighted,20360827,2,good,0.02149583311002478,0.022593724652260293,74,53,False
T21,unweighted,20360827,2,typ,0.03145669748721915,0.03361939928556071,219,101,False
T21,unweighted,20360827,2,marg,0.05283310188131073,0.05283310188131073,75,58,False
T21,unweighted,20360827,3,good,0.03591105298604896,0.04299443204282463,78,52,False
T21,unweighted,20360827,3,typ,0.046208069461607146,0.04830152951062957,215,97,False
T21,unweighted,20360827,3,marg,0.09086224560413766,0.09086224560413766,74,56,False
T13,group_class_weighted,20360827,0,good,0.737867384346888,0.7842474621381598,74,51,False
T13,group_class_weighted,20360827,0,typ,0.783888785153274,0.8281279773142989,213,97,False
T13,group_class_weighted,20360827,0,marg,0.975399549137005,0.975399549137005,71,57,False
T13,group_class_weighted,20360827,1,good,0.8262612446913357,0.8262612446913357,78,53,False
T13,group_class_weighted,20360827,1,typ,0.9049526357436285,0.9539051938118803,216,96,False
T13,group_class_weighted,20360827,1,marg,0.8951491160284339,0.9454081141540873,65,53,False
T13,group_class_weighted,20360827,2,good,0.5879567052043574,0.590517137640772,75,51,False
T13,group_class_weighted,20360827,2,typ,0.7340976443381279,0.7706011584223519,216,97,False
T13,group_class_weighted,20360827,2,marg,0.8383610850134594,0.8383610850134594,68,53,False
T13,group_class_weighted,20360827,3,good,0.9999999999628431,0.9999999999628431,72,54,False
T13,group_class_weighted,20360827,3,typ,0.9161929938969893,0.9203269282268386,219,100,False
T13,group_class_weighted,20360827,3,marg,0.8531959551348282,0.9054755375213039,77,56,False
T18,group_class_weighted,20360827,0,good,0.8656731756789277,0.9089222551126639,73,51,False
T18,group_class_weighted,20360827,0,typ,0.9442732273723256,0.9442732273723256,197,99,False
T18,group_class_weighted,20360827,0,marg,0.9515555803337353,0.9515555803337353,72,56,False
T18,group_class_weighted,20360827,1,good,0.6537597876300396,0.6537597876300396,72,52,False
T18,group_class_weighted,20360827,1,typ,0.7406956483813567,0.7802713586663127,208,96,False
T18,group_class_weighted,20360827,1,marg,0.8326696863715289,0.8326696863715289,65,52,False
T18,group_class_weighted,20360827,2,good,0.8091394632195521,0.8091394632195521,71,47,False
T18,group_class_weighted,20360827,2,typ,0.7905496061938401,0.8404473885571433,216,101,False
T18,group_class_weighted,20360827,2,marg,0.9190883768024504,0.9190883768024504,60,49,False
T18,group_class_weighted,20360827,3,good,0.7406087919512838,0.7674868094747672,75,50,False
T18,group_class_weighted,20360827,3,typ,0.8106167879139642,0.821053511432476,205,95,False
T18,group_class_weighted,20360827,3,marg,0.8292298329584316,0.8979541689660312,63,47,False
T21,group_class_weighted,20360827,0,good,0.8039346404700868,0.8039346404700868,70,46,False
T21,group_class_weighted,20360827,0,typ,0.9913640891238894,0.9913640891238894,219,99,False
T21,group_class_weighted,20360827,0,marg,0.9864926312514013,0.9864926312514013,77,58,False
T21,group_class_weighted,20360827,1,good,0.8608908254262355,0.9225295103130527,76,54,False
T21,group_class_weighted,20360827,1,typ,0.8406950488505257,0.8406950488505257,221,97,False
T21,group_class_weighted,20360827,1,marg,0.9945309369505713,0.9945309369505713,72,54,False
T21,group_class_weighted,20360827,2,good,0.8086556084460905,0.9193099690999356,74,53,False
T21,group_class_weighted,20360827,2,typ,0.8560525109549686,0.8827069377002035,219,101,False
T21,group_class_weighted,20360827,2,marg,0.9841799778054294,0.9841799778054294,75,58,False
T21,group_class_weighted,20360827,3,good,0.9671447108520105,0.9671447108520105,78,52,False
T21,group_class_weighted,20360827,3,typ,0.958818032252063,0.9954675341865407,215,97,False
T21,group_class_weighted,20360827,3,marg,0.9880389339030426,0.9938377752477434,74,56,False
T13,unweighted,20460830,0,good,0.08476053871367681,0.08476053871367681,74,51,False
T13,unweighted,20460830,0,typ,0.11706137238708322,0.12244918783608909,217,99,False
T13,unweighted,20460830,0,marg,0.1296908126057614,0.1296908126057614,64,53,False
T13,unweighted,20460830,1,good,0.5448374433218687,0.5448374433218687,77,51,False
T13,unweighted,20460830,1,typ,0.3151394348028257,0.3584607097443079,217,98,False
T13,unweighted,20460830,1,marg,0.22886608077145962,0.2701988301071509,68,52,False
T13,unweighted,20460830,2,good,0.06125527983565015,0.06946024083311451,73,49,False
T13,unweighted,20460830,2,typ,0.24573765970043857,0.24573765970043857,220,99,False
T13,unweighted,20460830,2,marg,0.32499048133194747,0.32499048133194747,69,56,False
T13,unweighted,20460830,3,good,0.1466264663355817,0.1466264663355817,74,51,False
T13,unweighted,20460830,3,typ,0.10938389061942604,0.10938389061942604,222,97,False
T13,unweighted,20460830,3,marg,0.14005576622545496,0.14005576622545496,72,55,False
T18,unweighted,20460830,0,good,0.13509613529272432,0.13509613529272432,72,52,False
T18,unweighted,20460830,0,typ,0.18262566475236594,0.2554019811444358,204,95,False
T18,unweighted,20460830,0,marg,0.24228158521664905,0.24228158521664905,66,49,False
T18,unweighted,20460830,1,good,0.3495857118907951,0.3495857118907951,73,49,False
T18,unweighted,20460830,1,typ,0.24792543455024,0.27590202282066445,210,98,False
T18,unweighted,20460830,1,marg,0.28964004135500554,0.28964004135500554,67,54,False
T18,unweighted,20460830,2,good,0.11637388147773825,0.11637388147773825,71,48,False
T18,unweighted,20460830,2,typ,0.23454534052674073,0.23454534052674073,210,98,False
T18,unweighted,20460830,2,marg,0.22873290282857398,0.23571759872544942,60,48,False
T18,unweighted,20460830,3,good,0.26401621787672885,0.26401621787672885,72,54,False
T18,unweighted,20460830,3,typ,0.2666647357006945,0.306945724294199,212,99,False
T18,unweighted,20460830,3,marg,0.3059631806129219,0.3059631806129219,65,50,False
T21,unweighted,20460830,0,good,0.22955774862722897,0.22955774862722897,75,52,False
T21,unweighted,20460830,0,typ,0.31517033795092664,0.31517033795092664,212,99,False
T21,unweighted,20460830,0,marg,0.5787651922651063,0.5787651922651063,80,58,False
T21,unweighted,20460830,1,good,0.021904248770848143,0.03051837903524319,74,53,False
T21,unweighted,20460830,1,typ,0.0321895919089204,0.03462707903579826,222,102,False
T21,unweighted,20460830,1,marg,0.029970814365602873,0.03421227119704504,72,53,False
T21,unweighted,20460830,2,good,0.45097819245346277,0.45097819245346277,70,49,False
T21,unweighted,20460830,2,typ,0.13068721437002184,0.25499364096389704,223,99,False
T21,unweighted,20460830,2,marg,0.2816442520850821,0.2816442520850821,72,56,False
T21,unweighted,20460830,3,good,0.5019723123816119,0.5019723123816119,75,50,False
T21,unweighted,20460830,3,typ,0.4498410062819074,0.4498410062819074,216,96,False
T21,unweighted,20460830,3,marg,0.7729625183610864,0.7729625183610864,76,55,False
T13,group_class_weighted,20460830,0,good,0.79027036210306,0.79027036210306,74,51,False
T13,group_class_weighted,20460830,0,typ,0.7986118556566448,0.984892869048625,217,99,False
T13,group_class_weighted,20460830,0,marg,0.9095783474590544,0.9095783474590544,64,53,False
T13,group_class_weighted,20460830,1,good,0.801402181423882,0.801402181423882,77,51,False
T13,group_class_weighted,20460830,1,typ,0.9006176744973488,0.9161063808080591,217,98,False
T13,group_class_weighted,20460830,1,marg,0.9038767421109056,0.9401769911243305,68,52,False
T13,group_class_weighted,20460830,2,good,0.7264802587383431,0.7267364065340175,73,49,False
T13,group_class_weighted,20460830,2,typ,0.7887563896199645,0.7887563896199645,220,99,False
T13,group_class_weighted,20460830,2,marg,0.7793424940883416,0.7793424940883416,69,56,False
T13,group_class_weighted,20460830,3,good,0.9245405088052498,0.9245405088052498,74,51,False
T13,group_class_weighted,20460830,3,typ,0.9601665589200324,0.9726680529091095,222,97,False
T13,group_class_weighted,20460830,3,marg,0.922678551833196,0.9371756640772511,72,55,False
T18,group_class_weighted,20460830,0,good,0.645814078258042,0.709226476708977,72,52,False
T18,group_class_weighted,20460830,0,typ,0.7740532202994753,0.8361256929073456,204,95,False
T18,group_class_weighted,20460830,0,marg,0.8612403291109857,0.8612403291109857,66,49,False
T18,group_class_weighted,20460830,1,good,0.9080155689554431,0.9080155689554431,73,49,False
