target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T13,unweighted,20260824,0,1.0,"{""0.03"": 0.2232756039133104, ""0.1"": 0.23174723493572177, ""0.3"": 0.2341953301122958, ""1.0"": 0.2344730896732364, ""3.0"": 0.23331521550336418, ""10.0"": 0.23057337604068012}",452,153,111,36,377,112
T13,unweighted,20260824,1,0.03,"{""0.03"": 0.14240704049780845, ""0.1"": 0.13181282660789798, ""0.3"": 0.1295109510376781, ""1.0"": 0.12826021387295022, ""3.0"": 0.1278141094460968, ""10.0"": 0.12527424421545874}",453,152,111,36,376,133
T13,unweighted,20260824,2,0.03,"{""0.03"": 0.39804791370525583, ""0.1"": 0.340740421692409, ""0.3"": 0.32553741148319226, ""1.0"": 0.32034535833948985, ""3.0"": 0.3188284695316764, ""10.0"": 0.31233115925908667}",455,150,110,37,377,131
T13,unweighted,20260824,3,3.0,"{""0.03"": 0.30774047384362957, ""0.1"": 0.368437710546742, ""0.3"": 0.38820912780620476, ""1.0"": 0.3971287536855767, ""3.0"": 0.40432403590534494, ""10.0"": 0.40086098729394365}",455,150,109,38,380,127
T18,unweighted,20260824,0,3.0,"{""0.03"": 0.22597648496649347, ""0.1"": 0.24801722089800862, ""0.3"": 0.25288674791896215, ""1.0"": 0.25391101695595686, ""3.0"": 0.2562809762310942, ""10.0"": 0.2531792229156095}",453,152,111,36,375,114
T18,unweighted,20260824,1,0.03,"{""0.03"": 0.3281535493620975, ""0.1"": 0.3164311785991485, ""0.3"": 0.31238727435790414, ""1.0"": 0.31194104593263294, ""3.0"": 0.3142805550432849, ""10.0"": 0.3159962523599795}",453,152,110,37,377,135
T18,unweighted,20260824,2,1.0,"{""0.03"": 0.18513978232457157, ""0.1"": 0.18715945105617623, ""0.3"": 0.18791033650682598, ""1.0"": 0.1880908681046664, ""3.0"": 0.18766921785273982, ""10.0"": 0.1857056928457338}",456,149,109,38,380,120
T18,unweighted,20260824,3,3.0,"{""0.03"": 0.3486972175891853, ""0.1"": 0.36331236389588323, ""0.3"": 0.3692876163404706, ""1.0"": 0.3761811022917685, ""3.0"": 0.3774590441543094, ""10.0"": 0.3751305898227779}",453,152,111,36,377,131
T21,unweighted,20260824,0,10.0,"{""0.03"": 0.14805624624238736, ""0.1"": 0.1515079950130185, ""0.3"": 0.15998550338982187, ""1.0"": 0.16853376592775784, ""3.0"": 0.17349119593049236, ""10.0"": 0.17824441890695208}",454,151,111,36,373,115
T21,unweighted,20260824,1,3.0,"{""0.03"": 0.21715121662855702, ""0.1"": 0.2379147408159712, ""0.3"": 0.2509826353696733, ""1.0"": 0.26305554626414646, ""3.0"": 0.2651655908104683, ""10.0"": 0.2588919052416834}",454,151,111,36,379,131
T21,unweighted,20260824,2,3.0,"{""0.03"": 0.1589656079058782, ""0.1"": 0.15759961456474247, ""0.3"": 0.15628174292221264, ""1.0"": 0.1605643496471868, ""3.0"": 0.1616966536865474, ""10.0"": 0.16019333585057077}",452,153,109,38,375,136
T21,unweighted,20260824,3,10.0,"{""0.03"": 0.2658537049408342, ""0.1"": 0.26836834625742845, ""0.3"": 0.27428171329532364, ""1.0"": 0.27310174005826426, ""3.0"": 0.27802365770661197, ""10.0"": 0.28113199004813133}",455,150,110,37,381,122
T13,group_class_weighted,20260824,0,0.03,"{""0.03"": 0.2320046301505107, ""0.1"": 0.22945078659755833, ""0.3"": 0.22831527616618597, ""1.0"": 0.22468330276161216, ""3.0"": 0.22034273277531008, ""10.0"": 0.21341011298716475}",452,153,111,36,377,112
T13,group_class_weighted,20260824,1,0.03,"{""0.03"": 0.1804317310025966, ""0.1"": 0.17148448070126407, ""0.3"": 0.16602852894575265, ""1.0"": 0.1613347130208397, ""3.0"": 0.15727868090671993, ""10.0"": 0.15344415523958826}",453,152,111,36,376,133
T13,group_class_weighted,20260824,2,0.03,"{""0.03"": 0.2915843330594187, ""0.1"": 0.2853810583658867, ""0.3"": 0.27270551935713533, ""1.0"": 0.27122683840966905, ""3.0"": 0.2686902943075249, ""10.0"": 0.26430637972327753}",455,150,110,37,377,131
