target,approach,population,decision_rule,precision_w,recall_w,specificity_w,f1_w,pr_auc_w,roc_auc_w,bootstrap_f1_q025,bootstrap_f1_q975,chrono_precision_w,chrono_recall_w,chrono_f1_w,f1_delta_vs_previous,comparison_caveat
ANY,previous_elastic_engineered,all_records,training-only tuned binary threshold,0.3767711767164698,0.4768379446640318,,0.4161922840114339,0.3990793096640582,0.7498813684459401,0.3016873067701666,0.5729135442170038,0.2997987927565392,0.6394849785407726,0.4082191780821918,0.0,reference; threshold optimizes balanced detection rather than Sp>=99%
ANY,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.2873955664385322,0.0752964426877469,0.9747237265807962,0.1177892654733946,0.176764918287715,0.5342413460531586,0.0,0.1980187974057381,,,,-0.2984030185380393,official threshold has a much stricter specificity target
ANY,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.3348082259467005,0.0628458498023714,0.9836074721896956,0.1046713478386525,0.176764918287715,0.5342413460531586,0.0,0.1446012975840839,,,,-0.31152093617278137,official threshold has a much stricter specificity target
ANY,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.2626832569982348,0.0603260869565216,0.9769284250585478,0.0963408514105883,0.1714115290390117,0.55192955139902,0.0,0.3020169459723273,,,,-0.3198514326008456,official threshold has a much stricter specificity target
ANY,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.3152014209097382,0.0523221343873517,0.9848333211358314,0.088314617042531,0.1714115290390117,0.55192955139902,0.0,0.3140060344079936,,,,-0.32787766696890286,official threshold has a much stricter specificity target
T13,previous_extra_trees_longitudinal,all_records,training-only tuned binary threshold,0.2169276147530273,0.4162432432432431,,0.2790366847769893,0.2231675892382476,0.8417959700867397,0.1336130774107925,0.4650904977375566,0.3095238095238095,0.3421052631578947,0.325,0.0,reference; threshold optimizes balanced detection rather than Sp>=99%
T13,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.2534112054109897,0.0721621621621621,0.988894336432798,0.1071436995153423,0.12220398361055299,0.41258854568854686,0.0,0.3313071297989029,0.0,0.0,0.0,-0.17189298526164698,official threshold has a much stricter specificity target
T13,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.3179066829629721,0.0685135135135134,0.9925849535080308,0.1089263864179108,0.12220398361055299,0.41258854568854686,0.0,0.3659788064696039,0.0,0.0,0.0,-0.17011029835907848,official threshold has a much stricter specificity target
T13,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.2406712166092558,0.0474324324324323,0.99187235841082,0.0770570475385074,0.11053537005988615,0.4317929915545312,0.0,0.2089964244591236,0.5454545454545454,0.5263157894736842,0.5357142857142857,-0.2019796372384819,official threshold has a much stricter specificity target
T13,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.2895954252146202,0.0417567567567567,0.9946804733727812,0.0707801696520673,0.11053537005988615,0.4317929915545312,0.0,0.2345225176342917,0.631578947368421,0.5263157894736842,0.5741626794258373,-0.208256515124922,official threshold has a much stricter specificity target
T18,previous_elastic_engineered,all_records,training-only tuned binary threshold,0.4236621416842526,0.5248988439306359,,0.4647668685872054,0.4771179158648644,0.8247251568490719,0.2338971776109475,0.5583330724928007,0.36,0.3121387283236994,0.3343653250773994,0.0,reference; threshold optimizes balanced detection rather than Sp>=99%
T18,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.2396200255206503,0.0390173410404623,0.990922033183352,0.0660996056501071,0.15972429544854067,0.5729830492365756,0.0,0.0,0.0,0.0,0.0,-0.3986672629370983,official threshold has a much stricter specificity target
T18,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.2318389888102234,0.0303468208092485,0.993800970191226,0.0529053528710301,0.15972429544854067,0.5729830492365756,0.0,0.0,0.0,0.0,0.0,-0.4118615157161753,official threshold has a much stricter specificity target
T18,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.2178920404438863,0.0357658959537571,0.9906416971316088,0.06018134400814,0.16676051932159136,0.5890359837155479,0.0,0.0,0.0,0.0,0.0,-0.4045855245790654,official threshold has a much stricter specificity target
T18,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.2168332757690736,0.0292630057803467,0.9934274817210348,0.0504870471732336,0.16676051932159136,0.5890359837155479,0.0,0.0,0.0,0.0,0.0,-0.4142798214139718,official threshold has a much stricter specificity target
T21,previous_lda_engineered,all_records,training-only tuned binary threshold,0.0269515215902826,0.4042857142857141,,0.0453998528260215,0.1296330126043593,0.4197190269448874,0.0159535897372396,0.0919560380233635,0.0422195416164053,0.5384615384615385,0.0782997762863535,0.0,reference; threshold optimizes balanced detection rather than Sp>=99%
T21,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.0337624584717607,0.0178571428571428,0.990728388916542,0.0221381886087768,0.028622141650224104,0.43098401110347473,0.0,0.0,0.0,0.0,0.0,-0.0232616642172447,official threshold has a much stricter specificity target
T21,official_logistic_unweighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.0099999999999999,0.0035714285714285,0.9937514518002322,0.0052631578947368,0.028622141650224104,0.43098401110347473,0.0,0.0,0.0,0.0,0.0,-0.040136694931284696,official threshold has a much stricter specificity target
T21,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99% threshold,0.0166666666666666,0.0035714285714285,0.9924041811846688,0.0058823529411764,0.06607079741082347,0.44762738312514483,0.0,0.0,0.0,0.0,0.0,-0.0395174998848451,official threshold has a much stricter specificity target
T21,official_logistic_group_class_weighted,all_records; QC failures counted negative,quality-specific inner-OOF Sp>=99.5% threshold,0.0,0.0,0.9948838559814168,0.0,0.06607079741082347,0.44762738312514483,0.0,0.0,0.0,0.0,0.0,-0.0453998528260215,official threshold has a much stricter specificity target
