target,variant,scope,mode,seeds,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,n_mean,n_sd,n_q025,n_q975,positive_mean,positive_sd,positive_q025,positive_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,coverage_w_mean,coverage_w_sd,coverage_w_q025,coverage_w_q975,retest_rate_w_mean,retest_rate_w_sd,retest_rate_w_q025,retest_rate_w_q975,qc_fail_rate_w_mean,qc_fail_rate_w_sd,qc_fail_rate_w_q025,qc_fail_rate_w_q975,negative_clear_rate_w_mean,negative_clear_rate_w_sd,negative_clear_rate_w_q025,negative_clear_rate_w_q975,positive_call_rate_w_mean,positive_call_rate_w_sd,positive_call_rate_w_q025,positive_call_rate_w_q975,positive_precision_w_mean,positive_precision_w_sd,positive_precision_w_q025,positive_precision_w_q975,positive_recall_all_w_mean,positive_recall_all_w_sd,positive_recall_all_w_q025,positive_recall_all_w_q975,negative_npv_w_mean,negative_npv_w_sd,negative_npv_w_q025,negative_npv_w_q975,false_negative_clear_rate_w_mean,false_negative_clear_rate_w_sd,false_negative_clear_rate_w_q025,false_negative_clear_rate_w_q975,followup_recall_w_mean,followup_recall_w_sd,followup_recall_w_q025,followup_recall_w_q975,followup_precision_w_mean,followup_precision_w_sd,followup_precision_w_q025,followup_precision_w_q975,negative_specific_clear_w_mean,negative_specific_clear_w_sd,negative_specific_clear_w_q025,negative_specific_clear_w_q975,retest_records_mean,retest_records_sd,retest_records_q025,retest_records_q975,negative_records_mean,negative_records_sd,negative_records_q025,negative_records_q975,positive_call_records_mean,positive_call_records_sd,positive_call_records_q025,positive_call_records_q975
T13,published_thresholds_on_raw_z,overall_qcfail_negative,low,20,0.0577947890042366,0.0342790445997153,0.0,0.0820631228380384,0.0243243243243242,0.0144084862157616,0.0,0.0324324324324324,0.983230769230769,0.0006042040807102,0.9828064243448856,0.9842265426880812,0.034234084451285,0.0202806586215476,0.0,0.0464905645815727,0.943004535147392,0.0004293005251264,0.9425494007126658,0.9441909620991252,0.054120879120879,0.0321013682300105,0.0,0.0769230769230769,0.0326086956521739,0.019315724274753,0.0,0.0434782608695652,605.0,0.0,605.0,605.0,23.0,0.0,23.0,23.0,13.4,0.8825799501580878,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,published_thresholds_on_raw_z,overall_qcfail_negative,high,20,0.0816062176165803,0.0483393514233456,0.0,0.1088082901554404,0.0243243243243242,0.0144084862157616,0.0,0.0324324324324324,0.9885207100591712,0.0003716120526111,0.9883685545224006,0.98938292476754,0.0374776918500891,0.0221998687084014,0.0,0.0499702558001189,0.9480725623582764,0.0004230182216384,0.946906381600259,0.948266925817946,0.075,0.0444261658319319,0.0,0.1,0.0326086956521739,0.019315724274753,0.0,0.0434782608695652,605.0,0.0,605.0,605.0,23.0,0.0,23.0,23.0,9.6,0.7539370349250519,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,published_thresholds_on_raw_z,qc_pass,low,20,0.070667832357269,0.0427106420232831,0.0,0.1043687569367369,0.0466293962414445,0.0283349601615708,0.0,0.0664451827242524,0.9785565177986232,0.0007890290621672,0.9776029662857256,0.9800291119432196,0.0561697002177569,0.0340434865867834,0.0,0.0808104659475304,0.9465875733855184,0.0010409505671753,0.9448732061317676,0.9485975212002608,0.054120879120879,0.0321013682300105,0.0,0.0769230769230769,0.0436274509803921,0.0258687588738656,0.0,0.0588235294117647,500.9,2.918182563460382,496.0,505.525,16.9,0.6407232755171874,16.0,18.0,13.4,0.8825799501580878,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,published_thresholds_on_raw_z,qc_pass,high,20,0.0993221629855292,0.0598509943752028,0.0,0.1386138613861386,0.0466293962414445,0.0283349601615708,0.0,0.0664451827242524,0.9853835572854248,0.0001967766275828,0.9852853176485198,0.9858390370545196,0.0634560588664756,0.0384525730687535,0.0,0.0898299647096567,0.953180039138943,0.0006440015002478,0.9517225212002608,0.9537345075016308,0.075,0.0444261658319319,0.0,0.1,0.0436274509803921,0.0258687588738656,0.0,0.0588235294117647,500.9,2.918182563460382,496.0,505.525,16.9,0.6407232755171874,16.0,18.0,9.6,0.7539370349250519,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,published_thresholds_on_raw_z,overall,three_way,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8308047187128823,0.0047268781870307,0.823586545729403,0.8391846182917614,0.169195281287118,0.0047268781870307,0.1608153817082388,0.1764134542705971,0.1641272540762337,0.0047502733877553,0.1562008692365835,0.1717957024079473,0.818786578123313,0.0044140772076297,0.8120320429759207,0.827394854767304,0.0120181405895691,0.0008973571592581,0.0101716877227081,0.0125040492387431,0.0816062176165803,0.0483393514233456,0.0,0.1088082901554404,0.0243243243243242,0.0144084862157616,0.0,0.0324324324324324,0.9622244400642372,0.0006066879656217,0.96079217575281,0.9628301810577962,0.7372972972972972,0.0118815421145683,0.7324324324324323,0.7648648648648648,0.2627027027027027,0.0118815421145683,0.235135135135135,0.2675675675675675,0.060838643062825,0.0029355516954394,0.0543054249049144,0.0647694463765184,0.8223547478162863,0.0045479384674281,0.8155174697097773,0.8308784164553396,107.9,2.9000907426819373,102.95,112.525,487.5,2.6056618514708556,483.475,492.575,9.6,0.7539370349250519,8.0,10.0
T18,published_thresholds_on_raw_z,overall_qcfail_negative,low,20,0.0661937203355345,0.0011045519525846,0.0647597137771284,0.0680686939678807,0.0361271676300578,1.4238309865648918e-17,0.0361271676300578,0.0361271676300578,0.9565971245781772,0.0007703596878239,0.9555724479752528,0.9578885158886384,0.0467401687475167,0.0002741892220799,0.046378575268156,0.0472018718836112,0.8843788467768053,0.000709918769006,0.8834345643019106,0.8855689180434072,0.0650604838709676,0.0011672551060236,0.0634576612903225,0.0666666666666666,0.0434782608695652,0.0,0.0434782608695652,0.0434782608695652,605.0,0.0,605.0,605.0,46.0,0.0,46.0,46.0,30.75,0.5501196042201808,30.0,31.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,published_thresholds_on_raw_z,overall_qcfail_negative,high,20,0.0790773288834554,0.0016560722434235,0.0765556055921339,0.0814711359404096,0.0361271676300578,1.4238309865648918e-17,0.0361271676300578,0.0361271676300578,0.964163561586052,0.0008187732929908,0.9628774430539933,0.965322694038245,0.0495915185938282,0.000326724903361,0.0490832705472617,0.0500572082379862,0.8913516358924516,0.0007545339371235,0.8901664237123416,0.8924198250728858,0.0747964997964997,0.0015434344676159,0.0726851851851851,0.0769230769230769,0.0434782608695652,0.0,0.0434782608695652,0.0434782608695652,605.0,0.0,605.0,605.0,46.0,0.0,46.0,46.0,26.75,0.5501196042201808,26.0,27.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,published_thresholds_on_raw_z,qc_pass,low,20,0.0583636687595066,0.0014380165574034,0.0563128822998837,0.0610922933790487,0.0375114483042557,0.000803782723579,0.0363901018922852,0.039101280339598,0.9501320840336994,0.0012899567867808,0.9482792094988748,0.9524474982077228,0.0456588120163253,0.0007336780290961,0.0446793645915219,0.0473383428870276,0.8806686236138288,0.001974537847637,0.8779558056099146,0.8851333170254401,0.0650604838709676,0.0011672551060236,0.0634576612903225,0.0666666666666666,0.0511743626217309,0.0011337252429559,0.05,0.0533783783783783,500.8,2.8209740758897635,495.375,505.0,39.1,0.8522416262267902,37.475,40.0,30.75,0.5501196042201808,30.0,31.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,published_thresholds_on_raw_z,qc_pass,high,20,0.0687938246761406,0.0021593838050354,0.0653449128433089,0.0724937862468931,0.0375114483042557,0.000803782723579,0.0363901018922852,0.039101280339598,0.9581450554290508,0.001399095344513,0.9558226793925578,0.9605296021949872,0.0485339530516179,0.0008368500002898,0.0473100838064341,0.0504244728614357,0.8880715916503584,0.0019952567594892,0.8850619699934762,0.8925106001304628,0.0747964997964997,0.0015434344676159,0.0726851851851851,0.0769230769230769,0.0511743626217309,0.0011337252429559,0.05,0.0533783783783783,500.8,2.8209740758897635,495.375,505.0,39.1,0.8522416262267902,37.475,40.0,26.75,0.5501196042201808,26.0,27.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,published_thresholds_on_raw_z,overall,three_way,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8286116510096104,0.0046879491462824,0.8192413076341649,0.8355309901738475,0.1713883489903898,0.0046879491462824,0.1644690098261527,0.1807586923658352,0.1644155598747435,0.0048185737595719,0.1574395313681028,0.174083522297808,0.7927524025483211,0.0045613872711942,0.7830897041356226,0.7993793866753052,0.0358592484612892,0.0007545339371235,0.0347910592808552,0.0370444606413993,0.0790773288834554,0.0016560722434235,0.0765556055921339,0.0814711359404096,0.0361271676300578,1.4238309865648918e-17,0.0361271676300578,0.0361271676300578,0.9188057099251103,0.001497336109268,0.9166052510116448,0.9213926434764464,0.8204479768786127,0.0182301417579935,0.7871387283236995,0.8424855491329479,0.1795520231213872,0.0182301417579935,0.1575144508670519,0.2128612716763004,0.0678993838229142,0.0058114736790691,0.0596106548935807,0.0778714442723688,0.7903944624109488,0.0039429273499754,0.7827449791432322,0.796020077568429,108.2,2.7644357947251903,104.0,113.575,470.05,2.6847522673129647,464.425,474.0,26.75,0.5501196042201808,26.0,27.525
