target,variant,model,n_features,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
ANY,z_only,elastic,9,10,0.4854153342221603,0.03228478825859345,0.4292432186469242,0.5280775053741328,0.12297624347431282,0.010742558221436216,0.11234729450210251,0.14078695805486494,0.11151812342822834,0.007663257352821564,0.09719958695157481,0.11963162628591922,0.7424901185770754,0.15786392257663226,0.5290266798418974,0.9791749011857707,0.23182572209211583,0.15547136617014368,0.03015131001170979,0.487359118852459,0.19296363699999472,0.013265655475343032,0.1694456732380554,0.20696677160751434,0.4871579203345955,0.028616160468456775,0.4313589244758645,0.5122597902670877,-0.019530939181700506,0.04670637225953277,-0.10950963060403124,0.019877902372376795,0.29041896123528776,0.12090096541656847,0.1390415451895044,0.4924461451247167,0.10620422980811628,0.007404480761044294,0.09255538575252707,0.11307991776741777,0.7313432835820894,0.16455557620439032,0.5078358208955224,0.9783582089552239,0.1845588907437623,0.013613199213898615,0.1618450509085006,0.20042825945148754,0.288595041322314,0.1233401971199032,0.13557851239669422,0.4936776859504133,461.4,95.24844705645687,307.825,587.075,0.3579708490130438,0.07461392714666663,0.2565831824103852,0.457961632460348,0.20194484747859023
ANY,core,elastic,29,10,0.7839041878748925,0.02012085518848102,0.7478520687204367,0.8125094163027666,0.4353084819316799,0.04805810898415635,0.3657096591467298,0.508728751205107,0.39717944939680316,0.03492668698425611,0.33990815046944745,0.4492415078012229,0.4735177865612651,0.08583109093885291,0.3526432806324112,0.598987154150198,0.9044148858313813,0.02931685776583058,0.8489941634953155,0.935540471311475,0.426428413931061,0.03058303281634304,0.3773543504521864,0.459050025396259,0.6889663361963231,0.030377952811410217,0.6428959871399759,0.7289560431077072,0.3501392135044664,0.031244709585317897,0.304247046156061,0.38473318992932753,0.8549740848720442,0.017603750422233916,0.8203085519922255,0.874009556203434,0.3895057414483018,0.040895462243325804,0.32341764705882353,0.4485730211817168,0.4701492537313433,0.07044677740550398,0.3649253731343283,0.5753731343283582,0.42102291011833737,0.02515423838518696,0.3849134328358209,0.4549217267552182,0.8570247933884299,0.019761880368552014,0.8186363636363636,0.8776859504132232,82.5,20.172864061517007,59.575,119.825,0.6570796346180607,0.05027624706591745,0.5657424477432393,0.7216181393382652,0.46231350392014325
ANY,engineered,elastic,64,10,0.7429950493569748,0.022906437384124227,0.7036314688764587,0.7758058916357055,0.3869932671288845,0.043829060505194396,0.33501114483324934,0.45614387902857123,0.3735145710734931,0.05858321302785855,0.275321793314572,0.45706512592507587,0.4676877470355734,0.07591787188732974,0.3516551383399211,0.5891057312252969,0.8950545228337232,0.03269609217387329,0.8267216774004676,0.925042996194379,0.4116999301409316,0.053186156463657104,0.33739276491337294,0.47706463436787166,0.6813711349346482,0.0349285702962307,0.6296455397495855,0.7321233061864184,0.330099661810077,0.06171861291128381,0.24335399327004006,0.4065045268548447,0.8460187884677681,0.026745803090045952,0.7920031584062197,0.8742930029154519,0.36161685560772777,0.050071210974154186,0.27836287313432834,0.43213028169014084,0.453731343283582,0.06645097654552835,0.3649253731343283,0.5686567164179105,0.3986516521658904,0.040284817119776044,0.34792342634652823,0.4473409481699828,0.8477685950413223,0.025469209757575648,0.7953719008264463,0.8732644628099173,85.9,20.626035327549825,71.0,128.60000000000002,0.6599200831751355,0.046460422385189395,0.5771650009272924,0.7115559455505118,0.43710271773790577
ANY,longitudinal,elastic,157,10,0.7033821033333797,0.011576814101492151,0.6835325245967692,0.7193365189001982,0.3084854550369106,0.02409504197340795,0.28061059563115875,0.3475541317794239,0.2611465224509079,0.03560635040564685,0.21954214896050012,0.3171775520661118,0.4503952569169963,0.07537251052823214,0.3358942687747037,0.5847826086956526,0.8277956674473061,0.05550631710398615,0.7299125439110067,0.9018881733021074,0.325154039201901,0.018864947142265498,0.306545677217355,0.35518865332284055,0.6390954621821512,0.015541652552002789,0.6188706377538621,0.6612309586990653,0.22402263325203803,0.02383700746003395,0.1974596844378651,0.25876427166609384,0.784493035309362,0.04120000305212502,0.7132604470359574,0.8382729996760612,0.25727286041706876,0.035400847874605935,0.21429425837320573,0.3236889567147614,0.4522388059701492,0.0727967978545539,0.35335820895522385,0.5802238805970149,0.32233233228548375,0.009384921821636248,0.3125121045125623,0.33950760008563474,0.7882644628099174,0.04086394072810524,0.7171074380165289,0.8443388429752067,121.7,34.41592008875479,74.525,181.9,0.5750084470876443,0.07014872387672233,0.4646337083907518,0.6834062484785086,0.35128634792002567
ANY,no_maternal,elastic,149,10,0.6863995750014271,0.01979078463578966,0.6470027385501134,0.7111126171671307,0.32003643299438894,0.031163497547477326,0.2792133126557864,0.3550122893219636,0.2905538811369229,0.06906217464496618,0.20104533962657511,0.3929141181822777,0.4002964426877472,0.06126916059836585,0.3034090909090911,0.4849308300395259,0.8597689793130362,0.06103242401895001,0.7691974958528487,0.9335585297131143,0.3272345495543262,0.036773629474617466,0.2745005676324372,0.39032771388262244,0.6300327110003916,0.019295963238347234,0.6025723862681774,0.6631919952013192,0.2302678073196624,0.05014332281127977,0.15520800186666694,0.3116301609723375,0.8070494547025161,0.04858228124282208,0.7342226811359466,0.8638832199546487,0.2831063019936707,0.06691780672183358,0.20123287671232878,0.38571428571428573,0.3955223880597015,0.05897149050313283,0.3167910447761194,0.45932835820895523,0.32061458120497466,0.03244302473760867,0.2776659959758552,0.37041586243200564,0.8104132231404959,0.047145603407734334,0.7419834710743801,0.8668181818181818,100.7,35.34921026934925,57.125,149.1,0.6342071027408202,0.09753087566255891,0.49375618011970224,0.7710659544958605,0.3500447854851107
ANY,no_qc,elastic,87,10,0.6750827712599086,0.023943959795420057,0.6390708485693635,0.7073164893967069,0.2967526145202481,0.03463539665035914,0.24388225574058006,0.36011530706014283,0.251577775893601,0.051588031008919046,0.18053461478396257,0.3462362288135595,0.3689723320158104,0.07040154587911435,0.2702569169960476,0.4729001976284588,0.847151273419203,0.062413670814037044,0.7448738473360651,0.917203509221311,0.29196015973747824,0.03265582409183656,0.2524395059831831,0.3453980371560985,0.6080618027175068,0.0209905285209757,0.5819331236881656,0.6394281149985303,0.18668250119175073,0.04349676601028695,0.12539297855973597,0.2593494310937092,0.7922853903466149,0.048969100453138355,0.7099773242630386,0.8497534013605443,0.24253359980671915,0.049562804936703495,0.17849605971054025,0.33701562500000004,0.3626865671641791,0.07279679785455392,0.2720149253731343,0.45932835820895523,0.28346430515855936,0.03130701465934895,0.24989254108723136,0.34219728481967365,0.7950413223140496,0.0479117139444841,0.7177272727272728,0.8524380165289256,105.6,37.20573432505622,66.025,164.425,0.65082781339027,0.06508778326734227,0.5664153543450025,0.7440006031833204,0.3134714651665439
T13,z_only,extra_trees,9,10,0.36742894305971385,0.02999897383600987,0.3268733133810076,0.4145393228393242,0.03359022290850463,0.002705047547350311,0.030438884045014467,0.03821962726614356,0.03468590406674578,0.003465427860539737,0.029528386693004713,0.03973011207454269,0.5829729729729728,0.1680707836861285,0.3445270270270269,0.7567567567567566,0.2966390532544383,0.17267724622502723,0.08839644970414255,0.504293322062553,0.0652807073813265,0.007019385909772199,0.05439148626480437,0.07486211296965803,0.4398060131137056,0.023566990130659472,0.41589102373717785,0.48330141532064624,-0.061928933665796645,0.032310291548780144,-0.11251766150021104,-0.013846477145168646,0.3086507936507937,0.1586617615038797,0.11608681567865244,0.4975911078717201,0.03528655609335525,0.003427479756712359,0.028490941228457797,0.03952192925205587,0.6565217391304348,0.19384565887968355,0.3673913043478261,0.8695652173913043,0.06677886711879648,0.006925925292402708,0.05287859287859288,0.07416640996878941,0.3115702479338843,0.1631435567512059,0.11173553719008264,0.5005785123966943,423.7,107.38513242840774,296.05,554.4,0.13112865534223667,0.11306278693830435,0.005653938418208248,0.2939232953329264,0.06688488319473392
T13,core,extra_trees,29,10,0.8231436697052086,0.014539806449362258,0.7941833655083661,0.8362800792762334,0.2299883809835454,0.03031821295327951,0.1969619484545631,0.2811006770609256,0.23652517801218242,0.04761921306371181,0.16640657156954844,0.31761706238050663,0.4762162162162161,0.07894894323764592,0.3808783783783783,0.6083108108108106,0.9295519864750631,0.021205854455791272,0.8925342349957728,0.9578613693998309,0.3119742810066513,0.04383696777936691,0.23701507306125755,0.37442532205189294,0.7028841013456396,0.034805202650122276,0.650244299878915,0.7590941205364279,0.2918539885105407,0.046482817794724435,0.2075732654991194,0.3534956907465522,0.9105344995140914,0.018705327482021247,0.8775044541626176,0.9364686588921284,0.19851934174153038,0.033329551843121565,0.1467142857142857,0.2507142857142857,0.4217391304347826,0.07951227086576927,0.3141304347826087,0.5554347826086956,0.2666705872572453,0.03311615494189296,0.205796485260771,0.3093407707910751,0.9112396694214876,0.016657899021174583,0.8828925619834711,0.9331404958677686,50.1,12.591443302673623,35.0,72.075,0.25038392084132294,0.030413854097722542,0.1992799694824601,0.2878641126060971,0.32401387716016417
T13,engineered,extra_trees,64,10,0.8073571032571035,0.01199746266437768,0.7916080845003924,0.8271568892645819,0.18379777233100386,0.025852563379697314,0.1514658631298549,0.22646760276660677,0.1714099546791789,0.039149709082910676,0.10092473624131466,0.2281878010374905,0.4262162162162161,0.17713668290746123,0.1533783783783783,0.6477027027027026,0.9063601014370241,0.04336180080521109,0.8425240912933215,0.9651513102282332,0.23352852905586446,0.04745994137269532,0.13353862433647576,0.27231542166332673,0.6662881588266201,0.06922765185988684,0.5495251993328915,0.7541277672431514,0.21478418829122004,0.0609016974213796,0.09044997876102671,0.2776561631352721,0.8862180110139295,0.034854380621610274,0.8332090217039199,0.9343456430191125,0.14929810059447357,0.04495298071908955,0.08625,0.23519736842105265,0.3826086956521739,0.16371039126310655,0.15,0.6086956521739131,0.2037644785020074,0.04249759607336938,0.11566998892580288,0.2410212335692619,0.888595041322314,0.03506487764517956,0.8356611570247934,0.9402479338842975,62.0,28.015868519267592,24.05,102.875,0.2069919514334347,0.05260964283992639,0.13895971634763976,0.29616684818560357,0.24004332094579103
T13,longitudinal,extra_trees,157,10,0.8279022267406886,0.027718103274707844,0.7786126405991795,0.8544453439491903,0.20977727336248236,0.041678267202982885,0.15028768952637248,0.28287816831413065,0.21184121207205506,0.04949284481167858,0.13964232304389523,0.2891850536496901,0.4116216216216215,0.14746759860587855,0.2199324324324324,0.6458108108108106,0.9287151310228229,0.03416624338963112,0.8740169061707517,0.9641572273879966,0.27011821392637664,0.05585899009428107,0.18699980205896027,0.34917249177631565,0.6701683763222224,0.06209779684157643,0.58714394233625,0.7687382456420915,0.24696952971782066,0.06491988503595411,0.1515934446994557,0.3371636021307571,0.9070229996760609,0.028437874335239886,0.8575898931000973,0.9362872529964368,0.20735761939365097,0.041704057850806296,0.1429609634551495,0.25,0.42608695652173917,0.11915828864402588,0.27065217391304347,0.5989130434782609,0.26993933698263434,0.038328814527379046,0.20716840304773754,0.3174139492753623,0.9110743801652893,0.029110520144955073,0.8609917355371901,0.9388429752066115,50.4,22.16202959016966,28.0,85.55,0.1876461665681919,0.039179998715524834,0.13032641311926052,0.25169609073311644,0.27713119373905465
