target,model,feature,importance
ANY,elastic,x_concentration,0.6253519362008776
ANY,elastic,gcdev21,0.28354036506728136
ANY,elastic,zx,0.027925857680705917
ANY,elastic,z13,0.0
ANY,elastic,z21,0.0
ANY,elastic,gc13,0.0
ANY,elastic,gc18,0.0
ANY,elastic,gc21,0.0
ANY,elastic,z18,0.0
ANY,elastic,draw,0.0
ANY,elastic,age,0.0
ANY,elastic,height,0.0
ANY,elastic,weight,0.0
ANY,elastic,bmi,0.0
ANY,elastic,gravidity,0.0
ANY,elastic,parity,0.0
ANY,elastic,ga,0.0
ANY,elastic,ivf,0.0
ANY,elastic,iui,0.0
ANY,elastic,log_unique_reads,0.0
ANY,elastic,log_raw_reads,0.0
ANY,elastic,map_rate,0.0
ANY,elastic,duplicate_rate,0.0
ANY,elastic,filter_rate,0.0
ANY,elastic,unique_ratio,0.0
ANY,elastic,gc,0.0
ANY,elastic,gc_abs_dev,0.0
ANY,elastic,gcdev13,0.0
ANY,elastic,gcdev18,0.0
ANY,elastic,absz13,0.0
ANY,elastic,sqz13,0.0
ANY,elastic,pos13_1,0.0
ANY,elastic,neg13_1,0.0
ANY,elastic,pos13_2,0.0
ANY,elastic,neg13_2,0.0
ANY,elastic,pos13_3,0.0
ANY,elastic,neg13_3,0.0
ANY,elastic,absz18,0.0
ANY,elastic,sqz18,0.0
ANY,elastic,pos18_1,0.0
ANY,elastic,neg18_1,0.0
ANY,elastic,pos18_2,0.0
ANY,elastic,neg18_2,0.0
ANY,elastic,pos18_3,0.0
ANY,elastic,neg18_3,0.0
ANY,elastic,absz21,0.0
ANY,elastic,sqz21,0.0
ANY,elastic,pos21_1,0.0
ANY,elastic,neg21_1,0.0
ANY,elastic,pos21_2,0.0
ANY,elastic,neg21_2,0.0
ANY,elastic,pos21_3,0.0
ANY,elastic,neg21_3,0.0
ANY,elastic,zprod13_18,0.0
ANY,elastic,zdiff13_18,0.0
ANY,elastic,zprod13_21,0.0
ANY,elastic,zdiff13_21,0.0
ANY,elastic,zprod18_21,0.0
ANY,elastic,zdiff18_21,0.0
ANY,elastic,max_abs_z,0.0
ANY,elastic,mean_abs_z,0.0
ANY,elastic,std_z,0.0
ANY,elastic,n_abs_z_ge_2,0.0
ANY,elastic,n_abs_z_ge_3,0.0
ANY,elastic,missing__bmi,0.0
T13,extra_trees,gcdev21,0.10275709966602871
T13,extra_trees,z21__cummax,0.050397070923355825
T13,extra_trees,x_concentration,0.04966646998398452
T13,extra_trees,gcdev18,0.03433963953271967
T13,extra_trees,gc18__cummean,0.03163604906779079
T13,extra_trees,gc13__cummean,0.03008163036337039
T13,extra_trees,gc13,0.02904848489685897
T13,extra_trees,x_concentration__cummin,0.024798092856550293
T13,extra_trees,gc18,0.022747254745186466
T13,extra_trees,x_concentration__cummean,0.02230251003016885
T13,extra_trees,gc21__cummean,0.021576612792483595
T13,extra_trees,gc21,0.020956019934879336
T13,extra_trees,gc13__cummin,0.017346297742506595
T13,extra_trees,parity,0.015551613683280086
T13,extra_trees,z21__previous,0.01498858045805058
T13,extra_trees,gc18__cummin,0.013804418900368843
T13,extra_trees,gcdev13,0.013128144059611624
T13,extra_trees,z21__cummean,0.01230151354891767
T13,extra_trees,pos21_1,0.011007727801867923
T13,extra_trees,gc21__from_first,0.010895514123252657
T13,extra_trees,gc18__cummax,0.010348579060153282
T13,extra_trees,zx__cummax,0.010288931420175377
T13,extra_trees,gc21__cummin,0.009663425976097897
T13,extra_trees,ga_since_first,0.00958132151220822
T13,extra_trees,gc13__cummax,0.00869545884837731
T13,extra_trees,log_unique_reads__cumstd,0.008617671358323397
T13,extra_trees,x_concentration__from_first,0.008150222115356551
T13,extra_trees,z21,0.007771083998455823
T13,extra_trees,absz18,0.0076435597430639405
T13,extra_trees,bmi,0.007525060826880024
T13,extra_trees,log_unique_reads__cummax,0.007512095913066891
T13,extra_trees,gc13__from_first,0.0074961552491708125
T13,extra_trees,gc18__delta,0.007397608507949667
T13,extra_trees,z13__delta,0.007161785252668669
T13,extra_trees,x_concentration__delta,0.00711956740445669
T13,extra_trees,z13__from_first,0.006799514696891043
T13,extra_trees,zx,0.00670669972218839
T13,extra_trees,duplicate_rate__from_first,0.006394611454402558
T13,extra_trees,age,0.006359386742336207
T13,extra_trees,zdiff13_21,0.006341708835056737
T13,extra_trees,z18__from_first,0.006305341967571685
T13,extra_trees,log_unique_reads__delta,0.00626665584871027
T13,extra_trees,x_concentration__cummax,0.006120974163500126
T13,extra_trees,gc13__cumstd,0.0058353674109729425
T13,extra_trees,neg13_1,0.0058055437900192955
T13,extra_trees,gc18__previous,0.005722271282087293
T13,extra_trees,ga,0.0053386830118095615
T13,extra_trees,gc,0.005255116065983565
T13,extra_trees,sqz18,0.005183534665640111
T13,extra_trees,z18__cumstd,0.005138931420975071
T13,extra_trees,gc21__cummax,0.00504382789431537
T13,extra_trees,zx__cumstd,0.004930479702490314
T13,extra_trees,zx__cummean,0.004928693191789578
T13,extra_trees,sqz21,0.004893213809871444
T13,extra_trees,zx__previous,0.004839642121517796
T13,extra_trees,z18__cummin,0.004751409604317195
T13,extra_trees,z21__cummin,0.00468262307032561
T13,extra_trees,z13__cummax,0.004605336348804818
T13,extra_trees,z21__delta,0.0045846191556916825
T13,extra_trees,gc__cummean,0.004581657720625655
T13,extra_trees,gc21__delta,0.004410968918372887
T13,extra_trees,neg13_2,0.004253088428186899
T13,extra_trees,weight,0.004171735496958884
T13,extra_trees,z18,0.004081888532851805
T13,extra_trees,gc18__from_first,0.004057508059689543
T13,extra_trees,gc_abs_dev,0.004004813054244595
T13,extra_trees,z13__previous,0.0039279054179796906
T13,extra_trees,draw,0.003922006530098388
T13,extra_trees,gc13__delta,0.003784639547889468
T13,extra_trees,log_unique_reads__cummean,0.00371949356054693
T13,extra_trees,gc21__previous,0.003705967050157852
T13,extra_trees,zprod13_18,0.003705841449828855
T13,extra_trees,filter_rate,0.0036583609158924047
T13,extra_trees,z13,0.003614304337832902
T13,extra_trees,gc13__previous,0.0036095066228237654
T13,extra_trees,filter_rate__previous,0.003575443882594147
T13,extra_trees,z21__from_first,0.0034729268103215532
T13,extra_trees,gc__from_first,0.003396514955521947
T13,extra_trees,zprod13_21,0.003363737847189146
T13,extra_trees,log_unique_reads__from_first,0.003362838172585697
T13,extra_trees,zdiff18_21,0.003357669578799052
T13,extra_trees,z18__cummax,0.0032769295153360096
T13,extra_trees,absz21,0.0030490964607784565
T13,extra_trees,z13__cummin,0.0029952488630857615
T13,extra_trees,log_unique_reads__previous,0.002925404459489819
T13,extra_trees,z18__previous,0.00288645242391567
T13,extra_trees,filter_rate__delta,0.0028462789945986606
T13,extra_trees,gc18__cumstd,0.0028161381376774156
T13,extra_trees,x_concentration__previous,0.002797208226357047
T13,extra_trees,duplicate_rate__cummin,0.002716070552001951
T13,extra_trees,log_unique_reads__cummin,0.0025945873320660623
T13,extra_trees,x_concentration__cumstd,0.00258425919267721
T13,extra_trees,z18__delta,0.002497881055074113
T13,extra_trees,duplicate_rate,0.0024359476590525998
T13,extra_trees,duplicate_rate__previous,0.0024181171447302404
T13,extra_trees,log_raw_reads,0.0024090103318490505
T13,extra_trees,duplicate_rate__cumstd,0.0023927251663194747
T13,extra_trees,z13__cumstd,0.002378749575331647
T13,extra_trees,filter_rate__cummin,0.0023655745797708243
T13,extra_trees,z21__cumstd,0.0023473066865005365
T13,extra_trees,gc__cummin,0.0022999643083522316
T13,extra_trees,height,0.0021955194815680853
T13,extra_trees,gravidity,0.0021885052607357913
T13,extra_trees,prior_n,0.0021515141934241523
T13,extra_trees,pos18_1,0.002013880682755508
T13,extra_trees,gc__delta,0.0019241774671972867
T13,extra_trees,map_rate__cummin,0.0018336418724835919
T13,extra_trees,map_rate__cummean,0.001796524082861592
T13,extra_trees,gc21__cumstd,0.0017644601340153373
T13,extra_trees,zx__cummin,0.0017547088734134863
T13,extra_trees,map_rate__from_first,0.001753279921702209
T13,extra_trees,map_rate__previous,0.001717773913157749
T13,extra_trees,duplicate_rate__cummax,0.0017091155921186661
T13,extra_trees,filter_rate__cummax,0.0015399072804383638
T13,extra_trees,gc__cumstd,0.0015349807826599028
T13,extra_trees,duplicate_rate__delta,0.0015309423467482065
T13,extra_trees,duplicate_rate__cummean,0.0015252611892260374
T13,extra_trees,map_rate__cumstd,0.0015124105700720215
T13,extra_trees,std_z,0.0014679939987196802
T13,extra_trees,z18__cummean,0.0013941920590713136
T13,extra_trees,log_unique_reads,0.0013727676713390122
T13,extra_trees,gc__cummax,0.0013703165823887094
T13,extra_trees,zx__delta,0.0013236740445319885
T13,extra_trees,filter_rate__cummean,0.0013222024898690236
T13,extra_trees,max_abs_z,0.0013040026889248307
T13,extra_trees,map_rate__delta,0.0012733817919089807
T13,extra_trees,z13__cummean,0.001245480075235818
T13,extra_trees,filter_rate__cumstd,0.001039416825912951
T13,extra_trees,neg21_1,0.0009473218091160198
T13,extra_trees,unique_ratio,0.0009411892459155916
T13,extra_trees,zprod18_21,0.0009379542983398669
T13,extra_trees,absz13,0.0008955868999544952
T13,extra_trees,mean_abs_z,0.0008586994952663351
T13,extra_trees,filter_rate__from_first,0.0008395249612648002
T13,extra_trees,neg21_2,0.0007895182054236528
T13,extra_trees,map_rate__cummax,0.0007872456792756292
T13,extra_trees,pos13_1,0.0007361052227649634
T13,extra_trees,zx__from_first,0.0006557965472090232
T13,extra_trees,neg21_3,0.0006285971394382416
T13,extra_trees,neg18_1,0.0005399432535509811
T13,extra_trees,zdiff13_18,0.0004433695772302256
T13,extra_trees,n_abs_z_ge_3,0.0003579933526829993
T13,extra_trees,n_abs_z_ge_2,0.0003164665647874854
T13,extra_trees,missing__map_rate__delta,0.000311052122848426
T13,extra_trees,map_rate,0.00029874686409936765
T13,extra_trees,gc__previous,0.0002498228762949796
T13,extra_trees,pos18_2,0.00022628141831947327
T13,extra_trees,sqz13,0.00018992421874525374
T13,extra_trees,missing__gc18__delta,0.00018812873333828295
T13,extra_trees,missing__x_concentration__delta,0.00018465002616497434
T13,extra_trees,missing__z21__previous,0.00017196685163170045
T13,extra_trees,pos21_2,3.4856932993369926e-05
T13,extra_trees,missing__zx__delta,1.4667473184234977e-16
T13,extra_trees,missing__z18__previous,9.039302521325054e-18
T13,extra_trees,missing__z13__delta,8.648299776903836e-18
T13,extra_trees,missing__duplicate_rate__delta,5.267422898875049e-18
T13,extra_trees,missing__gc13__delta,5.042935516930269e-18
T13,extra_trees,missing__filter_rate__previous,2.3478455875150533e-18
T13,extra_trees,missing__gc18__previous,1.7592232930591467e-18
T13,extra_trees,missing__x_concentration__previous,1.6451713487212279e-18
T13,extra_trees,pos13_2,1.2973027301720006e-18
T13,extra_trees,missing__gc__previous,9.354821946373428e-19
T13,extra_trees,missing__log_unique_reads__previous,8.051507342570042e-19
T13,extra_trees,missing__log_unique_reads__delta,2.8125978353654356e-19
T13,extra_trees,pos13_3,0.0
T13,extra_trees,neg13_3,0.0
T13,extra_trees,ivf,0.0
T13,extra_trees,iui,0.0
T13,extra_trees,pos21_3,0.0
T13,extra_trees,neg18_2,0.0
T13,extra_trees,pos18_3,0.0
T13,extra_trees,neg18_3,0.0
T13,extra_trees,missing__bmi,0.0
T13,extra_trees,missing__z21__delta,0.0
T13,extra_trees,missing__z18__delta,0.0
T13,extra_trees,missing__z13__previous,0.0
T13,extra_trees,missing__zx__previous,0.0
T13,extra_trees,missing__filter_rate__delta,0.0
T13,extra_trees,missing__map_rate__previous,0.0
T13,extra_trees,missing__duplicate_rate__previous,0.0
T13,extra_trees,missing__gc__delta,0.0
T13,extra_trees,missing__gc13__previous,0.0
T13,extra_trees,missing__gc21__delta,0.0
T13,extra_trees,missing__gc21__previous,0.0
T18,elastic,x_concentration,1.0999464411948183
T18,elastic,gcdev21,0.6099733326620107
T18,elastic,zx,0.45068525573941687
T18,elastic,z18,0.4013728347816595
T18,elastic,gc21,0.4004250609346917
T18,elastic,gc13,0.3954597204173469
T18,elastic,neg18_1,0.320365665283642
T18,elastic,age,0.3046034110159967
T18,elastic,ga,0.2929932015433188
T18,elastic,gcdev13,0.256471527304929
T18,elastic,pos18_3,0.24632244997655234
T18,elastic,filter_rate,0.2313745166402287
T18,elastic,max_abs_z,0.22349105133095656
T18,elastic,neg21_2,0.21782019623600418
T18,elastic,map_rate,0.20887788749815409
T18,elastic,weight,0.16939956597383934
T18,elastic,draw,0.1685756752710659
T18,elastic,zdiff18_21,0.16406107167565784
T18,elastic,zdiff13_18,0.1340326810241552
T18,elastic,neg13_2,0.12326742297511485
T18,elastic,unique_ratio,0.1098738485887308
T18,elastic,z13,0.10717438231974599
T18,elastic,pos18_1,0.1048324988312596
T18,elastic,ivf,0.0840388606009554
T18,elastic,gc_abs_dev,0.08185825068404179
T18,elastic,gc,0.08185825068403367
T18,elastic,pos13_2,0.08107460143075985
T18,elastic,bmi,0.07857817126268424
T18,elastic,gc18,0.07128184361225837
T18,elastic,gravidity,0.0663211730592495
T18,elastic,sqz18,0.055418051896896185
T18,elastic,zprod13_21,0.05211953259814053
T18,elastic,height,0.03761248191689273
T18,elastic,log_raw_reads,0.035031939626634444
T18,elastic,neg21_1,0.03408348934508736
T18,elastic,absz13,0.03064066293779831
T18,elastic,z21,0.005369575405387498
T18,elastic,pos18_2,0.004966313718335259
T18,elastic,parity,1.868384136783591e-05
T18,elastic,duplicate_rate,0.0
T18,elastic,iui,0.0
T18,elastic,neg13_1,0.0
T18,elastic,pos13_1,0.0
