target,candidate_id,track,feature_set,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold
ANY,record|engineered|elastic,record,engineered,elastic,64,0.7609467578075584,0.4465163104725758,0.5025778117242696,0.37154150197628477,0.9523382611241215,0.9212077234837084,0.4272380488596706,0.661939881550203,0.3704801732192143,0.8856980887593134,0.16558349546330087,0.5376516284499628,0.46938775510204084,0.34328358208955223,0.39655172413793105,0.8842975206611571,49,605,67,20260824,0.7801390701426235,0.10237146021346545
ANY,record|engineered|elastic,record,engineered,elastic,64,0.7572545426293534,0.3401041361329354,0.3545084223274253,0.45454545454545475,0.8927290690866505,0.9266194428091228,0.39834230222057315,0.6736372618160525,0.3124556695677086,0.8424522189828314,0.17754252817918456,0.5605188901251732,0.3411764705882353,0.43283582089552236,0.3815789473684211,0.8446280991735537,85,605,67,20360827,0.623910647837579,0.13549318837459468
ANY,record|engineered|elastic,record,engineered,elastic,64,0.7520493852266172,0.3517376130157237,0.4013868844380309,0.5365612648221347,0.896284640905542,0.9371919061800509,0.45923360383399503,0.7164229528638382,0.3828216860174786,0.8550102580714827,0.17902021815004585,0.554492684648833,0.38202247191011235,0.5074626865671642,0.4358974358974359,0.8545454545454545,89,605,67,20460830,0.6147176159541783,0.07905209172470666
ANY,record|engineered|lightgbm,record,engineered,lightgbm,64,0.7508079579491844,0.3352127764432703,0.289815349105598,0.5671936758893283,0.8198550936768143,0.9359595622023558,0.3836165743746427,0.6935243847830712,0.29561106478047844,0.7908649173955298,0.12115986941893273,0.3933805394949517,0.2868217054263566,0.5522388059701493,0.37755102040816324,0.7983471074380165,129,605,67,20260824,0.38028359083877994,0.09703675585005259
ANY,record|engineered|lightgbm,record,engineered,lightgbm,64,0.7459146986262433,0.3587838382733474,0.22617124394184226,0.41501976284585007,0.8159579918032781,0.9149791756426823,0.29278494248867254,0.6154888773245639,0.18056192008121702,0.7699546485260773,0.11199166175015035,0.36351522516676216,0.2230769230769231,0.43283582089552236,0.29441624365482233,0.7702479338842976,130,605,67,20360827,0.3918903504920048,0.20985008409732053
ANY,record|engineered|lightgbm,record,engineered,lightgbm,64,0.7487903018963697,0.38267508979558085,0.2708315886441677,0.45652173913043503,0.8406945257611235,0.922689210626719,0.3399737187910649,0.6486081324457791,0.23982812416003652,0.7966148364107548,0.12068996069791953,0.39184354590159487,0.2807017543859649,0.47761194029850745,0.35359116022099446,0.8066115702479338,114,605,67,20460830,0.46293997792007124,0.22897533147002355
ANY,record|engineered|lda,record,engineered,lda,64,0.7770040218490526,0.4458116531547175,0.4147410830667145,0.4940711462450596,0.9096348067915686,0.932759235286392,0.450943760870966,0.7018529765183139,0.37455032666021315,0.8619533527696795,0.08208967975128778,0.33998266586650977,0.40789473684210525,0.4626865671641791,0.43356643356643354,0.8661157024793389,76,605,67,20260824,0.22507592380317637,0.08452282456114178
ANY,record|engineered|lda,record,engineered,lda,64,0.7651004411253098,0.36581152584816246,0.38360155382907907,0.39031620553359697,0.9187097482435592,0.9207987970366018,0.38692975090959997,0.654512976888578,0.30670443224115207,0.8580822805312602,0.08977778551351004,0.43343271348371953,0.35294117647058826,0.3582089552238806,0.35555555555555557,0.856198347107438,68,605,67,20360827,0.2746961245754709,0.08530244408771634
ANY,record|engineered|lda,record,engineered,lda,64,0.7181140485234948,0.31626966092083797,0.27959398892697085,0.29940711462450603,0.9000109777517559,0.9083539535399043,0.2891615541922291,0.5997090461881309,0.1935980892281417,0.8310981535471331,0.0956079341967636,0.4064673453738619,0.2916666666666667,0.31343283582089554,0.302158273381295,0.8396694214876033,72,605,67,20460830,0.25066550223006595,0.09691756132412899
T13,record|longitudinal|extra_trees,record,longitudinal,extra_trees,157,0.7807037993191844,0.12641919775799793,0.11354345245944886,0.3324324324324324,0.8863567202028734,0.968074302490906,0.16927160129755245,0.6093945763176529,0.13363038369167365,0.8631195335276969,0.05917773293895399,0.22312366773701503,0.125,0.391304347826087,0.18947368421052632,0.8727272727272727,72,605,23,20260824,0.33824277812197895,0.13851878102251927
