target,candidate_id,track,feature_set,model,n_features,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
ANY,record|engineered|elastic,record,engineered,elastic,64,3,0.7567502285545097,0.004470073738271545,0.7523096430967541,0.7607621470486481,0.3794526865404116,0.05836935572097442,0.3406858099770748,0.4417773755997332,0.41949103949657524,0.07567665651887934,0.3568523454329556,0.4975182653599577,0.4542160737812914,0.08251037450642792,0.37569169960474325,0.5324604743083007,0.9137839903721047,0.03343627323214545,0.8929068476775951,0.9495355801131925,0.42827131830474624,0.0304587981928666,0.399787089552528,0.4576338260852788,0.6840000320766979,0.028681727990967538,0.6625247505634955,0.7142836683114488,0.35525250960146715,0.037573333259025225,0.3153568947502839,0.3822046103775654,0.8610535219378758,0.022247294033213353,0.8430801209372639,0.8841636972249219,0.3975288992001295,0.06549710172706454,0.34321877065432915,0.46501949094244444,0.427860696517413,0.08220254548188213,0.34776119402985073,0.5037313432835822,0.40467603580126266,0.02805579938304002,0.38232758620689655,0.43393015030946064,0.8611570247933885,0.020644621482308778,0.8451239669421488,0.882809917355372,74.33333333333333,22.03028218914441,50.8,88.8,0.6729224446447937,0.09296602361163318,0.6151772675483483,0.7723276490273713,0.45860188741057073
ANY,record|engineered|lda,record,engineered,lda,64,3,0.7534061704992858,0.031137986667047764,0.7204633681535856,0.7764088428128655,0.3759642799745726,0.06536505756322816,0.3187467541672042,0.4418116467893897,0.35931220860758817,0.07077191167455317,0.28479436717207623,0.4131841066048327,0.39459815546772087,0.09740263149997913,0.3039525691699606,0.4888833992094865,0.9094518442622945,0.009350727829512668,0.9004921692037465,0.9182560011709597,0.375678355324265,0.08147586161817287,0.29404996402809763,0.4477430603728977,0.6520249998650076,0.05111739574818615,0.6024492427231533,0.6994859765368271,0.291617616043169,0.09141464365823446,0.1992534063787922,0.3711580319392601,0.8503779289493577,0.01680858723209453,0.8324473598963394,0.8617597991577586,0.3508341933264534,0.05814267458290786,0.29473039215686275,0.4051470588235294,0.3781094527363184,0.07659106626040126,0.3156716417910448,0.45746268656716416,0.36376008750109473,0.06608715381331524,0.304828137490008,0.42966588966588964,0.8539944903581267,0.013360171518437667,0.840495867768595,0.8656198347107439,72.0,4.0,68.2,75.8,0.2501458502029044,0.02481418162750293,0.22635540272452084,0.27349459345820065,0.3929058179171791
ANY,record|engineered|lightgbm,record,engineered,lightgbm,64,3,0.7485043194905993,0.0024591332116612537,0.7460584787897496,0.7507070751465437,0.35889056817073284,0.023731336680462733,0.33639132953477413,0.3814805272194692,0.26227272723053596,0.03267389802345466,0.22840426117695853,0.28886616108252644,0.47957839262187113,0.07866340893585236,0.4170948616600793,0.5616600790513837,0.8255025370804053,0.013300159427972347,0.8161528468969549,0.839652554156908,0.33879174521812677,0.045427350064828134,0.29514438130379217,0.3814344315954638,0.652540464851138,0.039166089091028276,0.6171448400806246,0.6912785721662066,0.23866703634057732,0.057533360041816355,0.183525230285158,0.2928219177494563,0.7858114674441206,0.014030125509778023,0.7710001619695499,0.7963273404599935,0.26353346096308156,0.03516976035580606,0.22595816464237517,0.286515707874337,0.48756218905472637,0.06032017737802063,0.4350746268656716,0.5485074626865672,0.34185280809466007,0.04279239955223735,0.29737498948313096,0.3763530273988048,0.7917355371900827,0.019062086933340106,0.7716528925619835,0.806198347107438,124.33333333333333,8.962886439832502,114.75,129.95,0.4117046397502853,0.04474901256386751,0.38086392882144116,0.4593874965486679,0.363323964518993
T13,record|longitudinal|extra_trees,record,longitudinal,extra_trees,157,3,0.8096794782948633,0.03601842413920102,0.7815850441311984,0.8474220777836164,0.16695331081336998,0.03915380341428998,0.12859213516585283,0.20282854662442018,0.18157081259103228,0.0629999136029908,0.11752948719892012,0.23567280352397899,0.39099099099099094,0.06409072580840502,0.33486486486486483,0.4555405405405404,0.9174189912651447,0.027026412762380707,0.8885562130177508,0.9352933220625526,0.2464076801695582,0.07263211687082011,0.17363119909417932,0.3106366657434854,0.6542049911280678,0.044075369822921984,0.6117105389413079,0.6954169313015465,0.2168359543945438,0.0787561698563353,0.13828165153022004,0.28704343910101887,0.8953352769679301,0.02820489856378402,0.8653287981859411,0.9151676384839651,0.19302721088435373,0.06322895049326974,0.12895408163265307,0.24770408163265306,0.4492753623188406,0.06641414050660636,0.3934782608695652,0.5173913043478261,0.2684265436674629,0.0747174204811173,0.1938888888888889,0.33501564945226914,0.903030303030303,0.026566531022019196,0.8747933884297521,0.921900826446281,56.333333333333336,13.576941236277534,48.05,70.85,0.3333263816789351,0.007153791011780035,0.32569427841532084,0.33816148755775577,0.24494498203319018
T13,record|engineered|lightgbm,record,engineered,lightgbm,64,3,0.7867038145499688,0.024290578586947848,0.7662455164378247,0.8115934043087892,0.18071441899872032,0.0339436324318718,0.15255952115522733,0.21568741377893064,0.1411095649950578,0.030841143635074876,0.11294673150443085,0.17139998447057742,0.5603603603603603,0.07936625041166491,0.5063513513513512,0.6449999999999998,0.8419216680755136,0.061335998337208986,0.7774260355029581,0.8889526627218929,0.22279974732593555,0.035173407158436164,0.19189631983302477,0.25816522695631183,0.7011410142179372,0.015092518653529384,0.6851067830298597,0.7119099746407437,0.21744287502931547,0.028091523332882878,0.19817276823884555,0.24738572592135769,0.8301101392938129,0.05564556462672894,0.7718310657596374,0.8736167800453516,0.11905181638800744,0.023637920122438663,0.09934379001280409,0.14336297760210803,0.49275362318840576,0.10040874246776103,0.43478260869565216,0.6,0.18908948474165865,0.025064300713841105,0.17022113022113022,0.21553074813944378,0.8347107438016529,0.05524223129609394,0.7773553719008264,0.8794214876033059,99.66666666666667,37.872593432894625,69.95,139.3,0.2559130175641922,0.08459838905901945,0.19142914523396154,0.3449674453890465,0.23207783743619853
T13,record|longitudinal|elastic,record,longitudinal,elastic,157,3,0.7187857358626593,0.019978981514031092,0.7018757404065104,0.7392183013106092,0.16710119088960776,0.009913504283945879,0.15701096180992827,0.17558964084023293,0.1595291909522837,0.049927330836761236,0.1062045020988648,0.19246964956195237,0.19819819819819814,0.020285279728284134,0.18648648648648644,0.21986486486486478,0.9504311073541839,0.019356074167286057,0.9297759932375314,0.963455621301775,0.17442038241204663,0.03826234613320855,0.13463531145020097,0.20522417252600866,0.5743146527761911,0.01659491259572142,0.5582377487377485,0.5897430833200062,0.13497752131067806,0.04324081587568556,0.08959149177671161,0.16844004775380828,0.9188748515279128,0.018901952859298108,0.8986686103012635,0.93093537414966,0.18265202946699408,0.057501639166786,0.12117940199335547,0.2172360248447205,0.2318840579710145,0.02510218561694025,0.21739130434782608,0.25869565217391305,0.20140019117001215,0.044119333256884774,0.15480895915678525,0.2343989769820972,0.9278236914600551,0.01782775723125446,0.9088429752066116,0.9402479338842975,31.333333333333332,10.408329997330664,23.25,42.25,0.6372514098471731,0.08725973726679302,0.543984322911064,0.689086050030863,0.18156491496770527
T18,record|engineered|elastic,record,engineered,elastic,64,3,0.7961063071370056,0.02391198155540667,0.770878999844357,0.8140999271598008,0.4255823220723842,0.07709800683256784,0.3765262352716759,0.5080039260241399,0.41574125434335835,0.08927076378229985,0.3317771399840784,0.5013612969634585,0.4446050096339114,0.04552214266409159,0.40115606936416187,0.4876445086705203,0.944448350206224,0.019640266609035187,0.9236598354893134,0.9589074803149603,0.4270990794080099,0.06290421878705295,0.3787619734187592,0.4932165397594111,0.6945266799200676,0.026353066895515826,0.6757823548451853,0.7225329721361597,0.37750254269095934,0.07030364661740542,0.32178327483768526,0.4509013672454452,0.9052316164561064,0.01906498567033895,0.8859305150631682,0.9217517006802722,0.41613756613756614,0.0633148983261143,0.3536111111111111,0.47349206349206346,0.43478260869565216,0.021739130434782594,0.4141304347826087,0.45543478260869563,0.4227847624074039,0.029505522947131782,0.39729421521874353,0.4526973026973027,0.9090909090909091,0.013529508713838751,0.8951239669421487,0.9202479338842975,49.0,9.643650760992955,42.15,59.25,0.7514425595928746,0.012908581032569396,0.7393191791660666,0.7638397547350123,0.45393125691848507
T18,record|longitudinal|elastic,record,longitudinal,elastic,157,3,0.7771810936476152,0.0376058674766392,0.7430401335817943,0.8142639602649924,0.34230261245115057,0.02438377289913066,0.3214160679250748,0.3671170155953615,0.3255763722174097,0.037493006116323696,0.2984750209488447,0.3653527248785006,0.44894026974951834,0.1443448011149653,0.30361271676300583,0.5754335260115607,0.9175454630671162,0.03495049776088488,0.891015185601799,0.9543641029246342,0.3657421654690351,0.03869916288274302,0.3293226827366845,0.4028393863392704,0.6832428664083173,0.055033491387674924,0.62898840984382,0.73322435580668,0.314722479879209,0.04009416448958181,0.28039532837484293,0.35553319281483614,0.8807796134326749,0.02113735100310215,0.8662552640103662,0.9033074182053775,0.32661375661375663,0.05397440052143804,0.29354761904761906,0.38432539682539685,0.4420289855072464,0.12361392832776795,0.3130434782608696,0.5402173913043478,0.36323838762863153,0.021578737613504408,0.3425720620842572,0.3835664335664336,0.8837465564738292,0.023511392058789965,0.8680165289256199,0.9088429752066116,65.0,25.514701644346147,37.95,83.55,0.670249213996089,0.12117800910691433,0.5821296143756987,0.7987154439336879,0.3902976359934644
T18,record|longitudinal|lightgbm,record,longitudinal,lightgbm,157,3,0.7461992704759454,0.016234556825857924,0.7366517735228912,0.7635478525297691,0.3313027804341253,0.01796924217975846,0.3170683270831037,0.3500654143585583,0.3085048947425401,0.02649241564394111,0.2830752611139199,0.3334002228601647,0.3872832369942197,0.030756931580625407,0.3609104046242775,0.41856936416184976,0.9250738188976374,0.015328657967733568,0.909645669291338,0.9385150098425192,0.341904827260396,0.004714075060989182,0.33759806513302215,0.3465331505151221,0.6561785279459285,0.007721488748523644,0.6497127072333984,0.6641075167265938,0.2818026774400996,0.007002197487581377,0.2755818135438134,0.28880066213120237,0.8828798185941045,0.011714273423906891,0.8711167800453516,0.8931972789115648,0.31629318394024275,0.02010588635167959,0.29548319327731093,0.3327380952380952,0.39855072463768115,0.03320707025330319,0.37065217391304345,0.4326086956521739,0.3514446111235234,0.0013086225038682559,0.3505335503707723,0.35283797729618166,0.8881542699724517,0.00939874496376417,0.8783471074380166,0.8956198347107438,58.333333333333336,8.736894948054106,51.25,67.4,0.4187870498367598,0.0743988763657693,0.3572310154254209,0.49550726544331597,0.37385658653856124
T21,record|engineered|lda,record,engineered,lda,64,3,0.45703070749528546,0.03906215665159285,0.41533426959634234,0.48315288213620877,0.1894538890705283,0.0025247054629285253,0.18678122475804512,0.19131075285453514,0.023065008118057964,0.00019730374843264032,0.02285516149952778,0.02320418571101142,0.4523809523809523,0.041239304942116126,0.4083333333333332,0.4761904761904761,0.532481610530391,0.04515520186442202,0.5034359272164153,0.5807452574525744,0.04387877438848082,0.0002811122737126817,0.04360424162388913,0.04413747488577722,0.4924312814556718,0.0025411250777938933,0.4898132017034458,0.4945392953929539,-0.004631969172291451,0.0015289955971517209,-0.0062123260943386625,-0.003375851339332377,0.5305744520030236,0.04310101965908419,0.5027872260015117,0.5766402116402117,0.020031909874520613,0.00014996193013754963,0.019877516667035817,0.020156570288056962,0.4358974358974359,0.04441155916843275,0.38846153846153847,0.46153846153846156,0.03829031760066243,0.0001843120066021388,0.03810618500273673,0.03845417035072208,0.5294765840220386,0.04825578245652341,0.4994214876033058,0.5810743801652892,283.0,30.347981810987037,250.55,301.85,0.5014401814534251,0.0010310944904828344,0.5008282991276134,0.5025422400162953,0.06275388522710548
