target,track,feature_set,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,record,engineered,elastic,64,0.7789091463040703,0.46013139260229063,0.37029780564263376,0.5335968379446644,0.8823916861826692,0.935884498952107,0.43719639139486516,0.7079942620636666,0.35688699192079243,0.842371234207969,0.15900923446533097,0.5201622911527947,0.35789473684210527,0.5074626865671642,0.41975308641975306,0.8446280991735537,95,605,67,20260824,0.6246442613098248,0.10299743194501028,0.3967240667422878
ANY,record,engineered,elastic,64,0.7627083808216315,0.3986722505526144,0.3666521169794856,0.47430830039525723,0.893808548009367,0.9291692026780275,0.4135893648449045,0.684058424202312,0.3299951694846763,0.8456754130223519,0.15831656250738405,0.5170537783303213,0.3707865168539326,0.4925373134328358,0.4230769230769231,0.8512396694214877,89,605,67,20261821,0.6536137750044019,0.032905564186973484,0.4431452219424581
ANY,record,engineered,lda,64,0.7786801900322593,0.44038539439200686,0.3273743963399142,0.5454545454545457,0.854746048009367,0.9355187536295729,0.40917032879758625,0.7001002967319563,0.3243609018290986,0.8192581794622612,0.08236371123891145,0.339219072406595,0.30973451327433627,0.5223880597014925,0.3888888888888889,0.8181818181818182,113,605,67,20260824,0.13930920389200682,0.042607374740317956,0.419084561354368
ANY,record,engineered,lda,64,0.7771464686640872,0.39726532207345827,0.41422935655012955,0.4298418972332018,0.9212163348946132,0.9257386603908875,0.4218912365777627,0.6755291160639074,0.34546862521408894,0.8648364107547784,0.08625587029856277,0.3600394483726299,0.410958904109589,0.44776119402985076,0.42857142857142855,0.8677685950413223,73,605,67,20261821,0.197802750141886,0.05183061059432927,0.41215368877427544
ANY,record,engineered,extra_trees,64,0.7553832144149215,0.38655225329481413,0.3241659578489751,0.4841897233201583,0.8691634953161586,0.9285756171934554,0.3883385225021233,0.6766766093181583,0.2988428500474041,0.8249919015225139,0.09172985942489427,0.3190200831618248,0.31313131313131315,0.4626865671641791,0.37349397590361444,0.828099173553719,99,605,67,20260824,0.2953420465230127,0.03662786739629317,0.3964745692697508
ANY,record,engineered,extra_trees,64,0.7734839095664675,0.38941828775745135,0.3007911736952901,0.5849802371541506,0.8237521955503507,0.9387027500364862,0.3972963903935582,0.7043662163522504,0.31287207300242553,0.7963556851311955,0.08977683147114342,0.3142466319105067,0.27941176470588236,0.5671641791044776,0.37438423645320196,0.7900826446280992,136,605,67,20261821,0.2583475941677816,0.048876482034362914,0.40171567775654243
ANY,record,engineered,random_forest,64,0.7539242569841067,0.4001782621412773,0.2569248378481501,0.47529644268774734,0.8218310889929735,0.9235735581371436,0.3335479716677404,0.6485637658403602,0.23158377074276923,0.7820699708454812,0.13180428436498712,0.4178979932611338,0.2677165354330709,0.5074626865671642,0.35051546391752575,0.7917355371900826,127,605,67,20260824,0.48782734357797186,0.09635189614456212,0.3816231147882242
ANY,record,engineered,random_forest,64,0.749190571600976,0.38163613314405015,0.2709959919375397,0.5503952569169963,0.8080967017954718,0.9327382670336551,0.36317627881704634,0.6792459793562339,0.270253757708227,0.7785282366915021,0.12479227454208762,0.4059467229006832,0.2571428571428571,0.5373134328358209,0.34782608695652173,0.7768595041322314,140,605,67,20261821,0.4236636322588074,0.0566074354789308,0.37414122416869927
ANY,record,engineered,histgb,64,0.749772255041377,0.33480102070066453,0.2891324082479583,0.6294466403162059,0.799418179156908,0.9433265685046848,0.3962498889185115,0.7144324097365569,0.31574273879208437,0.7799157758341433,0.10868637778607962,0.3645322180555825,0.2847222222222222,0.6119402985074627,0.3886255924170616,0.7867768595041322,144,605,67,20260824,0.23663388732913992,0.10002524989353795,0.3297416463718708
ANY,record,engineered,histgb,64,0.7350504366705701,0.3000346378106245,0.2405498281786949,0.5335968379446643,0.7816525175644023,0.9282144874636071,0.33160803579261416,0.6576246777545331,0.23065741206205415,0.7531908001295757,0.10926326578201905,0.36862620198279067,0.2222222222222222,0.5074626865671642,0.3090909090909091,0.7487603305785124,153,605,67,20261821,0.24369893796380812,0.14955306828158255,0.38241220162374445
