target,track,feature_set,model,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,record,engineered,elastic,0.7796493128997697,0.4617121210392802,0.3819665183301553,0.5088932806324113,0.8932779566744725,0.9334824672096667,0.4363878465076873,0.7010856186534418,0.3561804441877057,0.8491739552964044,0.1593419604931884,0.5208503181002482,0.35555555555555557,0.47761194029850745,0.40764331210191085,0.8462809917355372,90,605,67,20260824,0.630376181261802,0.09711747069784091,0.40029714196945443
ANY,record,engineered,elastic,0.7626402278821205,0.47948667766417796,0.3416465540359353,0.5395256916996051,0.8652480971896949,0.9354736613059558,0.41836790542389646,0.7023868944446499,0.33491939260328807,0.8278749595076127,0.15719882499855825,0.49948965390673294,0.3238095238095238,0.5074626865671642,0.3953488372093023,0.828099173553719,105,605,67,20268743,0.6305871993203416,0.14828496557796128,0.42697059578261415
ANY,record,engineered,elastic,0.7427413895278518,0.35239724936392647,0.37835153922542225,0.37648221343873534,0.9198258196721306,0.9192371688211949,0.3774145616641904,0.6481540165554329,0.2969476801682354,0.8574829931972789,0.16258069486787605,0.5342820092886016,0.3880597014925373,0.3880597014925373,0.3880597014925373,0.8644628099173554,67,605,67,20276662,0.695150546431083,0.013199996347944179,0.4509630882152638
ANY,record,engineered,elastic,0.7420653381610374,0.3672589809418713,0.2588793524527254,0.5237154150197632,0.8056754976580789,0.9288320782973692,0.3464861078683172,0.6646954563389209,0.2486572731589344,0.7733236151603501,0.16174670343330666,0.529004439782574,0.26865671641791045,0.5373134328358209,0.3582089552238806,0.7867768595041322,134,605,67,20284581,0.5817086167108626,0.1494688254391369,0.4224364515594523
ANY,record,engineered,elastic,0.7117011275023682,0.3387121197884172,0.3441899558730831,0.46245059288537566,0.8857947892271657,0.9270805407682582,0.3946512468377308,0.6741226910562705,0.3073576056627243,0.8372206025267251,0.16738052549909666,0.5533776249040696,0.32954545454545453,0.43283582089552236,0.3741935483870968,0.8396694214876033,88,605,67,20292500,0.6442613232158875,0.043073066307632975,0.4378630376635688
ANY,record,engineered,elastic,0.7801946388652332,0.41984021368281654,0.5508731082654248,0.33399209486166026,0.9647065281030442,0.9178692662546779,0.4158537657087618,0.6493493114823522,0.37418271177909823,0.892338840298024,0.14924966961036615,0.507376240802581,0.5609756097560976,0.34328358208955223,0.42592592592592593,0.8975206611570248,41,605,67,20300419,0.7756030786227028,0.0236509726617454,0.41512581145196914
ANY,record,engineered,elastic,0.7686481605009985,0.45185314177637914,0.33497911127990954,0.622529644268775,0.8398163056206083,0.9449511065362838,0.43557706553410114,0.7311729749446916,0.359756309825095,0.8148850016196956,0.16208604661834125,0.5067090186668218,0.32786885245901637,0.5970149253731343,0.42328042328042326,0.8198347107438017,122,605,67,20308338,0.573121342401575,0.043309216756553276,0.4200602163158463
ANY,record,engineered,elastic,0.7633604168498703,0.39216291546643484,0.3538407658183522,0.4278656126482216,0.8987302400468379,0.9237785383834201,0.38734824281150204,0.6632979263475296,0.30111345599356154,0.844703595724004,0.15456039119371037,0.5159131678080334,0.35294117647058826,0.44776119402985076,0.39473684210526316,0.8479338842975207,85,605,67,20316257,0.6732187252583435,0.07952447080541145,0.40837632037539023
ANY,record,engineered,elastic,0.7480203104799394,0.39713824885095145,0.3711456505389825,0.41798418972332035,0.9082076990632313,0.9233101447118779,0.3931748771743463,0.6630959443932758,0.30991787947297356,0.8519598315516684,0.16426053247130687,0.5074180634819329,0.3815789473684211,0.43283582089552236,0.40559440559440557,0.859504132231405,76,605,67,20324176,0.6926913130095573,0.041882594279904435,0.4678597353387749
ANY,record,engineered,elastic,0.7841565610604058,0.445264896203427,0.336191156624594,0.5978260869565221,0.8470067330210767,0.942026331318804,0.430364310756568,0.7224164099887992,0.3517957784410508,0.8184159378036929,0.1584008426227542,0.4944651052365267,0.3220338983050847,0.5671641791044776,0.41081081081081083,0.8198347107438017,118,605,67,20332095,0.619098671774115,0.07565497129388346,0.4342020066933835
