target,track,feature_set,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
T21,record,engineered,elastic,64,0.41571236314890075,0.0908437451949546,0.09962049335863377,0.07142857142857141,0.9842541894806702,0.9775071680453482,0.08320126782884309,0.5278413804546208,0.06553381668609443,0.9625202461937158,0.12346481574818802,0.39660332605605403,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.9636363636363636,11,605,13,20260824,0.9094675825665648,0.06834223468537533,0.18134436970766948
T21,record,engineered,elastic,64,0.30342374657954757,0.017076345327710248,0.010834795170777043,0.14285714285714282,0.6818981251036996,0.9702535530478303,0.020141952810282044,0.4123776339804212,-0.05756880534497939,0.6690638160025916,0.13491076846618036,0.47455065364324095,0.010309278350515464,0.15384615384615385,0.01932367149758454,0.6644628099173554,194,605,13,20268743,0.5082172109120705,0.42973270484718357,0.09530015519259676
T21,record,engineered,elastic,64,0.2828641483693768,0.016487505520438754,0.01632716529311154,0.28571428571428564,0.5801559648249542,0.9708462905375388,0.030889166727954782,0.43293512526961997,-0.04147795988090822,0.5731454486556528,0.1309037551227795,0.4574491398972467,0.015810276679841896,0.3076923076923077,0.03007518796992481,0.5735537190082645,253,605,13,20276662,0.46537037802223197,0.46002030469937166,0.13387676829609724
T21,record,engineered,elastic,64,0.40670145719921924,0.09281977566771824,0.03319956220357541,0.3095238095238095,0.7801559648249539,0.9788695742687622,0.05996705107084032,0.5448398871743817,0.032899201136558046,0.7689504373177842,0.12317752988629103,0.40988981055274765,0.029850746268656716,0.3076923076923077,0.05442176870748299,0.7702479338842976,134,605,13,20284581,0.5855096418007775,0.33718582716871354,0.1273024912150902
T21,record,engineered,elastic,64,0.37664214737385715,0.08932796520462949,0.010985561833019476,0.07142857142857141,0.8431557989049272,0.9738415545590432,0.019042437431991317,0.4572921851667493,-0.03600001954483556,0.8247813411078718,0.12761096582027506,0.4059964432052599,0.01020408163265306,0.07692307692307693,0.018018018018018018,0.8198347107438017,98,605,13,20292500,0.6703696017726465,0.35288293511099106,0.14564024901818984
T21,record,engineered,elastic,64,0.5251503156430999,0.09859399585804231,0.023736859952526335,0.47619047619047605,0.5223162435705987,0.9761240310077519,0.04521963824289415,0.49925335988053743,-0.0004557727285314692,0.5212180110139294,0.13044536397768827,0.41165402129081136,0.02054794520547945,0.46153846153846156,0.03934426229508197,0.515702479338843,292,605,13,20300419,0.5048850985348923,0.4995575783949982,0.1633756880653642
T21,record,engineered,elastic,64,0.36544557428081775,0.08917516036686265,0.027633033317543115,0.3571428571428571,0.6934793429566944,0.977890082122552,0.051297083394401435,0.5253111000497758,0.016721012379082908,0.6854713313896988,0.13299293601957968,0.4311079907106573,0.026455026455026454,0.38461538461538464,0.04950495049504951,0.6826446280991736,189,605,13,20308338,0.6104369060527869,0.41602668147258803,0.1495222031607936
T21,record,engineered,elastic,64,0.28331318590154003,0.016725809133813226,0.0,0.0,0.8250539240086273,0.9712868192827563,0.0,0.41252696200431366,-0.07087494829425116,0.8054097829608035,0.12080610203812613,0.4584558159622763,0.0,0.0,0.0,0.8082644628099174,103,605,13,20316257,0.7145421470522316,0.3846550337153764,0.1492344281423559
T21,record,engineered,elastic,64,0.31727938562184627,0.017545886426582717,0.01424501424501428,0.23809523809523805,0.5981416957026711,0.9698681732580037,0.02688172043010759,0.41811846689895454,-0.05100659885430026,0.5895691609977325,0.14714038660488665,0.5076096114938926,0.012295081967213115,0.23076923076923078,0.023346303501945526,0.5851239669421487,244,605,13,20324176,0.5254955741929656,0.4782558517565135,0.11170736967744199
T21,record,engineered,elastic,64,0.470751196336066,0.0942051727423448,0.030516431924882716,0.3095238095238095,0.7601626016260158,0.9783258594917786,0.0555555555555557,0.5348432055749126,0.02482312541095619,0.7494331065759637,0.12577015567693,0.40628456244047295,0.027972027972027972,0.3076923076923077,0.05128205128205128,0.7553719008264462,143,605,13,20332095,0.7266731837588417,0.4185692472915802,0.17582633745060486
T21,record,engineered,elastic,64,0.437468034058379,0.09676857487349891,0.024297485738432358,0.5476190476190476,0.4636469221835077,0.9767555664301443,0.04653044709690485,0.5056329849012777,0.003444365533984997,0.46564625850340136,0.117844155297565,0.3920123384148001,0.021538461538461538,0.5384615384615384,0.04142011834319527,0.4644628099173554,325,605,13,20340014,0.3928860106705415,0.420369369136726,0.09090335346211598
T21,record,engineered,elastic,64,0.3480005319975469,0.018944762729539558,0.007676560900716496,0.07142857142857141,0.7747967479674791,0.9715991843868335,0.013863216266173782,0.42311265969802525,-0.05645233076819712,0.7580498866213152,0.13258526274811303,0.4681299721406834,0.007352941176470588,0.07692307692307693,0.013422818791946308,0.7570247933884298,136,605,13,20347933,0.7328848796364902,0.419641991557727,0.2293953087805273
T21,record,engineered,elastic,64,0.3647398874377491,0.08935535409405694,0.024263431542461068,0.3809523809523809,0.6263481002156958,0.9764614588722192,0.04562118126272923,0.5036502405840384,0.002300445352816395,0.620505344995141,0.13933000190964276,0.4413800789385903,0.022123893805309734,0.38461538461538464,0.04184100418410042,0.6214876033057851,226,605,13,20355852,0.5159551976312562,0.42882915180155673,0.15871399099394468
T21,record,engineered,elastic,64,0.44147974327168144,0.034033513485568864,0.021074181117533775,0.23809523809523805,0.7302472208395547,0.9751839049898076,0.038721097466534,0.4841712294673964,-0.010883923590293072,0.7185293164885004,0.14510458513444788,0.5412293965165768,0.018633540372670808,0.23076923076923078,0.034482758620689655,0.7223140495867768,161,605,13,20363771,0.6798251280292678,0.3948209881143382,0.16616105761858585
T21,record,engineered,elastic,64,0.2626903800622087,0.01604959254252702,0.017228871962277913,0.4523809523809524,0.37061556329849027,0.9652147610405323,0.03319357092942013,0.4114982578397214,-0.055745296936271366,0.372562358276644,0.12748796731213385,0.45410635066258265,0.016042780748663103,0.46153846153846156,0.031007751937984496,0.38016528925619836,374,605,13,20371690,0.2772290286652413,0.42188078039815663,0.13134085333516415
T21,record,engineered,elastic,64,0.26753656166299455,0.016173881517173794,0.0,0.0,0.9432553509208559,0.9747942386831274,0.0,0.47162767546042794,-0.03781920253916723,0.9207968901846455,0.15443399222147078,0.5283714696004292,0.0,0.0,0.0,0.9190082644628099,36,605,13,20379609,0.8994418126262631,0.16833500773973725,0.15837412692139682
T21,record,engineered,elastic,64,0.4807848807351066,0.09750320003348606,0.010026737967914458,0.07142857142857141,0.8279907084785127,0.9733752048061167,0.017584994138335315,0.4497096399535421,-0.04085883684016651,0.8099773242630386,0.1345244595851499,0.4213501255804837,0.009523809523809525,0.07692307692307693,0.01694915254237288,0.8082644628099174,105,605,13,20387528,0.7303966456129234,0.4154170718007747,0.15338486190542466
T21,record,engineered,elastic,64,0.4548052283243938,0.09543811248232026,0.024312414526667832,0.761904761904762,0.25423925667828173,0.9776686020544887,0.047121189810042985,0.5080720092915219,0.005655224884962969,0.2663265306122449,0.13909997800795426,0.45393967531653445,0.021929824561403508,0.7692307692307693,0.042643923240938165,0.2578512396694215,456,605,13,20395447,0.19332902477550762,0.3337711292390228,0.07979189043192321
T21,record,engineered,elastic,64,0.4992796963926893,0.09739957766771162,0.0,0.0,0.9982578397212543,0.9761499148211243,0.0,0.49912891986062713,-0.00644598099929876,0.9744897959183674,0.12504602186425412,0.40879552985121775,0.0,0.0,0.0,0.9768595041322314,1,605,13,20403366,0.9820267189699586,0.025175549740894528,0.20239076886249488
T21,record,engineered,elastic,64,0.2894493298674499,0.017752245701389256,0.005829770695685987,0.07142857142857141,0.7029036004645757,0.9687850168080676,0.010779734099892233,0.38716608594657353,-0.07568768572270487,0.6878684807256236,0.13819836195505805,0.4901794815791229,0.0056179775280898875,0.07692307692307693,0.010471204188481676,0.687603305785124,178,605,13,20411285,0.5879116902010727,0.4101335198310492,0.15518865077915261
T21,record,engineered,elastic,64,0.3003350004345541,0.016908451554333296,0.018007202881152463,0.07142857142857141,0.9049941927990703,0.9755853261550018,0.028763183125599234,0.48821138211382087,-0.012291072110238598,0.8851473922902495,0.14142193650679774,0.48349804383842904,0.01639344262295082,0.07692307692307693,0.02702702702702703,0.8809917355371901,61,605,13,20419204,0.8137593832029635,0.3197184831093497,0.24575867730371162
T21,record,engineered,elastic,64,0.49840321726832565,0.09871086916576746,0.023148148148148202,0.23809523809523805,0.7549361207897788,0.9759759759759759,0.04219409282700431,0.4965156794425084,-0.002470559580388171,0.7426303854875285,0.11125894871048762,0.3720981508646226,0.019867549668874173,0.23076923076923078,0.036585365853658534,0.7388429752066116,151,605,13,20427123,0.7427506524284748,0.4287962783253382,0.13986321880677732
T21,record,engineered,elastic,64,0.47363175235251087,0.09350744246652601,0.01918778728967237,0.3095238095238095,0.6141032022565119,0.9733084387408945,0.036135488226184405,0.4618135058901607,-0.02393920719177343,0.6068513119533528,0.12849045730338957,0.40279744866185985,0.01702127659574468,0.3076923076923077,0.03225806451612903,0.6033057851239669,235,605,13,20435042,0.48225360934991407,0.46391190770495955,0.12908951243152725
T21,record,engineered,elastic,64,0.43883200202264594,0.09739553401972768,0.012668918918918932,0.07142857142857141,0.8642276422764221,0.9744630696699841,0.02152080344332857,0.46782810685249676,-0.028774582121679916,0.8453514739229027,0.1346560047943975,0.44301344037327245,0.011904761904761904,0.07692307692307693,0.020618556701030927,0.8429752066115702,84,605,13,20442961,0.7680443634024098,0.3989264958194961,0.13345587616563756
T21,record,engineered,elastic,64,0.43394091666864376,0.04189865445605467,0.0210788164440954,0.5476190476190476,0.37970798075327733,0.9717622080679406,0.040595057992940144,0.4636635141861625,-0.022809296844051342,0.38370586329770007,0.1409018289134934,0.44200065680245,0.018469656992084433,0.5384615384615384,0.03571428571428571,0.3752066115702479,379,605,13,20450880,0.23297203154563365,0.320842826888425,0.0514654460884251
T21,record,engineered,elastic,64,0.27727330188753974,0.016575592533063586,0.011641166967594818,0.16666666666666666,0.65486975277916,0.9698972821546172,0.021762302362764302,0.41076820972291334,-0.057399603415293675,0.6432458697764821,0.12127819407528945,0.45873502316942194,0.009569377990430622,0.15384615384615385,0.018018018018018018,0.6396694214876033,209,605,13,20458799,0.5017852803728673,0.43979285676899543,0.133183365539929
T21,record,engineered,elastic,64,0.3754901883324001,0.02025923288508149,0.016508235977069918,0.3095238095238095,0.5502405840384931,0.9703025337936684,0.031344723064205084,0.4298821967811513,-0.04300697268637831,0.5445092322643345,0.12342752173469147,0.4467481894108093,0.014760147601476014,0.3076923076923077,0.028169014084507043,0.543801652892562,271,605,13,20466718,0.4914863446495299,0.4809664438142393,0.11079985781022673
T21,record,engineered,elastic,64,0.4547416256475503,0.09292191063074799,0.04757589487992749,0.14285714285714282,0.930247220839555,0.978020444475456,0.07138001359619306,0.536552181848349,0.04325741672291581,0.9114998380304505,0.13066932410409893,0.42175310232903407,0.045454545454545456,0.15384615384615385,0.07017543859649122,0.912396694214876,44,605,13,20474637,0.8422308616013812,0.26525169121511893,0.2056678220480556
T21,record,engineered,elastic,64,0.4680743532411046,0.09484906025399915,0.024752475247524847,0.5238095238095237,0.49663182346109214,0.9771480804387569,0.04727116458960051,0.510220673635308,0.006232970302385716,0.4972789115646259,0.13217210180232833,0.4197555627469272,0.022727272727272728,0.5384615384615384,0.04361370716510903,0.4925619834710744,308,605,13,20482556,0.2859950683786628,0.3984254555112649,0.06606419209664578
T21,record,engineered,elastic,64,0.3105760848667791,0.01728761545514672,0.0,0.0,0.88513356562137,0.9731835014685224,0.0,0.442566782810685,-0.05550059070704203,0.8640589569160999,0.132709922063179,0.45592364484795944,0.0,0.0,0.0,0.8628099173553719,70,605,13,20490475,0.7811415015288236,0.3650121429420315,0.23396614818007785
T21,record,engineered,elastic,64,0.5097169878404342,0.041924436875285916,0.023294509151414382,0.4761904761904761,0.5130247220839557,0.9757021142316188,0.04441624365482247,0.4946075991372159,-0.0032895619571693957,0.512147716229349,0.1329746758652634,0.4678888572680313,0.02027027027027027,0.46153846153846156,0.038834951456310676,0.509090909090909,296,605,13,20498394,0.5045734682023348,0.49914412575281947,0.12631529979283287
T21,record,engineered,elastic,64,0.3460915299143299,0.05687566204384347,0.016882725354235822,0.38095238095238093,0.4589347934295672,0.9681484074203709,0.03233256351039273,0.41994358719097413,-0.048956180690073965,0.45707806932296735,0.12502223324826006,0.4228393168369554,0.01529051987767584,0.38461538461538464,0.029411764705882353,0.45454545454545453,327,605,13,20506313,0.30822077427650985,0.40446319785082524,0.08435429220417928
T21,record,engineered,elastic,64,0.40706068722495037,0.090592445199116,0.022894521668029497,0.38095238095238093,0.6034511365521816,0.9755901287553647,0.04319321249517944,0.49220175875228134,-0.0048614939212141845,0.5981535471331391,0.12304348956030005,0.3958924885234493,0.02092050209205021,0.38461538461538464,0.03968253968253968,0.6,239,605,13,20514232,0.4549217045040484,0.42349394018437614,0.1391872483579592
T21,record,engineered,elastic,64,0.3612703153270615,0.019814437436298828,0.009567488761997353,0.14285714285714282,0.6393009236214807,0.9683342827463726,0.01793390076574914,0.39107903323931176,-0.0693824244460657,0.6274808336032827,0.13595595038869449,0.48822576371632276,0.009259259259259259,0.15384615384615385,0.017467248908296942,0.628099173553719,216,605,13,20522151,0.49466562052452245,0.4239820685683117,0.16278439107493878
T21,record,engineered,elastic,64,0.4950047537404445,0.09693505630663612,0.02477477477477486,0.5238095238095237,0.49709639953542417,0.9771689497716896,0.047311827956989405,0.510452961672474,0.006374586760887361,0.49773242630385495,0.13009236687459888,0.41878541618040566,0.023026315789473683,0.5384615384615384,0.04416403785488959,0.4991735537190083,304,605,13,20530070,0.4899434724602764,0.4929015023136062,0.10833890274449716
T21,record,engineered,elastic,64,0.28321521407634126,0.016525231881369402,0.020049886025945568,0.38095238095238093,0.5458713566727504,0.9730846207692079,0.03809480618133592,0.4634118688125657,-0.022414083342638585,0.541944714393694,0.12666317197823546,0.43053682702574647,0.01818181818181818,0.38461538461538464,0.034722222222222224,0.540495867768595,275,605,13,20537989,0.49468906703186905,0.4902537988808246,0.13325876414537627
T21,record,engineered,elastic,64,0.47024672044582594,0.09491878342456823,0.02834352350487921,0.4761904761904761,0.6018417122946739,0.9792133466511891,0.05350250315282622,0.539016094242575,0.02428330941976656,0.5988500161969551,0.11043864985879545,0.37526530320516355,0.024390243902439025,0.46153846153846156,0.04633204633204633,0.5917355371900826,246,605,13,20545908,0.4004351085712663,0.37081138989163814,0.08495631407030729
T21,record,engineered,elastic,64,0.48407444278524603,0.09563397813894486,0.025785063081315094,0.3809523809523809,0.6489464078314248,0.9772625056219079,0.04830084526479223,0.5149493943919028,0.009545606998080304,0.6425655976676385,0.12580682865193113,0.4065264721501662,0.02358490566037736,0.38461538461538464,0.044444444444444446,0.6446280991735537,212,605,13,20553827,0.5463320548278464,0.4515826675130489,0.16130503046801345
